1422_149735_000000_000000	CHAPTER VII	CHAPTER seven	false	0.81	25.59	22.758017
1422_149735_000001_000000	Wherein Freckles Wins Honor and Finds a Footprint on the Trail	Wherein Freckles Wins Honor and Finds a Footprint on the Trail	true	25.59	29.92	23.984257
1422_149735_000002_000000	Round-eyed, Freckles watched the Bird Woman and the Angel drive away. After they were from sight and he was safely hidden among the branches of a small tree, he remembered that he neither had thanked them nor said good-bye.	Round eyed, Freckles watched the Bird Woman and the Angel drive away. After they were from sight and he was safely hidden among the branches of a small tree, he remembered that he neither had thanked them nor said good bye.	false	30.71	44.38	23.754671
1422_149735_000002_000001	Considering what they had been through, they never would come again.	Considering what they had been through, they never would come again.	true	44.96	48.73	23.87636
1422_149735_000002_000002	His heart sank until he had palpitation in his wading-boots.	His heart sank until he had palpitation in his wading boots.	true	48.95	53.08	22.972206
1422_149735_000003_000000	Stretching the length of the limb, he thought deeply, though he was not thinking of Black Jack or Wessner.	Stretching the length of the limb, he thought deeply, though he was not thinking of Black Jack or Wessner.	true	53.78	60.25	22.443184
1422_149735_000003_000001	Would the Bird Woman and the Angel come again?	Would the Bird Woman and the Angel come again?	true	60.74	63.28	20.086449
1422_149735_000003_000002	No other woman whom he ever had known would.	No other woman whom he ever had known would.	true	63.83	66.7	21.514378
1422_149735_000003_000003	But did they resemble any other women he ever had known?	But did they resemble any other women he ever had known?	false	67.07	70.24	18.56213
1422_149735_000003_000004	He thought of the Bird Woman's unruffled face and the Angel's revolver practice, and presently he was not so sure that they would not return.	He thought of the Bird Woman's unruffled face and the Angel's revolver practice, and presently he was not so sure that they would not return.	true	70.76	79.87	19.57499
1422_149735_000004_000000	What were the people in the big world like?	What were the people in the big world like?	true	80.33	82.81	27.894918
1422_149735_000004_000001	His knowledge was so very limited.	His knowledge was so very limited.	true	83.18	85.6	22.104076
1422_149735_000004_000002	There had been people at the Home, who exchanged a stilted, perfunctory kindness for their salaries.	There had been people at the Home, who exchanged a stilted, perfunctory kindness for their salaries.	true	85.94	91.78	22.74118
1422_149735_000004_000003	The visitors who called on receiving days he had divided into three classes: the psalm-singing kind, who came with a tear in the eye and hypocrisy in every feature of their faces; the kind who dressed in silks and jewels, and handed to those poor little mother-hungry souls worn toys that their children no longer cared for, in exactly the same spirit in which they pitched biscuits to the monkeys at the zoo, and for the same reason--to see how they would take them and be amused by what they would do; and the third class, whom he considered real people.	The visitors who called on receiving days he had divided into three classes: the psalm singing kind, who came with a tear in the eye and hypocrisy in every feature of their faces; the kind who dressed in silks and jewels, and handed to those poor little mother hungry souls worn toys that their children no longer cared for, in exactly the same spirit in which they pitched biscuits to the monkeys at the zoo, and for the same reason-to see how they would take them and be amused by what they would do; and the third class, whom he considered real people.	true	92.12	126.52	21.747053
1422_149735_000004_000004	They made him feel they cared that he was there, and that they would have been glad to see him elsewhere.	They made him feel they cared that he was there, and that they would have been glad to see him elsewhere.	true	127.1	133.455	22.517033
1422_149735_000005_000000	Now here was another class, that had all they needed of the world's best and were engaged in doing work that counted.	Now here was another class, that had all they needed of the world's best and were engaged in doing work that counted.	true	133.455	141.01	22.060356
1422_149735_000005_000001	They had things worth while to be proud of; and they had met him as a son and brother.	They had things worth while to be proud of; and they had met him as a son and brother.	true	141.2	146.29	24.43011
1422_149735_000005_000002	With them he could, for the only time in his life, forget the lost hand that every day tortured him with a new pang.	With them he could, for the only time in his life, forget the lost hand that every day tortured him with a new pang.	true	146.63	153.67	23.606953
1422_149735_000005_000003	What kind of people were they and where did they belong among the classes he knew?	What kind of people were they and where did they belong among the classes he knew?	true	154.16	159.01	22.638542
1422_149735_000005_000004	He failed to decide, because he never had known others similar to them; but how he loved them!	He failed to decide, because he never had known others similar to them; but how he loved them!	true	159.56	165.97	21.931479
1422_149735_000006_000000	In the world where he was going soon, were the majority like them, or were they of the hypocrite and bun-throwing classes?	In the world where he was going soon, were the majority like them, or were they of the hypocrite and bun throwing classes?	true	166.76	174.22	21.012085
1422_149735_000007_000000	He had forgotten the excitement of the morning and the passing of time when distant voices aroused him, and he gently lifted his head.	He had forgotten the excitement of the morning and the passing of time when distant voices aroused him, and he gently lifted his head.	true	174.8	182.38	23.025915
1422_149735_000007_000001	Nearer and nearer they came, and as the heavy wagons rumbled down the east trail he could hear them plainly.	Nearer and nearer they came, and as the heavy wagons rumbled down the east trail he could hear them plainly.	true	183.11	190.27	23.004831
1422_149735_000007_000002	The gang were shouting themselves hoarse for the Limberlost guard.	The gang were shouting themselves hoarse for the Limberlost guard.	true	190.61	194.29	21.162848
1422_149735_000007_000003	Freckles did not feel that he deserved it.	Freckles did not feel that he deserved it.	true	194.6	196.84	23.553164
1422_149735_000007_000004	He would have given much to be able to go to the men and explain, but to McLean only could he tell his story.	He would have given much to be able to go to the men and explain, but to McLean only could he tell his story.	true	197.21	204.1	22.450129
1422_149735_000008_000000	At the sight of Freckles the men threw up their hats and cheered.	At the sight of Freckles the men threw up their hats and cheered.	true	205.01	208.24	25.108957
1422_149735_000008_000001	McLean shook hands with him warmly, but big Duncan gathered him into his arms and hugged him as a bear and choked over a few words of praise.	McLean shook hands with him warmly, but big Duncan gathered him into his arms and hugged him as a bear and choked over a few words of praise.	true	208.46	217.66	23.92922
1422_149735_000008_000002	The gang drove in and finished felling the tree.	The gang drove in and finished felling the tree.	true	218.15	220.75	22.43157
1422_149735_000008_000003	McLean was angry beyond measure at this attempt on his property, for in their haste to fell the tree the thieves had cut too high and wasted a foot and a half of valuable timber.	McLean was angry beyond measure at this attempt on his property, for in their haste to fell the tree the thieves had cut too high and wasted a foot and a half of valuable timber.	true	221.18	232.27	21.988564
1422_149735_000009_000000	When the last wagon rolled away, McLean sat on the stump and Freckles told the story he was aching to tell.	When the last wagon rolled away, McLean sat on the stump and Freckles told the story he was aching to tell.	true	232.94	239.83	22.896843
1422_149735_000009_000001	The Boss scarcely could believe his senses.	The Boss scarcely could believe his senses.	true	240.2	242.86	23.00424
1422_149735_000009_000002	Also, he was much disappointed.	Also, he was much disappointed.	true	243.35	245.68	22.52616
1422_149735_000010_000000	"I have been almost praying all the way over, Freckles," he said, "that you would have some evidence by which we could arrest those fellows and get them out of our way, but this will never do.	"I have been almost praying all the way over, Freckles," he said, "that you would have some evidence by which we could arrest those fellows and get them out of our way, but this will never do.	true	246.14	256.87	22.600716
1422_149735_000010_000001	We can't mix up those women in it.	We can't mix up those women in it.	true	257.12	259.24	22.840244
1422_149735_000010_000002	They have helped you save me the tree and my wager as well. Going across the country as she does, the Bird Woman never could be expected to testify against them."	They have helped you save me the tree and my wager as well. Going across the country as she does, the Bird Woman never could be expected to testify against them."	false	259.52	268.51	20.895279
1422_149735_000011_000000	"No, indeed; nor the Angel, either, sir," said Freckles.	"No, indeed; nor the Angel, either, sir," said Freckles.	true	269.06	273.07	22.598858
1422_149735_000012_000000	"The Angel?" queried the astonished McLean.	"The Angel?" queried the astonished McLean.	true	273.17	276.01	22.803757
1422_149735_000013_000000	The Boss listened in silence while Freckles told of the coming and christening of the Angel.	The Boss listened in silence while Freckles told of the coming and christening of the Angel.	true	276.56	281.32	17
1422_149735_000014_000000	"I know her father well," said McLean at last, "and I have often seen her.	"I know her father well," said McLean at last, "and I have often seen her.	true	282.2	287.35	20.826656
1422_149735_000014_000001	You are right; she is a beautiful young girl, and she appears to be utterly free from the least particle of false pride or foolishness.	You are right; she is a beautiful young girl, and she appears to be utterly free from the least particle of false pride or foolishness.	false	287.45	294.67	24
1422_149735_000014_000002	I do not understand why her father risks such a jewel in this place."	I do not understand why her father risks such a jewel in this place."	true	294.95	298.71	18
1422_149735_000015_000000	"He's daring it because she is a jewel, sir," said Freckles, eagerly. "Why, she's trusting a rattlesnake to rattle before it strikes her, and of course, she thinks she can trust mankind as well.	"He's daring it because she is a jewel, sir," said Freckles, eagerly. "Why, she's trusting a rattlesnake to rattle before it strikes her, and of course, she thinks she can trust mankind as well.	false	298.71	311.71	22.804142
1422_149735_000015_000001	The man isn't made who wouldn't lay down the life of him for her.	The man isn't made who wouldn't lay down the life of him for her.	true	311.99	315.67	21.661884
1422_149735_000015_000002	She doesn't need any care.	She doesn't need any care.	true	315.95	317.65	19.460629
1422_149735_000015_000003	Her face and the pretty ways of her are all the protection she would need in a band of howling savages."	Her face and the pretty ways of her are all the protection she would need in a band of howling savages."	true	317.9	323.41	18
1422_149735_000016_000000	"Did you say she handled one of the revolvers?" asked McLean.	"Did you say she handled one of the revolvers?" asked McLean.	true	324.23	328.03	23.354723
1422_149735_000017_000000	"She scared all the breath out of me body," admitted Freckles.	"She scared all the breath out of me body," admitted Freckles.	true	328.49	332.32	23.14204
1422_149735_000017_000001	"Seems that her father has taught her to shoot.	"Seems that her father has taught her to shoot.	true	332.72	335.29	28.532642
1422_149735_000017_000002	The Bird Woman told her distinctly to lie low and blaze away high, just to help scare them.	The Bird Woman told her distinctly to lie low and blaze away high, just to help scare them.	true	335.48	341.23	20.690887
1422_149735_000017_000003	The spunky little thing followed them right out into the west road, spitting lead like hail, and clipping all around the heads and heels of them; and I'm damned, sir, if I believe she'd cared a rap if she'd hit.	The spunky little thing followed them right out into the west road, spitting lead like hail, and clipping all around the heads and heels of them; and I'm damned, sir, if I believe she'd cared a rap if she'd hit.	false	341.45	353.74	20.600328
