1754_140639_000000_000000	COLORS--A CONTRAST	COLORS-A CONTRAST	false	0	3.45	-20
1754_140639_000001_000000	Such a play of colors and lights, different seasons, different hours of the day--the lines of the far horizon where the faint-tinged edge of the landscape loses itself in the sky.	Such a play of colors and lights, different seasons, different hours of the day-the lines of the far horizon where the faint tinged edge of the landscape loses itself in the sky.	false	3.45	12	16.115734
1754_140639_000001_000001	As I slowly hobble up the lane toward day-close, an incomparable sunset shooting in molten sapphire and gold, shaft after shaft, through the ranks of the long-leaved corn, between me and the west.	As I slowly hobble up the lane toward day close, an incomparable sunset shooting in molten sapphire and gold, shaft after shaft, through the ranks of the long leaved corn, between me and the west.	false	12	15.93	14
1754_140639_000001_000002	_Another day_--The rich dark green of the tulip-trees and the oaks, the gray of the swamp-willows, the dull hues of the sycamores and black-walnuts, the emerald of the cedars (after rain,) and the light yellow of the beeches.	underscore Another day underscore--The rich dark green of the tulip trees and the oaks, the gray of the swamp willows, the dull hues of the sycamores and black walnuts, the emerald of the cedars (after rain,) and the light yellow of the beeches.	false	15.93	25.92	18.309969
1754_140639_000002_000000	NOVEMBER 8, '76	november eighth, 'seventy six	true	25.92	28.3	16
1754_140639_000003_000000	The forenoon leaden and cloudy, not cold or wet, but indicating both. As I hobble down here and sit by the silent pond, how different from the excitement amid which, in the cities, millions of people are now waiting news of yesterday's Presidential election, or receiving and discussing the result--in this secluded place uncared-for, unknown.	The forenoon leaden and cloudy, not cold or wet, but indicating both. As I hobble down here and sit by the silent pond, how different from the excitement amid which, in the cities, millions of people are now waiting news of yesterday's Presidential election, or receiving and discussing the result-in this secluded place uncared for, unknown.	false	29.21	54.73	17.245216
1754_140639_000004_000000	CROWS AND CROWS	CROWS AND CROWS	true	56.57	58.35	10
1754_140639_000005_000000	_Nov. 14_.--As I sit here by the creek, resting after my walk, a warm languor bathes me from the sun.	underscore november fourteenth underscore.--As I sit here by the creek, resting after my walk, a warm languor bathes me from the sun	false	58.35	65.74	13
1754_140639_000005_000001	No sound but a cawing of crows, and no motion but their black flying figures from over-head, reflected in the mirror of the pond below.	No sound but a cawing of crows, and no motion but their black flying figures from over head, reflected in the mirror of the pond below.	true	66.47	75.01	13
1754_140639_000005_000002	Indeed a principal feature of the scene to-day is these crows, their incessant cawing, far or near, and their countless flocks and processions moving from place to place, and at times almost darkening the air with their myriads.	Indeed a principal feature of the scene to day is these crows, their incessant cawing, far or near, and their countless flocks and processions moving from place to place, and at times almost darkening the air with their myriads.	true	76.16	90.28	14
1754_140639_000005_000003	As I sit a moment writing this by the bank, I see the black, clear-cut reflection of them far below, flying through the watery looking-glass, by ones, twos, or long strings.	As I sit a moment writing this by the bank, I see the black, clear cut reflection of them far below, flying through the watery looking glass, by ones, twos, or long strings.	false	90.86	102.73	13
1754_140639_000005_000004	All last night I heard the noises from their great roost in a neighboring wood.	All last night I heard the noises from their great roost in a neighboring wood.	true	103.16	109.54	17.999924
1754_140639_000006_000000	A WINTER DAY ON THE SEA-BEACH	A WINTER DAY ON THE SEA BEACH	true	110.09	112.15	15
1754_140639_000007_000000	One bright December mid-day lately I spent down on the New Jersey sea-shore, reaching it by a little more than an hour's railroad trip over the old Camden and Atlantic.	One bright December mid day lately I spent down on the New Jersey sea shore, reaching it by a little more than an hour's railroad trip over the old Camden and Atlantic.	true	112.88	123.1	12
