6233_36633_000002_000000	CHAPTER 19	CHAPTER nineteen
6233_36633_000003_000000	Vanikoro	Vanikoro
6233_36633_000004_000000	THIS DREADFUL SIGHT was the first of a whole series of maritime catastrophes that the Nautilus would encounter on its run. When it plied more heavily traveled seas, we often saw wrecked hulls rotting in midwater, and farther down, cannons, shells, anchors, chains, and a thousand other iron objects rusting away.	THIS DREADFUL SIGHT was the first of a whole series of maritime catastrophes that the Nautilus would encounter on its run. When it plied more heavily traveled seas, we often saw wrecked hulls rotting in midwater, and farther down, cannons, shells, anchors, chains, and a thousand other iron objects rusting away.
6233_36633_000005_000002	Thanks to the work of polyps, a slow but steady upheaval will someday connect these islands to each other. Later on, this new island will be fused to its neighboring island groups, and a fifth continent will stretch from New Zealand and New Caledonia as far as the Marquesas Islands.	Thanks to the work of polyps, a slow but steady upheaval will someday connect these islands to each other. Later on, this new island will be fused to its neighboring island groups, and a fifth continent will stretch from New Zealand and New Caledonia as far as the Marquesas Islands.
6233_36633_000006_000000	The day I expounded this theory to Captain Nemo, he answered me coldly:	The day I expounded this theory to Captain Nemo, he answered me coldly:
6233_36633_000007_000000	"The earth doesn't need new continents, but new men!"	"The earth doesn't need new continents, but new men!"
6233_36633_000009_000001	The tiny microscopic animals that secrete this polypary live by the billions in the depths of their cells. Their limestone deposits build up into rocks, reefs, islets, islands. In some places, they form atolls, a circular ring surrounding a lagoon or small inner lake that gaps place in contact with the sea.	The tiny microscopic animals that secrete this polypary live by the billions in the depths of their cells. Their limestone deposits build up into rocks, reefs, islets, islands. In some places, they form atolls, a circular ring surrounding a lagoon or small inner lake that gaps place in contact with the sea.
6233_36633_000010_000002	These polyps grow exclusively in the agitated strata at the surface of the sea, and so it's in the upper reaches that they begin these substructures, which sink little by little together with the secreted rubble binding them.	These polyps grow exclusively in the agitated strata at the surface of the sea, and so it's in the upper reaches that they begin these substructures, which sink little by little together with the secreted rubble binding them.
6233_36633_000011_000000	I could observe these strange walls quite closely: our sounding lines indicated that they dropped perpendicularly for more than 300 meters, and our electric beams made the bright limestone positively sparkle.	I could observe these strange walls quite closely: our sounding lines indicated that they dropped perpendicularly for more than three hundred meters, and our electric beams made the bright limestone positively sparkle.
6233_36633_000013_000000	"Therefore," he said to me, "to build these walls, it took . . . ?"	"Therefore," he said to me, "to build these walls, it took . . . ?"
6233_36633_000014_000001	What's more, the formation of coal-- in other words, the petrification of forests swallowed by floods-- and the cooling of basaltic rocks likewise call for a much longer period of time.	What's more, the formation of coal- in other words, the petrification of forests swallowed by floods- and the cooling of basaltic rocks likewise call for a much longer period of time.
6233_36633_000015_000002	Its tree grew tall, catching steam off the water. A brook was born.	Its tree grew tall, catching steam off the water. A brook was born.
6233_36633_000015_000003	Little by little, vegetation spread. Tiny animals--worms, insects--rode ashore on tree trunks snatched from islands to windward.	Little by little, vegetation spread. Tiny animals-worms, insects-rode ashore on tree trunks snatched from islands to windward.
6233_36633_000015_000005	In this way animal life developed, and drawn by the greenery and fertile soil, man appeared. And that's how these islands were formed, the immense achievement of microscopic animals.	In this way animal life developed, and drawn by the greenery and fertile soil, man appeared. And that's how these islands were formed, the immense achievement of microscopic animals.
6233_36633_000016_000001	After touching the Tropic of Capricorn at longitude 135 degrees, it headed west-northwest, going back up the whole intertropical zone.	After touching the Tropic of Capricorn at longitude one hundred thirty five degrees, it headed west northwest, going back up the whole intertropical zone.
