6233_36633_000000_000000	The Florida	The Florida	false	3.03	10.35	21.040453
6233_36633_000001_000000	Sunderland, England	Sunderland, England	false	10.35	22.395	21.1317
6233_36633_000002_000000	CHAPTER 19	CHAPTER nineteen	true	22.395	23.68	26.4282
6233_36633_000003_000000	Vanikoro	Vanikoro	true	23.69	24.94	25.129446
6233_36633_000004_000000	THIS DREADFUL SIGHT was the first of a whole series of maritime catastrophes that the Nautilus would encounter on its run. When it plied more heavily traveled seas, we often saw wrecked hulls rotting in midwater, and farther down, cannons, shells, anchors, chains, and a thousand other iron objects rusting away.	THIS DREADFUL SIGHT was the first of a whole series of maritime catastrophes that the Nautilus would encounter on its run. When it plied more heavily traveled seas, we often saw wrecked hulls rotting in midwater, and farther down, cannons, shells, anchors, chains, and a thousand other iron objects rusting away.	true	25.82	45.73	20
6233_36633_000005_000000	Meanwhile, continuously swept along by the Nautilus, where we lived in near isolation, we raised the Tuamotu Islands on December 11, that old "dangerous group" associated with the French global navigator Commander Bougainville; it stretches from Ducie Island to Lazareff Island over an area of 500 leagues from the east-southeast to the west-northwest, between latitude 13 degrees 30' and 23 degrees 50' south, and between longitude 125 degrees 30' and 151 degrees 30' west.	Meanwhile, continuously swept along by the Nautilus, where we lived in near isolation, we raised the Tuamotu Islands on december eleventh, that old "dangerous group" associated with the French global navigator Commander Bougainville; it stretches from Ducie Island to Lazareff Island over an area of five hundred leagues from the east southeast to the west northwest, between latitude thirteen degrees thirty feet and twenty three degrees fifty feet south, and between longitude one hundred twenty five degrees thirty feet and one hundred fifty one degrees thirty feet west.	false	46.4	81.01	22
6233_36633_000005_000001	This island group covers a surface area of 370 square leagues, and it's made up of some sixty subgroups, among which we noted the Gambier group, which is a French protectorate. These islands are coral formations.	This island group covers a surface area of three hundred seventy square leagues, and it's made up of some sixty subgroups, among which we noted the Gambier group, which is a French protectorate. These islands are coral formations.	false	81.71	95.35	20.90095
6233_36633_000005_000002	Thanks to the work of polyps, a slow but steady upheaval will someday connect these islands to each other. Later on, this new island will be fused to its neighboring island groups, and a fifth continent will stretch from New Zealand and New Caledonia as far as the Marquesas Islands.	Thanks to the work of polyps, a slow but steady upheaval will someday connect these islands to each other. Later on, this new island will be fused to its neighboring island groups, and a fifth continent will stretch from New Zealand and New Caledonia as far as the Marquesas Islands.	true	95.48	112.63	22.26114
6233_36633_000006_000000	The day I expounded this theory to Captain Nemo, he answered me coldly:	The day I expounded this theory to Captain Nemo, he answered me coldly:	true	114.14	118.9	21.664711
6233_36633_000007_000000	"The earth doesn't need new continents, but new men!"	"The earth doesn't need new continents, but new men!"	true	119.66	123.27	25.233055
6233_36633_000008_000000	Sailors' luck led the Nautilus straight to Reao Island, one of the most unusual in this group, which was discovered in 1822 by Captain Bell aboard the Minerva.	Sailors' luck led the Nautilus straight to r e a o Island, one of the most unusual in this group, which was discovered in eighteen twenty two by Captain Bell aboard the Minerva.	false	123.27	134.23	21.508383
