4148_134149_000001_000000	CHAPTER 12.	CHAPTER twelve.
4148_134149_000001_000001	A MUSICAL GARDENER.	A MUSICAL GARDENER.
4148_134149_000002_000001	"The smaller animal ought to go to bed at once," he said with an air of authority.	"The smaller animal ought to go to bed at once," he said with an air of authority.
4148_134149_000003_000000	"Why at once?" said the Professor.	"Why at once?" said the Professor.
4148_134149_000004_000000	"Because he can't go at twice," said the Other Professor.	"Because he can't go at twice," said the Other Professor.
4148_134149_000005_000000	The Professor gently clapped his hands.	The Professor gently clapped his hands.
4148_134149_000005_000002	"Nobody else could have thought of the reason, so quick.	"Nobody else could have thought of the reason, so quick.
4148_134149_000005_000004	It would hurt him to be divided."	It would hurt him to be divided."
4148_134149_000006_000000	This remark woke up Bruno, suddenly and completely.	This remark woke up Bruno, suddenly and completely.
4148_134149_000006_000001	"I don't want to be divided," he said decisively.	"I don't want to be divided," he said decisively.
4148_134149_000007_000000	"It does very well on a diagram," said the Other Professor.	"It does very well on a diagram," said the Other Professor.
4148_134149_000007_000001	"I could show it you in a minute, only the chalk's a little blunt."	"I could show it you in a minute, only the chalk's a little blunt."
4148_134149_000008_000000	"Take care!" Sylvie anxiously exclaimed, as he began, rather clumsily, to point it.	"Take care!" Sylvie anxiously exclaimed, as he began, rather clumsily, to point it.
4148_134149_000008_000001	"You'll cut your finger off, if you hold the knife so!"	"You'll cut your finger off, if you hold the knife so!"
4148_134149_000009_000001	Bruno thoughtfully added.	Bruno thoughtfully added.
4148_134149_000010_000000	"It's like this," said the Other Professor, hastily drawing a long line upon the black board, and marking the letters 'A,' 'B,' at the two ends, and 'C' in the middle: "let me explain it to you.	"It's like this," said the Other Professor, hastily drawing a long line upon the black board, and marking the letters 'A,' 'B,' at the two ends, and 'C' in the middle: "let me explain it to you.
4148_134149_000011_000000	"It would be drownded," Bruno pronounced confidently.	"It would be drownded," Bruno pronounced confidently.
4148_134149_000012_000000	The Other Professor gasped.	The Other Professor gasped.
4148_134149_000012_000001	"What would be drownded?"	"What would be drownded?"
4148_134149_000013_000000	"Why the bumble-bee, of course!" said Bruno.	"Why the bumble bee, of course!" said Bruno.
4148_134149_000013_000001	"And the two bits would sink down in the sea!"	"And the two bits would sink down in the sea!"
4148_134149_000014_000000	Here the Professor interfered, as the Other Professor was evidently too much puzzled to go on with his diagram.	Here the Professor interfered, as the Other Professor was evidently too much puzzled to go on with his diagram.
4148_134149_000015_000000	"When I said it would hurt him, I was merely referring to the action of the nerves--"	"When I said it would hurt him, I was merely referring to the action of the nerves-"
4148_134149_000016_000000	The Other Professor brightened up in a moment.	The Other Professor brightened up in a moment.
4148_134149_000016_000001	"The action of the nerves," he began eagerly, "is curiously slow in some people.	"The action of the nerves," he began eagerly, "is curiously slow in some people.
4148_134149_000017_000000	"And if you only pinched him?" queried Sylvie.	"And if you only pinched him?" queried Sylvie.
4148_134149_000018_000000	"Then it would take ever so much longer, of course.	"Then it would take ever so much longer, of course.
4148_134149_000018_000001	In fact, I doubt if the man himself would ever feel it, at all.	In fact, I doubt if the man himself would ever feel it, at all.
4148_134149_000018_000002	His grandchildren might."	His grandchildren might."
