3728_105386_000000_000000	Sir Percy also made no attempt to detain his wife.	Sir Percy also made no attempt to detain his wife.	false	0	2.37	22.694733
3728_105386_000000_000001	With that perfect, somewhat affected gallantry which characterised his every movement, he opened the coffee-room door for her, and made her the most approved and elaborate bow, which the fashion of the time dictated, as she sailed out of the room without bestowing on him more than a passing, slightly contemptuous glance.	With that perfect, somewhat affected gallantry which characterised his every movement, he opened the coffee room door for her, and made her the most approved and elaborate bow, which the fashion of the time dictated, as she sailed out of the room without bestowing on him more than a passing, slightly contemptuous glance.	false	2.37	8.52	22.18199
3728_105386_000000_000002	Only Sir Andrew Ffoulkes, whose every thought since he had met Suzanne de Tournay seemed keener, more gentle, more innately sympathetic, noted the curious look of intense longing, of deep and hopeless passion, with which the inane and flippant Sir Percy followed the retreating figure of his brilliant wife.	Only Sir Andrew Ffoulkes, whose every thought since he had met Suzanne de Tournay seemed keener, more gentle, more innately sympathetic, noted the curious look of intense longing, of deep and hopeless passion, with which the inane and flippant Sir Percy followed the retreating figure of his brilliant wife.	false	8.52	18.48	23.519062
3728_105386_000001_000000	CHAPTER VII THE SECRET ORCHARD	CHAPTER seven THE SECRET ORCHARD	true	18.48	20.89	22.713602
3728_105386_000002_000000	Once outside the noisy coffee-room, alone in the dimly-lighted passage, Marguerite Blakeney seemed to breathe more freely.	Once outside the noisy coffee room, alone in the dimly lighted passage, Marguerite Blakeney seemed to breathe more freely.	true	21.5	29.07	21.190908
3728_105386_000002_000001	She heaved a deep sigh, like one who had long been oppressed with the heavy weight of constant self-control, and she allowed a few tears to fall unheeded down her cheeks.	She heaved a deep sigh, like one who had long been oppressed with the heavy weight of constant self control, and she allowed a few tears to fall unheeded down her cheeks.	true	29.07	38.62	23.31122
3728_105386_000003_000000	Outside the rain had ceased, and through the swiftly passing clouds, the pale rays of an after-storm sun shone upon the beautiful white coast of Kent and the quaint, irregular houses that clustered round the Admiralty Pier.	Outside the rain had ceased, and through the swiftly passing clouds, the pale rays of an after storm sun shone upon the beautiful white coast of Kent and the quaint, irregular houses that clustered round the Admiralty Pier.	true	38.84	52.38	21.420166
3728_105386_000003_000001	Marguerite Blakeney stepped on to the porch and looked out to sea. Silhouetted against the ever-changing sky, a graceful schooner, with white sails set, was gently dancing in the breeze.	Marguerite Blakeney stepped on to the porch and looked out to sea. Silhouetted against the ever changing sky, a graceful schooner, with white sails set, was gently dancing in the breeze.	false	52.38	63.91	23.152225
3728_105386_000003_000002	The DAY DREAM it was, Sir Percy Blakeney's yacht, which was ready to take Armand St. Just back to France into the very midst of that seething, bloody Revolution which was overthrowing a monarchy, attacking a religion, destroying a society, in order to try and rebuild upon the ashes of tradition a new Utopia, of which a few men dreamed, but which none had the power to establish.	The DAY DREAM it was, Sir Percy Blakeney's yacht, which was ready to take Armand st Just back to France into the very midst of that seething, bloody Revolution which was overthrowing a monarchy, attacking a religion, destroying a society, in order to try and rebuild upon the ashes of tradition a new Utopia, of which a few men dreamed, but which none had the power to establish.	false	63.98	90.19	22.381002
3728_105386_000004_000000	In the distance two figures were approaching "The Fisherman's Rest": one, an oldish man, with a curious fringe of grey hairs round a rotund and massive chin, and who walked with that peculiar rolling gait which invariably betrays the seafaring man: the other, a young, slight figure, neatly and becomingly dressed in a dark, many caped overcoat; he was clean-shaved, and his dark hair was taken well back over a clear and noble forehead.	In the distance two figures were approaching "The Fisherman's Rest": one, an oldish man, with a curious fringe of grey hairs round a rotund and massive chin, and who walked with that peculiar rolling gait which invariably betrays the seafaring man: the other, a young, slight figure, neatly and becomingly dressed in a dark, many caped overcoat; he was clean shaved, and his dark hair was taken well back over a clear and noble forehead.	true	91.13	119.23	22.016874
3728_105386_000005_000000	"Armand!" said Marguerite Blakeney, as soon as she saw him approaching from the distance, and a happy smile shone on her sweet face, even through the tears.	"Armand!" said Marguerite Blakeney, as soon as she saw him approaching from the distance, and a happy smile shone on her sweet face, even through the tears.	true	120.08	128.865	20.380167
3728_105386_000006_000000	A minute or two later brother and sister were locked in each other's arms, while the old skipper stood respectfully on one side.	A minute or two later brother and sister were locked in each other's arms, while the old skipper stood respectfully on one side.	false	128.865	136.15	22.967821
3728_105386_000007_000000	"How much time have we got, Briggs?" asked Lady Blakeney, "before M. St. Just need go on board?"	"How much time have we got, Briggs?" asked Lady Blakeney, "before m st Just need go on board?"	false	136.4	142.39	22.897148
3728_105386_000008_000000	"We ought to weigh anchor before half an hour, your ladyship," replied the old man, pulling at his grey forelock.	"We ought to weigh anchor before half an hour, your ladyship," replied the old man, pulling at his grey forelock.	false	142.43	148.66	23.033575
3728_105386_000009_000000	Linking her arm in his, Marguerite led her brother towards the cliffs.	Linking her arm in his, Marguerite led her brother towards the cliffs.	true	148.97	152.38	18.648077
3728_105386_000010_000000	"Half an hour," she said, looking wistfully out to sea, "half an hour more and you'll be far from me, Armand!	"Half an hour," she said, looking wistfully out to sea, "half an hour more and you'll be far from me, Armand!	true	152.87	159.73	21.647738
3728_105386_000010_000001	Oh!	Oh!	true	160.31	160.62	100
3728_105386_000010_000002	I can't believe that you are going, dear!	I can't believe that you are going, dear!	true	160.62	162.855	21
3728_105386_000010_000003	These last few days--whilst Percy has been away, and I've had you all to myself, have slipped by like a dream."	These last few days-whilst Percy has been away, and I've had you all to myself, have slipped by like a dream."	false	162.855	169.71	22.115501
3728_105386_000011_000000	"I am not going far, sweet one," said the young man gently, "a narrow channel to cross--a few miles of road--I can soon come back."	"I am not going far, sweet one," said the young man gently, "a narrow channel to cross-a few miles of road-I can soon come back."	false	169.71	178.69	22.930674
3728_105386_000012_000000	"Nay, 'tis not the distance, Armand--but that awful Paris . . . just now . . ."	"Nay, 'tis not the distance, Armand-but that awful Paris . . . just now . . ."	true	178.97	184.15	24.46003
3728_105386_000013_000000	They had reached the edge of the cliff.	They had reached the edge of the cliff.	true	184.82	186.93	22.50687
3728_105386_000013_000001	The gentle sea-breeze blew Marguerite's hair about her face, and sent the ends of her soft lace fichu waving round her, like a white and supple snake.	The gentle sea breeze blew Marguerite's hair about her face, and sent the ends of her soft lace fichu waving round her, like a white and supple snake.	false	186.93	195.975	21.45225
3728_105386_000013_000002	She tried to pierce the distance far away, beyond which lay the shores of France: that relentless and stern France which was exacting her pound of flesh, the blood-tax from the noblest of her sons.	She tried to pierce the distance far away, beyond which lay the shores of France: that relentless and stern France which was exacting her pound of flesh, the blood tax from the noblest of her sons.	true	195.975	208.545	21.277306
3728_105386_000014_000000	"Our own beautiful country, Marguerite," said Armand, who seemed to have divined her thoughts.	"Our own beautiful country, Marguerite," said Armand, who seemed to have divined her thoughts.	true	208.545	214.21	23.07538
3728_105386_000015_000000	"They are going too far, Armand," she said vehemently.	"They are going too far, Armand," she said vehemently.	true	214.25	217.84	21.71933
3728_105386_000015_000001	"You are a republican, so am I . . . we have the same thoughts, the same enthusiasm for liberty and equality . . . but even YOU must think that they are going too far . . ."	"You are a republican, so am I . . . we have the same thoughts, the same enthusiasm for liberty and equality . . . but even YOU must think that they are going too far . . ."	false	218	228.09	22.56874
3728_105386_000016_000000	"Hush!--" said Armand, instinctively, as he threw a quick, apprehensive glance around him.	"Hush!--" said Armand, instinctively, as he threw a quick, apprehensive glance around him.	true	228.09	233.62	21.74477
3728_105386_000017_000000	"Ah! you see: you don't think yourself that it is safe even to speak of these things--here in England!" She clung to him suddenly with strong, almost motherly, passion: "Don't go, Armand!" she begged; "don't go back!	"Ah! you see: you don't think yourself that it is safe even to speak of these things-here in England!" She clung to him suddenly with strong, almost motherly, passion: "Don't go, Armand!" she begged; "don't go back!	false	234.11	249.045	22.824612
3728_105386_000017_000001	What should I do if . . . if . . . if . . ."	What should I do if . . . if . . . if . . ."	false	249.045	252.87	21.1075
3728_105386_000018_000000	Her voice was choked in sobs, her eyes, tender, blue and loving, gazed appealingly at the young man, who in his turn looked steadfastly into hers.	Her voice was choked in sobs, her eyes, tender, blue and loving, gazed appealingly at the young man, who in his turn looked steadfastly into hers.	true	252.87	263.17	21.891064
3728_105386_000019_000000	"You would in any case be my own brave sister," he said gently, "who would remember that, when France is in peril, it is not for her sons to turn their backs on her."	"You would in any case be my own brave sister," he said gently, "who would remember that, when France is in peril, it is not for her sons to turn their backs on her."	true	263.93	274.06	23.354942
3728_105386_000020_000000	Even as he spoke, that sweet childlike smile crept back into her face, pathetic in the extreme, for it seemed drowned in tears.	Even as he spoke, that sweet childlike smile crept back into her face, pathetic in the extreme, for it seemed drowned in tears.	false	274.79	283.36	24.345612
3728_105386_000021_000000	"Oh! Armand!" she said quaintly, "I sometimes wish you had not so many lofty virtues. . . .	"Oh! Armand!" she said quaintly, "I sometimes wish you had not so many lofty virtues. . . .	true	284.21	290.65	20.854958
3728_105386_000021_000001	I assure you little sins are far less dangerous and uncomfortable.	I assure you little sins are far less dangerous and uncomfortable.	true	291.11	295.48	20.17775
3728_105386_000021_000002	But you WILL be prudent?" she added earnestly.	But you WILL be prudent?" she added earnestly.	true	295.88	298.99	22.5635
3728_105386_000022_000000	"As far as possible . . .	"As far as possible . . .	true	299.36	300.855	24.802597
3728_105386_000022_000001	I promise you."	I promise you."	true	300.855	301.87	21.081467
3728_105386_000023_000000	"Remember, dear, I have only you . . . to . . . to care for me. . . ."	"Remember, dear, I have only you . . . to . . . to care for me. . . ."	true	302.57	307.72	17.614916
3728_105386_000024_000000	"Nay, sweet one, you have other interests now.	"Nay, sweet one, you have other interests now.	true	308.78	311.61	22.11664
3728_105386_000024_000001	Percy cares for you . . ."	Percy cares for you . . ."	true	311.61	313.33	24.132479
3728_105386_000025_000000	A look of strange wistfulness crept into her eyes as she murmured,--	A look of strange wistfulness crept into her eyes as she murmured,--	true	313.88	317.62	21.416218
3728_105386_000026_000000	"He did . . . once . . ."	"He did . . . once . . ."	true	317.66	319.27	22.570156
3728_105386_000027_000000	"But surely . . ."	"But surely . . ."	true	319.61	320.83	21.554394
3728_105386_000028_000000	"There, there, dear, don't distress yourself on my account.	"There, there, dear, don't distress yourself on my account.	true	321.02	324.705	21.962946
3728_105386_000028_000001	Percy is very good . . ."	Percy is very good . . ."	true	324.705	326.32	23.372562
