5293_82020_000000_000000	Karl soon found himself before the house in which his friend Hoellenrachen resided.	Karl soon found himself before the house in which his friend Hoellenrachen resided.	true	22.8	27.55	22.86426
5293_82020_000000_000001	Knowing his studious habits, he had hoped to see his light still burning, nor was he disappointed.	Knowing his studious habits, he had hoped to see his light still burning, nor was he disappointed.	true	27.74	33.04	21.877834
5293_82020_000000_000002	He contrived to bring him to his window, and a moment after, the door was cautiously opened.	He contrived to bring him to his window, and a moment after, the door was cautiously opened.	true	33.65	38.64	23.738447
5293_82020_000001_000000	"Why, Lottchen, where do you come from?"	"Why, Lottchen, where do you come from?"	false	38.64	43.26	24.908485
5293_82020_000002_000000	"From the grave, Heinrich, or next door to it."	"From the grave, Heinrich, or next door to it."	true	43.26	45.6	24.45003
5293_82020_000003_000000	"Come in, and tell me all about it.	"Come in, and tell me all about it.	false	45.6	48.69	17.132938
5293_82020_000003_000001	We thought the old painter had made a model of you, and tortured you to death."	We thought the old painter had made a model of you, and tortured you to death."	false	48.69	52.54	21.801956
5293_82020_000004_000000	"Perhaps you were not far wrong.	"Perhaps you were not far wrong.	true	53.78	55.63	23.908943
5293_82020_000004_000001	But get me a horn of ale, for even a vampire is thirsty, you know."	But get me a horn of ale, for even a vampire is thirsty, you know."	true	55.76	59.2	23.75783
5293_82020_000005_000000	"A vampire!" exclaimed Heinrich, retreating a pace, and involuntarily putting himself upon his guard.	"A vampire!" exclaimed Heinrich, retreating a pace, and involuntarily putting himself upon his guard.	true	59.45	65.65	25.386143
5293_82020_000006_000000	Karl laughed.	Karl laughed.	true	65.99	67.18	29.194902
5293_82020_000007_000000	"My hand was warm, was it not, old fellow?" he said.	"My hand was warm, was it not, old fellow?" he said.	true	67.76	70.77	22.818008
5293_82020_000007_000001	"Vampires are cold, all but the blood."	"Vampires are cold, all but the blood."	true	70.77	73.3	23.186495
5293_82020_000008_000000	"What a fool I am!" rejoined Heinrich.	"What a fool I am!" rejoined Heinrich.	true	73.85	76.48	23.77446
5293_82020_000008_000001	"But you know we have been hearing such horrors lately that a fellow may be excused for shuddering a little when a pale-faced apparition tells him at two o'clock in the morning that he is a vampire, and thirsty, too."	"But you know we have been hearing such horrors lately that a fellow may be excused for shuddering a little when a pale faced apparition tells him at two o'clock in the morning that he is a vampire, and thirsty, too."	false	76.79	89.4	21.985525
5293_82020_000009_000000	Karl told him the whole story; and the mental process of regarding it for the sake of telling it, revealed to him pretty clearly some of the treatment of which he had been unconscious at the time.	Karl told him the whole story; and the mental process of regarding it for the sake of telling it, revealed to him pretty clearly some of the treatment of which he had been unconscious at the time.	true	89.4	98.32	22.755405
5293_82020_000009_000001	Heinrich was quite sure that his suspicions were correct.	Heinrich was quite sure that his suspicions were correct.	true	98.69	101.65	25.106953
5293_82020_000009_000002	And now the question was, what was to be done next?	And now the question was, what was to be done next?	true	101.75	104.97	22.940647
5293_82020_000010_000000	"At all events," said Heinrich, "we must keep you out of the way for some time.	"At all events," said Heinrich, "we must keep you out of the way for some time.	false	104.97	110.5	20.614733
5293_82020_000010_000001	I will represent to my landlady that you are in hiding from enemies, and her heart will rule her tongue.	I will represent to my landlady that you are in hiding from enemies, and her heart will rule her tongue.	false	110.66	117	22.0651
5293_82020_000010_000002	She can let you have a garret-room, I know; and I will do as well as I can to bear you company. We shall have time then to invent some plan of operation."	She can let you have a garret room, I know; and I will do as well as I can to bear you company. We shall have time then to invent some plan of operation."	false	117	126.37	22.307959
5293_82020_000011_000000	To this proposal Karl agreed with hearty thanks, and soon all was arranged.	To this proposal Karl agreed with hearty thanks, and soon all was arranged.	true	127.31	131.985	23.239037
5293_82020_000011_000001	The only conclusion they could yet arrive at was, that somehow or other the old demon-painter must be tamed.	The only conclusion they could yet arrive at was, that somehow or other the old demon painter must be tamed.	true	131.985	138.52	22.765833
5293_82020_000012_000000	Meantime, how fared it with Lilith?	Meantime, how fared it with Lilith?	true	139.19	141.61	24.749321
5293_82020_000012_000001	She too had no doubt that she had seen the body-ghost of poor Karl, and that the vampire had, according to rule, paid her the first visit because he loved her best.	She too had no doubt that she had seen the body ghost of poor Karl, and that the vampire had, according to rule, paid her the first visit because he loved her best.	true	141.77	151.63	23.417625
5293_82020_000012_000002	This was horrible enough if the vampire were not really the person he represented; but if in any sense it were Karl himself, at least it gave some expectation of a more prolonged existence than her father had taught her to look for; and if love anything like her mother's still lasted, even along with the habits of a vampire, there was something to hope for in the future.	This was horrible enough if the vampire were not really the person he represented; but if in any sense it were Karl himself, at least it gave some expectation of a more prolonged existence than her father had taught her to look for; and if love anything like her mother's still lasted, even along with the habits of a vampire, there was something to hope for in the future.	false	152.09	173.23	22.533062
5293_82020_000012_000003	And then, though he had visited her, he had not, as far as she was aware, deprived her of a drop of blood.	And then, though he had visited her, he had not, as far as she was aware, deprived her of a drop of blood.	true	173.6	180.16	23.25341
5293_82020_000012_000004	She could not be certain that he had not bitten her, for she had been in such a strange condition of mind that she might not have felt it, but she believed that he had restrained the impulses of his vampire nature, and had left her, lest he should yet yield to them.	She could not be certain that he had not bitten her, for she had been in such a strange condition of mind that she might not have felt it, but she believed that he had restrained the impulses of his vampire nature, and had left her, lest he should yet yield to them.	true	180.23	194.35	21.719965
5293_82020_000012_000005	She fell fast asleep; and, when morning came, there was not, as far as she could judge, one of those triangular leech-like perforations to be found upon her whole body.	She fell fast asleep; and, when morning came, there was not, as far as she could judge, one of those triangular leech like perforations to be found upon her whole body.	true	194.69	204.37	22.760387
5293_82020_000012_000006	Will it be believed that the moment she was satisfied of this, she was seized by a terrible jealousy, lest Karl should have gone and bitten some one else?	Will it be believed that the moment she was satisfied of this, she was seized by a terrible jealousy, lest Karl should have gone and bitten some one else?	true	204.74	214.72	23.25159
5293_82020_000012_000007	Most people will wonder that she should not have gone out of her senses at once; but there was all the difference between a visit from a real vampire and a visit from a man she had begun to love, even although she took him for a vampire.	Most people will wonder that she should not have gone out of her senses at once; but there was all the difference between a visit from a real vampire and a visit from a man she had begun to love, even although she took him for a vampire.	false	214.79	227.41	21.403309
5293_82020_000012_000008	All the difference does _not_ lie in a name.	All the difference does underscore not underscore lie in a name.	false	227.87	230.44	22.210745
5293_82020_000012_000009	They were very different causes, and the effects must be very different.	They were very different causes, and the effects must be very different.	true	231.14	234.73	22.03099
5293_82020_000013_000000	When Teufelsbuerst came down in the morning, he crept into the studio like a murderer.	When Teufelsbuerst came down in the morning, he crept into the studio like a murderer.	false	236.15	240.94	24.481089
5293_82020_000013_000001	There lay the awful white block, seeming to his eyes just the same as he had left it.	There lay the awful white block, seeming to his eyes just the same as he had left it.	true	241.22	246.07	22.939768
5293_82020_000013_000002	What was to be done with it?	What was to be done with it?	true	246.29	247.78	23.106527
5293_82020_000013_000003	He dared not open it.	He dared not open it.	true	248.12	249.49	25.40557
5293_82020_000013_000004	Mould and model must go together.	Mould and model must go together.	true	249.56	251.62	24.391418
5293_82020_000013_000005	But whither?	But whither?	false	251.69	253.29	20.522486
5293_82020_000013_000006	If inquiry should be made after Wolkenlicht, and this were discovered anywhere on his premises, would it not be enough to bring him at once to the gallows?	If inquiry should be made after Wolkenlicht, and this were discovered anywhere on his premises, would it not be enough to bring him at once to the gallows?	true	253.29	261.34	22.112213
5293_82020_000013_000007	Therefore it would be dangerous to bury it in the garden, or in the cellar.	Therefore it would be dangerous to bury it in the garden, or in the cellar.	true	261.74	265.36	21.536362
5293_82020_000014_000000	"Besides," thought he, with a shudder, "that would be to fix the vampire as a guest for ever."--And the horrors of the past night rushed back upon his imagination with renewed intensity.	"Besides," thought he, with a shudder, "that would be to fix the vampire as a guest for ever."--And the horrors of the past night rushed back upon his imagination with renewed intensity.	true	265.76	276.04	22.50872
5293_82020_000014_000001	What would it be to have the dead Karl crawling about his house for ever, now inside, now out, now sitting on the stairs, now staring in at the windows?	What would it be to have the dead Karl crawling about his house for ever, now inside, now out, now sitting on the stairs, now staring in at the windows?	true	276.59	284.89	22.318657
5293_82020_000015_000000	He would have dragged it to the bottom of his garden, past which the Moldau flowed, and plunged it into the stream; but then, should the spectre continue to prove troublesome, it would be almost impossible to reach the body so as to destroy it by fire; besides which, he could not do it without assistance, and the probability of discovery.	He would have dragged it to the bottom of his garden, past which the Moldau flowed, and plunged it into the stream; but then, should the spectre continue to prove troublesome, it would be almost impossible to reach the body so as to destroy it by fire; besides which, he could not do it without assistance, and the probability of discovery.	true	285.11	303.55	23.450563
5293_82020_000015_000001	If, however, the apparition should turn out to be no vampire, but only a respectable ghost, they might manage to endure its presence, till it should be weary of haunting them.	If, however, the apparition should turn out to be no vampire, but only a respectable ghost, they might manage to endure its presence, till it should be weary of haunting them.	true	304.07	313.45	25.328604
5293_82020_000016_000000	He resolved at last to convey the body for the meantime into a concealed cellar in the house, seeing something must be done before his daughter came down.	He resolved at last to convey the body for the meantime into a concealed cellar in the house, seeing something must be done before his daughter came down.	true	314.18	321.58	21.411877
5293_82020_000016_000001	Proceeding to remove it, his consternation as greatly increased when he discovered how the body had grown in weight since he had thus disposed of it, leaving on his mind scarcely a hope that it could turn out not to be a vampire after all.	Proceeding to remove it, his consternation as greatly increased when he discovered how the body had grown in weight since he had thus disposed of it, leaving on his mind scarcely a hope that it could turn out not to be a vampire after all.	true	321.89	334.3	22.60684
5293_82020_000016_000002	He could scarcely stir it, and there was but one whom he could call to his assistance--the old woman who acted as his housekeeper and servant.	He could scarcely stir it, and there was but one whom he could call to his assistance-the old woman who acted as his housekeeper and servant.	true	334.58	342.13	23.877817
5293_82020_000017_000000	He went to her room, roused her, and told her the whole story.	He went to her room, roused her, and told her the whole story.	true	342.65	346.18	26.070824
5293_82020_000017_000001	Devoted to her master for many years, and not quite so sensitive to fearful influences as when less experienced in horrors, she showed immediate readiness to render him assistance.	Devoted to her master for many years, and not quite so sensitive to fearful influences as when less experienced in horrors, she showed immediate readiness to render him assistance.	true	346.37	356.65	23.746962
5293_82020_000017_000002	Utterly unable, however, to lift the mass between them, they could only drag and push it along; and such a slow toil was it that there was no time to remove the traces of its track, before Lilith came down and saw a broad white line leading from the door of the studio down the cellarstairs.	Utterly unable, however, to lift the mass between them, they could only drag and push it along; and such a slow toil was it that there was no time to remove the traces of its track, before Lilith came down and saw a broad white line leading from the door of the studio down the cellarstairs.	true	356.93	373.84	23.113201
5293_82020_000017_000003	She knew in a moment what it meant; but not a word was uttered about the matter, and the name of Karl Wolkenlicht seemed to be entirely forgotten.	She knew in a moment what it meant; but not a word was uttered about the matter, and the name of Karl Wolkenlicht seemed to be entirely forgotten.	true	374.12	382.21	22.585089
5293_82020_000018_000000	But how could the affairs of a house go on all the same when every one of the household knew that a dead body lay in the cellar?--nay more, that, although it lay still and dead enough all day, it would come half alive at nightfall, and, turning the whole house into a sepulchre by its presence, go creeping about like a cat all over it in the dark--perhaps with phosphorescent eyes?	But how could the affairs of a house go on all the same when every one of the household knew that a dead body lay in the cellar?--nay more, that, although it lay still and dead enough all day, it would come half alive at nightfall, and, turning the whole house into a sepulchre by its presence, go creeping about like a cat all over it in the dark-perhaps with phosphorescent eyes?	true	383.15	404.5	22.441114
5293_82020_000018_000001	So it was not surprising that the painter abandoned his studio early, and that the three found themselves together in the gorgeous room formerly described, as soon as twilight began to fall.	So it was not surprising that the painter abandoned his studio early, and that the three found themselves together in the gorgeous room formerly described, as soon as twilight began to fall.	true	405.11	415.18	23.63208
5293_82020_000019_000000	Already Teufelsbuerst had begun to experience a kind of shrinking from the horrid faces in his own pictures, and to feel disgusted at the abortions of his own mind.	Already Teufelsbuerst had begun to experience a kind of shrinking from the horrid faces in his own pictures, and to feel disgusted at the abortions of his own mind.	true	416.18	425.14	21.632126
5293_82020_000019_000001	But all that he and the old woman now felt was an increasing fear as the night drew on, a kind of sickening and paralysing terror.	But all that he and the old woman now felt was an increasing fear as the night drew on, a kind of sickening and paralysing terror.	false	425.54	433.39	22.501087
5293_82020_000019_000002	The thing down there would not lie quiet--at least its phantom in the cellars of their imagination would not.	The thing down there would not lie quiet-at least its phantom in the cellars of their imagination would not.	true	434.27	440.05	19.964722
