3380_6175_000001_000000	VII.	seven.
3380_6175_000002_000002	Plainly she was the mere puppet of her moods, and more than that, any cunning nurse who knew her well enough could call or send away those moods almost as she pleased, like a showman pulling strings behind a show.	Plainly she was the mere puppet of her moods, and more than that, any cunning nurse who knew her well enough could call or send away those moods almost as she pleased, like a showman pulling strings behind a show.
3380_6175_000002_000003	Agnes, on the contrary, seldom changed her mood, but kept that of calm assured self-satisfaction.	Agnes, on the contrary, seldom changed her mood, but kept that of calm assured self satisfaction.
3380_6175_000002_000004	Father nor mother had ever by wise punishment helped her to gain a victory over herself, and do what she did not like or choose; and their folly in reasoning with one unreasonable had fixed her in her conceit.	Father nor mother had ever by wise punishment helped her to gain a victory over herself, and do what she did not like or choose; and their folly in reasoning with one unreasonable had fixed her in her conceit.
3380_6175_000002_000005	She would actually nod her head to herself in complacent pride that she had stood out against them.	She would actually nod her head to herself in complacent pride that she had stood out against them.
3380_6175_000003_000000	Whether it be a good thing or a bad not to be afraid depends on what the fearlessness is founded upon.	Whether it be a good thing or a bad not to be afraid depends on what the fearlessness is founded upon.
3380_6175_000003_000001	Some have no fear, because they have no knowledge of the danger: there is nothing fine in that.	Some have no fear, because they have no knowledge of the danger: there is nothing fine in that.
3380_6175_000003_000002	Some are too stupid to be afraid: there is nothing fine in that.	Some are too stupid to be afraid: there is nothing fine in that.
3380_6175_000003_000003	Some who are not easily frightened would yet turn their backs and run, the moment they were frightened: such never had more courage than fear.	Some who are not easily frightened would yet turn their backs and run, the moment they were frightened: such never had more courage than fear.
3380_6175_000003_000004	But the man who will do his work in spite of his fear is a man of true courage.	But the man who will do his work in spite of his fear is a man of true courage.
3380_6175_000003_000005	The fearlessness of Agnes was only ignorance: she did not know what it was to be hurt; she had never read a single story of giant, or ogress or wolf; and her mother had never carried out one of her threats of punishment.	The fearlessness of Agnes was only ignorance: she did not know what it was to be hurt; she had never read a single story of giant, or ogress or wolf; and her mother had never carried out one of her threats of punishment.
3380_6175_000004_000000	Nothing such, however, was in the wise woman's plan for the curing of her.	Nothing such, however, was in the wise woman's plan for the curing of her.
3380_6175_000004_000001	On and on she carried her without a word.	On and on she carried her without a word.
3380_6175_000004_000002	She knew that if she set her down she would never run after her like the princess, at least not before the evil thing was already upon her.	She knew that if she set her down she would never run after her like the princess, at least not before the evil thing was already upon her.
3380_6175_000004_000003	On and on she went, never halting, never letting the light look in, or Agnes look out.	On and on she went, never halting, never letting the light look in, or Agnes look out.
3380_6175_000004_000004	She walked very fast, and got home to her cottage very soon after the princess had gone from it.	She walked very fast, and got home to her cottage very soon after the princess had gone from it.
3380_6175_000005_000000	But she did not set Agnes down either in the cottage or in the great hall.	But she did not set Agnes down either in the cottage or in the great hall.
3380_6175_000005_000001	She had other places, none of them alike.	She had other places, none of them alike.
3380_6175_000005_000002	The place she had chosen for Agnes was a strange one--such a one as is to be found nowhere else in the wide world.	The place she had chosen for Agnes was a strange one-such a one as is to be found nowhere else in the wide world.
3380_6175_000006_000000	It was a great hollow sphere, made of a substance similar to that of the mirror which Rosamond had broken, but differently compounded.	It was a great hollow sphere, made of a substance similar to that of the mirror which Rosamond had broken, but differently compounded.
3380_6175_000006_000002	It had neither door, nor window, nor any opening to break its perfect roundness.	It had neither door, nor window, nor any opening to break its perfect roundness.
3380_6175_000007_000000	The wise woman carried Agnes into a dark room, there undressed her, took from her hand her knitting-needles, and put her, naked as she was born, into the hollow sphere.	The wise woman carried Agnes into a dark room, there undressed her, took from her hand her knitting needles, and put her, naked as she was born, into the hollow sphere.
3380_6175_000008_000000	What sort of a place it was she could not tell.	What sort of a place it was she could not tell.
3380_6175_000008_000001	She could see nothing but a faint cold bluish light all about her.	She could see nothing but a faint cold bluish light all about her.
3380_6175_000008_000002	She could not feel that any thing supported her, and yet she did not sink.	She could not feel that any thing supported her, and yet she did not sink.
3380_6175_000008_000003	She stood for a while, perfectly calm, then sat down.	She stood for a while, perfectly calm, then sat down.
