8011_111754_000000_000000	JAMES MONROE.	james MONROE.	true	22.86	24.49	21
8011_111754_000001_000000	The fifth president of the United States was a native of the grand Old Dominion, being born in Westmoreland county, Virginia, April 28, 1758. Like his predecessor, Madison, he was the son of a planter.	The fifth president of the United States was a native of the grand Old Dominion, being born in Westmoreland county virginia, april twenty eighth seventeen fifty eight. Like his predecessor, Madison, he was the son of a planter.	true	25.55	40.15	21.085842
8011_111754_000001_000001	Another strange incident:--Within sight of Blue Ridge in Virginia, lived three presidents of the United States, whose public career commenced in the revolutionary times and whose political faith was the same throughout a long series of years.	Another strange incident:--Within sight of Blue Ridge in Virginia, lived three presidents of the United States, whose public career commenced in the revolutionary times and whose political faith was the same throughout a long series of years.	true	40.37	53.77	21
8011_111754_000001_000002	These were Thomas Jefferson, James Madison and James Monroe.	These were Thomas Jefferson, james Madison and james Monroe.	true	53.9	57.94	21
8011_111754_000002_000000	In early youthhood Monroe received a good education, but left school to join the army and soon after was commissioned a lieutenant.	In early youthhood Monroe received a good education, but left school to join the army and soon after was commissioned a lieutenant.	true	58.7	66.01	20.292831
8011_111754_000002_000001	He took an active part in the campaign on the Hudson, and in the attack on Trenton, at the head of a small detachment, he captured one of the British batteries.	He took an active part in the campaign on the Hudson, and in the attack on Trenton, at the head of a small detachment, he captured one of the British batteries.	true	66.23	74.53	23.592356
8011_111754_000002_000002	On this occasion he received a ball in the shoulder, and was promoted to a captaincy.	On this occasion he received a ball in the shoulder, and was promoted to a captaincy.	true	75.11	79.39	20.677526
8011_111754_000002_000003	As aide-de-camp to Lord Sterling, with the rank of major, he served in the campaign of 1777 and 1778, and distinguished himself in the battles of Brandywine, Germantown and Monmouth.	As aide de camp to Lord Sterling, with the rank of major, he served in the campaign of seventeen seventy seven and seventeen seventy eight, and distinguished himself in the battles of Brandywine, Germantown and Monmouth.	true	79.82	92.35	20.814579
8011_111754_000003_000000	Leaving the army, he returned to Virginia and commenced the study of law under Thomas Jefferson, then Governor of the State.	Leaving the army, he returned to Virginia and commenced the study of law under Thomas Jefferson, then Governor of the State.	true	93.08	99.52	21.256235
8011_111754_000003_000001	When the British appeared soon afterward in the State, Monroe exerted himself to the utmost in organizing the militia of the lower counties; and when the enemy proceeded southward, Jefferson sent him as military commissioner to the army in South Carolina.	When the British appeared soon afterward in the State, Monroe exerted himself to the utmost in organizing the militia of the lower counties; and when the enemy proceeded southward, Jefferson sent him as military commissioner to the army in South Carolina.	true	99.77	113.47	20.82797
8011_111754_000004_000000	In 1782, he was elected to the assembly of Virginia from the county of King George, and was appointed by that body, although but twenty-three years of age, a member of the executive council.	In seventeen eighty two, he was elected to the assembly of Virginia from the county of King George, and was appointed by that body, although but twenty three years of age, a member of the executive council.	true	113.84	124.54	22.352207
8011_111754_000004_000001	In 1783 he was chosen a delegate to congress for a period of three years, and took his seat on December 13th.	In seventeen eighty three he was chosen a delegate to congress for a period of three years, and took his seat on december thirteenth.	false	125.09	131.68	22.627808
8011_111754_000004_000002	Convinced that it was impossible to govern the people under the old articles of confederation, he advocated an extension of the powers of congress, and in 1785 moved to invest in that body power to regulate the trade between the States.	Convinced that it was impossible to govern the people under the old articles of confederation, he advocated an extension of the powers of congress, and in seventeen eighty five moved to invest in that body power to regulate the trade between the States.	false	131.93	144.64	22
8011_111754_000005_000000	The resolution was referred to a committee of which he was chairman, and a report was made in favor of the measure.	The resolution was referred to a committee of which he was chairman, and a report was made in favor of the measure.	true	144.8	150.46	20
8011_111754_000005_000001	This led to the convention of Annapolis, and the subsequent adoption of the Federal Constitution. Monroe also exerted himself in devising a system for the settlement of the public lands, and was appointed a member of the committee to decide the boundary between Massachusetts and New York.	This led to the convention of Annapolis, and the subsequent adoption of the Federal Constitution. Monroe also exerted himself in devising a system for the settlement of the public lands, and was appointed a member of the committee to decide the boundary between Massachusetts and New York.	false	150.56	166.39	21.485018
8011_111754_000005_000002	He strongly opposed the relinquishment of the right to navigate the Mississippi river as demanded by Spain.	He strongly opposed the relinquishment of the right to navigate the Mississippi river as demanded by Spain.	true	166.52	171.67	19
8011_111754_000006_000000	Once more we see the value of a proper and elevating marriage, as a feature in the success of our great men.	Once more we see the value of a proper and elevating marriage, as a feature in the success of our great men.	true	172.28	177.55	18
8011_111754_000006_000001	In 1785 he married a daughter of Peter Kortright, a lady of refinement and culture.	In seventeen eighty five he married a daughter of peter Kortright, a lady of refinement and culture.	true	177.95	182.92	20.495567
8011_111754_000006_000002	He, being inelligible for the next three years according to the laws, settled in Fredericksburg.	He, being inelligible for the next three years according to the laws, settled in Fredericksburg.	true	183.05	188.11	19.120274
8011_111754_000007_000000	In 1787 he was re-elected to the general assembly, and in 1788 was chosen a delegate to the Virginia convention to decide upon the adoption of the Federal Constitution.	In seventeen eighty seven he was re-elected to the general assembly, and in seventeen eighty eight was chosen a delegate to the Virginia convention to decide upon the adoption of the Federal Constitution.	false	188.39	197.79	21
