8011_111754_000000_000000	JAMES MONROE.	james MONROE.
8011_111754_000001_000000	The fifth president of the United States was a native of the grand Old Dominion, being born in Westmoreland county, Virginia, April 28, 1758. Like his predecessor, Madison, he was the son of a planter.	The fifth president of the United States was a native of the grand Old Dominion, being born in Westmoreland county virginia, april twenty eighth seventeen fifty eight. Like his predecessor, Madison, he was the son of a planter.
8011_111754_000001_000001	Another strange incident:--Within sight of Blue Ridge in Virginia, lived three presidents of the United States, whose public career commenced in the revolutionary times and whose political faith was the same throughout a long series of years.	Another strange incident:--Within sight of Blue Ridge in Virginia, lived three presidents of the United States, whose public career commenced in the revolutionary times and whose political faith was the same throughout a long series of years.
8011_111754_000001_000002	These were Thomas Jefferson, James Madison and James Monroe.	These were Thomas Jefferson, james Madison and james Monroe.
8011_111754_000002_000000	In early youthhood Monroe received a good education, but left school to join the army and soon after was commissioned a lieutenant.	In early youthhood Monroe received a good education, but left school to join the army and soon after was commissioned a lieutenant.
8011_111754_000002_000001	He took an active part in the campaign on the Hudson, and in the attack on Trenton, at the head of a small detachment, he captured one of the British batteries.	He took an active part in the campaign on the Hudson, and in the attack on Trenton, at the head of a small detachment, he captured one of the British batteries.
8011_111754_000002_000002	On this occasion he received a ball in the shoulder, and was promoted to a captaincy.	On this occasion he received a ball in the shoulder, and was promoted to a captaincy.
8011_111754_000002_000003	As aide-de-camp to Lord Sterling, with the rank of major, he served in the campaign of 1777 and 1778, and distinguished himself in the battles of Brandywine, Germantown and Monmouth.	As aide de camp to Lord Sterling, with the rank of major, he served in the campaign of seventeen seventy seven and seventeen seventy eight, and distinguished himself in the battles of Brandywine, Germantown and Monmouth.
8011_111754_000003_000000	Leaving the army, he returned to Virginia and commenced the study of law under Thomas Jefferson, then Governor of the State.	Leaving the army, he returned to Virginia and commenced the study of law under Thomas Jefferson, then Governor of the State.
8011_111754_000003_000001	When the British appeared soon afterward in the State, Monroe exerted himself to the utmost in organizing the militia of the lower counties; and when the enemy proceeded southward, Jefferson sent him as military commissioner to the army in South Carolina.	When the British appeared soon afterward in the State, Monroe exerted himself to the utmost in organizing the militia of the lower counties; and when the enemy proceeded southward, Jefferson sent him as military commissioner to the army in South Carolina.
8011_111754_000004_000000	In 1782, he was elected to the assembly of Virginia from the county of King George, and was appointed by that body, although but twenty-three years of age, a member of the executive council.	In seventeen eighty two, he was elected to the assembly of Virginia from the county of King George, and was appointed by that body, although but twenty three years of age, a member of the executive council.
