3171_7574_000001_000000	POSTSCRIPT	POSTSCRIPT
3171_7574_000002_000001	I therefore add this epilogue, which must also be so brief as possibly to remedy but little the defect.	I therefore add this epilogue, which must also be so brief as possibly to remedy but little the defect.
3171_7574_000003_000000	Originality cannot be expected in a field like this, where all the attitudes and tempers that are possible have been exhibited in literature long ago, and where any new writer can immediately be classed under a familiar head.	Originality cannot be expected in a field like this, where all the attitudes and tempers that are possible have been exhibited in literature long ago, and where any new writer can immediately be classed under a familiar head.
3171_7574_000003_000003	If not regular transcendental idealists, they at least obey the Kantian direction enough to bar out ideal entities from interfering causally in the course of phenomenal events.	If not regular transcendental idealists, they at least obey the Kantian direction enough to bar out ideal entities from interfering causally in the course of phenomenal events.
3171_7574_000003_000007	In this the refined supernaturalists think that it muddles disparate dimensions of existence.	In this the refined supernaturalists think that it muddles disparate dimensions of existence.
3171_7574_000003_000008	For them the world of the ideal has no efficient causality, and never bursts into the world of phenomena at particular points.	For them the world of the ideal has no efficient causality, and never bursts into the world of phenomena at particular points.
3171_7574_000003_000009	The ideal world, for them, is not a world of facts, but only of the meaning of facts; it is a point of view for judging facts.	The ideal world, for them, is not a world of facts, but only of the meaning of facts; it is a point of view for judging facts.
3171_7574_000003_000010	It appertains to a different "-ology," and inhabits a different dimension of being altogether from that in which existential propositions obtain.	It appertains to a different "-ology," and inhabits a different dimension of being altogether from that in which existential propositions obtain.
3171_7574_000003_000011	It cannot get down upon the flat level of experience and interpolate itself piecemeal between distinct portions of nature, as those who believe, for example, in divine aid coming in response to prayer, are bound to think it must.	It cannot get down upon the flat level of experience and interpolate itself piecemeal between distinct portions of nature, as those who believe, for example, in divine aid coming in response to prayer, are bound to think it must.
3171_7574_000004_000002	It takes the facts of physical science at their face-value, and leaves the laws of life just as naturalism finds them, with no hope of remedy, in case their fruits are bad.	It takes the facts of physical science at their face value, and leaves the laws of life just as naturalism finds them, with no hope of remedy, in case their fruits are bad.
3171_7574_000005_000000	It confines itself to sentiments about life as a whole, sentiments which may be admiring and adoring, but which need not be so, as the existence of systematic pessimism proves.	It confines itself to sentiments about life as a whole, sentiments which may be admiring and adoring, but which need not be so, as the existence of systematic pessimism proves.
3171_7574_000005_000001	In this universalistic way of taking the ideal world, the essence of practical religion seems to me to evaporate.	In this universalistic way of taking the ideal world, the essence of practical religion seems to me to evaporate.
3171_7574_000006_000001	We owe it to the Absolute that we have a world of fact at all.	We owe it to the Absolute that we have a world of fact at all.
3171_7574_000006_000002	"A world" of fact!--that exactly is the trouble.	"A world" of fact!--that exactly is the trouble.
3171_7574_000006_000003	An entire world is the smallest unit with which the Absolute can work, whereas to our finite minds work for the better ought to be done within this world, setting in at single points.	An entire world is the smallest unit with which the Absolute can work, whereas to our finite minds work for the better ought to be done within this world, setting in at single points.
3171_7574_000006_000004	Our difficulties and our ideals are all piecemeal affairs, but the Absolute can do no piecework for us; so that all the interests which our poor souls compass raise their heads too late.	Our difficulties and our ideals are all piecemeal affairs, but the Absolute can do no piecework for us; so that all the interests which our poor souls compass raise their heads too late.
3171_7574_000006_000005	We should have spoken earlier, prayed for another world absolutely, before this world was born.	We should have spoken earlier, prayed for another world absolutely, before this world was born.
3171_7574_000009_000000	I state the matter thus bluntly, because the current of thought in academic circles runs against me, and I feel like a man who must set his back against an open door quickly if he does not wish to see it closed and locked.	I state the matter thus bluntly, because the current of thought in academic circles runs against me, and I feel like a man who must set his back against an open door quickly if he does not wish to see it closed and locked.
3171_7574_000010_000003	I am so impressed by the importance of these phenomena that I adopt the hypothesis which they so naturally suggest.	I am so impressed by the importance of these phenomena that I adopt the hypothesis which they so naturally suggest.
3171_7574_000010_000004	At these places at least, I say, it would seem as though transmundane energies, God, if you will, produced immediate effects within the natural world to which the rest of our experience belongs.	At these places at least, I say, it would seem as though transmundane energies, God, if you will, produced immediate effects within the natural world to which the rest of our experience belongs.
3171_7574_000011_000000	The difference in natural "fact" which most of us would assign as the first difference which the existence of a God ought to make would, I imagine, be personal immortality.	The difference in natural "fact" which most of us would assign as the first difference which the existence of a God ought to make would, I imagine, be personal immortality.
3171_7574_000011_000002	God is the producer of immortality; and whoever has doubts of immortality is written down as an atheist without farther trial.	God is the producer of immortality; and whoever has doubts of immortality is written down as an atheist without farther trial.
3171_7574_000011_000005	Yet I sympathize with the urgent impulse to be present ourselves, and in the conflict of impulses, both of them so vague yet both of them noble, I know not how to decide.	Yet I sympathize with the urgent impulse to be present ourselves, and in the conflict of impulses, both of them so vague yet both of them noble, I know not how to decide.
3171_7574_000011_000006	It seems to me that it is eminently a case for facts to testify.	It seems to me that it is eminently a case for facts to testify.
3171_7574_000011_000007	Facts, I think, are yet lacking to prove "spirit-return," though I have the highest respect for the patient labors of Messrs.	Facts, I think, are yet lacking to prove "spirit return," though I have the highest respect for the patient labors of Messrs.
3171_7574_000011_000008	Myers, Hodgson, and Hyslop, and am somewhat impressed by their favorable conclusions.	Myers, Hodgson, and Hyslop, and am somewhat impressed by their favorable conclusions.
3171_7574_000011_000009	I consequently leave the matter open, with this brief word to save the reader from a possible perplexity as to why immortality got no mention in the body of this book.	I consequently leave the matter open, with this brief word to save the reader from a possible perplexity as to why immortality got no mention in the body of this book.
3171_7574_000012_000002	Nevertheless, in the interests of intellectual clearness, I feel bound to say that religious experience, as we have studied it, cannot be cited as unequivocally supporting the infinitist belief.	Nevertheless, in the interests of intellectual clearness, I feel bound to say that religious experience, as we have studied it, cannot be cited as unequivocally supporting the infinitist belief.
