3171_7574_000000_000000	So my objective and my subjective conscience both hold me to the over-belief which I express.	So my objective and my subjective conscience both hold me to the over belief which I express.	false	0	7.89	18.191334
3171_7574_000000_000001	Who knows whether the faithfulness of individuals here below to their own poor over-beliefs may not actually help God in turn to be more effectively faithful to his own greater tasks?	Who knows whether the faithfulness of individuals here below to their own poor over beliefs may not actually help God in turn to be more effectively faithful to his own greater tasks?	false	7.89	20.73	19.928734
3171_7574_000001_000000	POSTSCRIPT	POSTSCRIPT	true	20.73	21.94	26.85033
3171_7574_000002_000000	In writing my concluding lecture I had to aim so much at simplification that I fear that my general philosophic position received so scant a statement as hardly to be intelligible to some of my readers.	In writing my concluding lecture I had to aim so much at simplification that I fear that my general philosophic position received so scant a statement as hardly to be intelligible to some of my readers.	true	23.39	36.1	17
3171_7574_000002_000001	I therefore add this epilogue, which must also be so brief as possibly to remedy but little the defect.	I therefore add this epilogue, which must also be so brief as possibly to remedy but little the defect.	true	36.8	44.56	21.713112
3171_7574_000002_000002	In a later work I may be enabled to state my position more amply and consequently more clearly.	In a later work I may be enabled to state my position more amply and consequently more clearly.	true	44.99	50.98	16
3171_7574_000003_000000	Originality cannot be expected in a field like this, where all the attitudes and tempers that are possible have been exhibited in literature long ago, and where any new writer can immediately be classed under a familiar head.	Originality cannot be expected in a field like this, where all the attitudes and tempers that are possible have been exhibited in literature long ago, and where any new writer can immediately be classed under a familiar head.	true	52.61	66.4	20
3171_7574_000003_000001	If one should make a division of all thinkers into naturalists and supernaturalists, I should undoubtedly have to go, along with most philosophers, into the supernaturalist branch.	If one should make a division of all thinkers into naturalists and supernaturalists, I should undoubtedly have to go, along with most philosophers, into the supernaturalist branch.	false	66.98	79.99	19.808588
3171_7574_000003_000002	But there is a crasser and a more refined supernaturalism, and it is to the refined division that most philosophers at the present day belong.	But there is a crasser and a more refined supernaturalism, and it is to the refined division that most philosophers at the present day belong.	false	80.57	90.87	20.204794
3171_7574_000003_000003	If not regular transcendental idealists, they at least obey the Kantian direction enough to bar out ideal entities from interfering causally in the course of phenomenal events.	If not regular transcendental idealists, they at least obey the Kantian direction enough to bar out ideal entities from interfering causally in the course of phenomenal events.	true	90.87	103.3	21.587664
3171_7574_000003_000004	Refined supernaturalism is universalistic supernaturalism; for the "crasser" variety "piecemeal" supernaturalism would perhaps be the better name.	Refined supernaturalism is universalistic supernaturalism; for the "crasser" variety "piecemeal" supernaturalism would perhaps be the better name.	true	103.91	115.06	19.341383
3171_7574_000003_000005	It went with that older theology which to-day is supposed to reign only among uneducated people, or to be found among the few belated professors of the dualisms which Kant is thought to have displaced.	It went with that older theology which to day is supposed to reign only among uneducated people, or to be found among the few belated professors of the dualisms which Kant is thought to have displaced.	false	115.37	128.5	20.876892
3171_7574_000003_000006	It admits miracles and providential leadings, and finds no intellectual difficulty in mixing the ideal and the real worlds together by interpolating influences from the ideal region among the forces that causally determine the real world's details.	It admits miracles and providential leadings, and finds no intellectual difficulty in mixing the ideal and the real worlds together by interpolating influences from the ideal region among the forces that causally determine the real world's details.	false	129.11	145.81	20
3171_7574_000003_000007	In this the refined supernaturalists think that it muddles disparate dimensions of existence.	In this the refined supernaturalists think that it muddles disparate dimensions of existence.	true	146.54	153.31	20.295017
3171_7574_000003_000008	For them the world of the ideal has no efficient causality, and never bursts into the world of phenomena at particular points.	For them the world of the ideal has no efficient causality, and never bursts into the world of phenomena at particular points.	true	153.59	163	20.470716
3171_7574_000003_000009	The ideal world, for them, is not a world of facts, but only of the meaning of facts; it is a point of view for judging facts.	The ideal world, for them, is not a world of facts, but only of the meaning of facts; it is a point of view for judging facts.	true	163.58	173.65	22.194572
3171_7574_000003_000010	It appertains to a different "-ology," and inhabits a different dimension of being altogether from that in which existential propositions obtain.	It appertains to a different "-ology," and inhabits a different dimension of being altogether from that in which existential propositions obtain.	true	174.02	184.39	20.511154
3171_7574_000003_000011	It cannot get down upon the flat level of experience and interpolate itself piecemeal between distinct portions of nature, as those who believe, for example, in divine aid coming in response to prayer, are bound to think it must.	It cannot get down upon the flat level of experience and interpolate itself piecemeal between distinct portions of nature, as those who believe, for example, in divine aid coming in response to prayer, are bound to think it must.	true	184.91	200.77	21.703178
3171_7574_000004_000000	Notwithstanding my own inability to accept either popular Christianity or scholastic theism, I suppose that my belief that in communion with the Ideal new force comes into the world, and new departures are made here below, subjects me to being classed among the supernaturalists of the piecemeal or crasser type.	Notwithstanding my own inability to accept either popular Christianity or scholastic theism, I suppose that my belief that in communion with the Ideal new force comes into the world, and new departures are made here below, subjects me to being classed among the supernaturalists of the piecemeal or crasser type.	false	201.83	225.52	21.77729
3171_7574_000004_000001	Universalistic supernaturalism surrenders, it seems to me, too easily to naturalism.	Universalistic supernaturalism surrenders, it seems to me, too easily to naturalism.	true	226.34	233.41	18.34107
3171_7574_000004_000002	It takes the facts of physical science at their face-value, and leaves the laws of life just as naturalism finds them, with no hope of remedy, in case their fruits are bad.	It takes the facts of physical science at their face value, and leaves the laws of life just as naturalism finds them, with no hope of remedy, in case their fruits are bad.	true	233.66	245.86	21.593563
3171_7574_000005_000000	It confines itself to sentiments about life as a whole, sentiments which may be admiring and adoring, but which need not be so, as the existence of systematic pessimism proves.	It confines itself to sentiments about life as a whole, sentiments which may be admiring and adoring, but which need not be so, as the existence of systematic pessimism proves.	true	246.35	258.43	20.751116
3171_7574_000005_000001	In this universalistic way of taking the ideal world, the essence of practical religion seems to me to evaporate.	In this universalistic way of taking the ideal world, the essence of practical religion seems to me to evaporate.	true	259.01	267.04	20.959803
3171_7574_000005_000002	Both instinctively and for logical reasons, I find it hard to believe that principles can exist which make no difference in facts.[362] But all facts are particular facts, and the whole interest of the question of God's existence seems to me to lie in the consequences for particulars which that existence may be expected to entail.	Both instinctively and for logical reasons, I find it hard to believe that principles can exist which make no difference in facts.[three hundred sixty two] But all facts are particular facts, and the whole interest of the question of God's existence seems to me to lie in the consequences for particulars which that existence may be expected to entail.	false	267.98	278.28	20.130116
3171_7574_000005_000003	That no concrete particular of experience should alter its complexion in consequence of a God being there seems to me an incredible proposition, and yet it is the thesis to which (implicitly at any rate) refined supernaturalism seems to cling.	That no concrete particular of experience should alter its complexion in consequence of a God being there seems to me an incredible proposition, and yet it is the thesis to which (implicitly at any rate) refined supernaturalism seems to cling.	false	278.28	279	21.55125
3171_7574_000005_000004	It is only with experience en bloc, it says, that the Absolute maintains relations.	It is only with experience en bloc, it says, that the Absolute maintains relations.	false	279	279.27	-20
3171_7574_000005_000005	It condescends to no transactions of detail.	It condescends to no transactions of detail.	false	279.27	279.39	17
3171_7574_000006_000000	[362] Transcendental idealism, of course, insists that its ideal world makes THIS difference, that facts EXIST.	[three hundred sixty two] Transcendental idealism, of course, insists that its ideal world makes THIS difference, that facts EXIST.	false	279.39	288.4	22.379013
3171_7574_000006_000001	We owe it to the Absolute that we have a world of fact at all.	We owe it to the Absolute that we have a world of fact at all.	true	288.74	293.44	23.038736
3171_7574_000006_000002	"A world" of fact!--that exactly is the trouble.	"A world" of fact!--that exactly is the trouble.	true	293.9	297.76	23.075035
3171_7574_000006_000003	An entire world is the smallest unit with which the Absolute can work, whereas to our finite minds work for the better ought to be done within this world, setting in at single points.	An entire world is the smallest unit with which the Absolute can work, whereas to our finite minds work for the better ought to be done within this world, setting in at single points.	true	298.1	311.62	20.783276
3171_7574_000006_000004	Our difficulties and our ideals are all piecemeal affairs, but the Absolute can do no piecework for us; so that all the interests which our poor souls compass raise their heads too late.	Our difficulties and our ideals are all piecemeal affairs, but the Absolute can do no piecework for us; so that all the interests which our poor souls compass raise their heads too late.	true	312.29	326.2	21.04511
3171_7574_000006_000005	We should have spoken earlier, prayed for another world absolutely, before this world was born.	We should have spoken earlier, prayed for another world absolutely, before this world was born.	true	326.69	332.8	21.207308
3171_7574_000006_000006	It is strange, I have heard a friend say, to see this blind corner into which Christian thought has worked itself at last, with its God who can raise no particular weight whatever, who can help us with no private burden, and who is on the side of our enemies as much as he is on our own.	It is strange, I have heard a friend say, to see this blind corner into which Christian thought has worked itself at last, with its God who can raise no particular weight whatever, who can help us with no private burden, and who is on the side of our enemies as much as he is on our own.	false	333.41	351.58	20.757164
3171_7574_000006_000007	Odd evolution from the God of David's psalms!	Odd evolution from the God of David's psalms!	false	352.28	403.47	20.781183
3171_7574_000007_000000	I am ignorant of Buddhism and speak under correction, and merely in order the better to describe my general point of view; but as I apprehend the Buddhistic doctrine of Karma, I agree in principle with that.	I am ignorant of Buddhism and speak under correction, and merely in order the better to describe my general point of view; but as I apprehend the Buddhistic doctrine of Karma, I agree in principle with that.	false	403.47	419.28	21.136713
3171_7574_000007_000001	All supernaturalists admit that facts are under the judgment of higher law; but for Buddhism as I interpret it, and for religion generally so far as it remains unweakened by transcendentalistic metaphysics, the word "judgment" here means no such bare academic verdict or platonic appreciation as it means in Vedantic or modern absolutist systems; it carries, on the contrary, EXECUTION with it, is in rebus as well as post rem. and operates "causally" as partial factor in the total fact.	All supernaturalists admit that facts are under the judgment of higher law; but for Buddhism as I interpret it, and for religion generally so far as it remains unweakened by transcendentalistic metaphysics, the word "judgment" here means no such bare academic verdict or platonic appreciation as it means in Vedantic or modern absolutist systems; it carries, on the contrary, EXECUTION with it, is in rebus as well as post rem. and operates "causally" as partial factor in the total fact.	false	419.28	457.84	20.565477
3171_7574_000007_000002	The universe becomes a gnosticism[363] pure and simple on any other terms.	The universe becomes a gnosticism[three hundred sixty three] pure and simple on any other terms.	false	458.36	463.93	19.848713
3171_7574_000007_000003	But this view that judgment and execution go together is that of the crasser supernaturalist way of thinking, so the present volume must on the whole be classed with the other expressions of that creed.	But this view that judgment and execution go together is that of the crasser supernaturalist way of thinking, so the present volume must on the whole be classed with the other expressions of that creed.	true	464.63	477.78	19.99035
3171_7574_000008_000000	[363] See my Will to Believe and other Essays in popular Philosophy. 1897, p. 165.	[three hundred sixty three] See my Will to Believe and other Essays in popular Philosophy. eighteen ninety seven, p. one hundred sixty five.	false	477.78	479.04	8
3171_7574_000009_000000	I state the matter thus bluntly, because the current of thought in academic circles runs against me, and I feel like a man who must set his back against an open door quickly if he does not wish to see it closed and locked.	I state the matter thus bluntly, because the current of thought in academic circles runs against me, and I feel like a man who must set his back against an open door quickly if he does not wish to see it closed and locked.	true	479.04	493.66	21.342613
