6269_66176_000000_000000	Chapter Thirteen--The Snow Fort on Slatter's Hill	Chapter Thirteen-The Snow Fort on Slatter's Hill	true	23.595	27.82	22.191877
6269_66176_000001_000000	The memory of man, even that of the Oldest Inhabitant, runneth not back to the time when there did not exist a feud between the North End and the South End boys of Rivermouth.	The memory of man, even that of the Oldest Inhabitant, runneth not back to the time when there did not exist a feud between the North End and the South End boys of Rivermouth.	true	28.22	40.18	20.012537
6269_66176_000002_000000	The origin of the feud is involved in mystery; it is impossible to say which party was the first aggressor in the far-off anterevolutionary ages; but the fact remains that the youngsters of those antipodal sections entertained a mortal hatred for each other, and that this hatred had been handed down from generation to generation, like Miles Standish's punch-bowl.	The origin of the feud is involved in mystery; it is impossible to say which party was the first aggressor in the far off anterevolutionary ages; but the fact remains that the youngsters of those antipodal sections entertained a mortal hatred for each other, and that this hatred had been handed down from generation to generation, like Miles Standish's punch bowl.	false	40.73	66.79	21.498753
6269_66176_000003_000000	I know not what laws, natural or unnatural, regulated the warmth of the quarrel; but at some seasons it raged more violently than at others. This winter both parties were unusually lively and antagonistic. Great was the wrath of the South-Enders, when they discovered that the North-Enders had thrown up a fort on the crown of Slatter's Hill.	I know not what laws, natural or unnatural, regulated the warmth of the quarrel; but at some seasons it raged more violently than at others. This winter both parties were unusually lively and antagonistic. Great was the wrath of the South Enders, when they discovered that the North Enders had thrown up a fort on the crown of Slatter's Hill.	false	67.31	89.77	21.846567
6269_66176_000004_000000	Slatter's Hill, or No-man's-land, as it was generally called, was a rise of ground covering, perhaps, an acre and a quarter, situated on an imaginary line, marking the boundary between the two districts.	Slatter's Hill, or No man's land, as it was generally called, was a rise of ground covering, perhaps, an acre and a quarter, situated on an imaginary line, marking the boundary between the two districts.	true	90.32	103.27	22.011557
6269_66176_000004_000001	An immense stratum of granite, which here and there thrust out a wrinkled boulder, prevented the site from being used for building purposes.	An immense stratum of granite, which here and there thrust out a wrinkled boulder, prevented the site from being used for building purposes.	true	103.49	112.14	21.503393
6269_66176_000004_000002	The street ran on either side of the hill, from one part of which a quantity of rock had been removed to form the underpinning of the new jail. This excavation made the approach from that point all but impossible, especially when the ragged ledges were a-glitter with ice.	The street ran on either side of the hill, from one part of which a quantity of rock had been removed to form the underpinning of the new jail. This excavation made the approach from that point all but impossible, especially when the ragged ledges were a glitter with ice.	true	112.14	130.42	22.091606
6269_66176_000004_000003	You see what a spot it was for a snow-fort.	You see what a spot it was for a snow fort.	false	130.97	134.02	22.509218
6269_66176_000005_000000	One evening twenty or thirty of the North-Enders quietly took possession of Slatter's Hill, and threw up a strong line of breastworks, something after this shape:	One evening twenty or thirty of the North Enders quietly took possession of Slatter's Hill, and threw up a strong line of breastworks, something after this shape:	false	134.6	143.61	22.951155
6269_66176_000006_000000	(Ft Slatter graphic)	(f t Slatter graphic)	false	143.61	143.85	8
6269_66176_000007_000000	The rear of the entrenchment, being protected by the quarry, was left open.	The rear of the entrenchment, being protected by the quarry, was left open.	true	143.85	148.36	21.6552
6269_66176_000007_000001	The walls were four feet high, and twenty-two inches thick, strengthened at the angles by stakes driven firmly into the ground.	The walls were four feet high, and twenty two inches thick, strengthened at the angles by stakes driven firmly into the ground.	true	148.52	157.54	22.535128
6269_66176_000008_000000	Fancy the rage of the South-Enders the next day, when they spied our snowy citadel, with Jack Harris's red silk pocket handkerchief floating defiantly from the flag-staff.	Fancy the rage of the South Enders the next day, when they spied our snowy citadel, with Jack Harris's red silk pocket handkerchief floating defiantly from the flag staff.	true	157.73	169.69	22.26761
6269_66176_000009_000000	In less than an hour it was known all over town, in military circles at least, that the "Puddle-dockers" and the "River-rats" (these were the derisive sub-titles bestowed on our South-End foes) intended to attack the fort that Saturday afternoon.	In less than an hour it was known all over town, in military circles at least, that the "Puddle dockers" and the "River rats" (these were the derisive sub titles bestowed on our South End foes) intended to attack the fort that Saturday afternoon.	true	169.85	186.885	22.250185
6269_66176_000010_000000	At two o'clock all the fighting boys of the Temple Grammar School, and as many recruits as we could muster, lay behind the walls of Fort Slatter, with three hundred compact snowballs piled up in pyramids, awaiting the approach of the enemy.	At two o'clock all the fighting boys of the Temple Grammar School, and as many recruits as we could muster, lay behind the walls of Fort Slatter, with three hundred compact snowballs piled up in pyramids, awaiting the approach of the enemy.	true	186.885	203.05	20.72457
6269_66176_000010_000001	The enemy was not slow in making his approach--fifty strong, headed by one Mat Ames.	The enemy was not slow in making his approach-fifty strong, headed by one Mat Ames.	true	203.39	210.01	22.521204
6269_66176_000010_000002	Our forces were under the command of General J. Harris.	Our forces were under the command of General j Harris.	true	210.35	215.02	20.793327
6269_66176_000011_000000	Before the action commenced, a meeting was arranged between the rival commanders, who drew up and signed certain rules and regulations respecting the conduct of the battle.	Before the action commenced, a meeting was arranged between the rival commanders, who drew up and signed certain rules and regulations respecting the conduct of the battle.	false	215.42	226.005	21.775126
