6269_66176_000000_000000	Chapter Thirteen--The Snow Fort on Slatter's Hill	Chapter Thirteen-The Snow Fort on Slatter's Hill
6269_66176_000001_000000	The memory of man, even that of the Oldest Inhabitant, runneth not back to the time when there did not exist a feud between the North End and the South End boys of Rivermouth.	The memory of man, even that of the Oldest Inhabitant, runneth not back to the time when there did not exist a feud between the North End and the South End boys of Rivermouth.
6269_66176_000004_000000	Slatter's Hill, or No-man's-land, as it was generally called, was a rise of ground covering, perhaps, an acre and a quarter, situated on an imaginary line, marking the boundary between the two districts.	Slatter's Hill, or No man's land, as it was generally called, was a rise of ground covering, perhaps, an acre and a quarter, situated on an imaginary line, marking the boundary between the two districts.
6269_66176_000004_000001	An immense stratum of granite, which here and there thrust out a wrinkled boulder, prevented the site from being used for building purposes.	An immense stratum of granite, which here and there thrust out a wrinkled boulder, prevented the site from being used for building purposes.
6269_66176_000004_000002	The street ran on either side of the hill, from one part of which a quantity of rock had been removed to form the underpinning of the new jail. This excavation made the approach from that point all but impossible, especially when the ragged ledges were a-glitter with ice.	The street ran on either side of the hill, from one part of which a quantity of rock had been removed to form the underpinning of the new jail. This excavation made the approach from that point all but impossible, especially when the ragged ledges were a glitter with ice.
6269_66176_000007_000000	The rear of the entrenchment, being protected by the quarry, was left open.	The rear of the entrenchment, being protected by the quarry, was left open.
6269_66176_000007_000001	The walls were four feet high, and twenty-two inches thick, strengthened at the angles by stakes driven firmly into the ground.	The walls were four feet high, and twenty two inches thick, strengthened at the angles by stakes driven firmly into the ground.
6269_66176_000008_000000	Fancy the rage of the South-Enders the next day, when they spied our snowy citadel, with Jack Harris's red silk pocket handkerchief floating defiantly from the flag-staff.	Fancy the rage of the South Enders the next day, when they spied our snowy citadel, with Jack Harris's red silk pocket handkerchief floating defiantly from the flag staff.
6269_66176_000009_000000	In less than an hour it was known all over town, in military circles at least, that the "Puddle-dockers" and the "River-rats" (these were the derisive sub-titles bestowed on our South-End foes) intended to attack the fort that Saturday afternoon.	In less than an hour it was known all over town, in military circles at least, that the "Puddle dockers" and the "River rats" (these were the derisive sub titles bestowed on our South End foes) intended to attack the fort that Saturday afternoon.
6269_66176_000010_000000	At two o'clock all the fighting boys of the Temple Grammar School, and as many recruits as we could muster, lay behind the walls of Fort Slatter, with three hundred compact snowballs piled up in pyramids, awaiting the approach of the enemy.	At two o'clock all the fighting boys of the Temple Grammar School, and as many recruits as we could muster, lay behind the walls of Fort Slatter, with three hundred compact snowballs piled up in pyramids, awaiting the approach of the enemy.
6269_66176_000010_000001	The enemy was not slow in making his approach--fifty strong, headed by one Mat Ames.	The enemy was not slow in making his approach-fifty strong, headed by one Mat Ames.
6269_66176_000010_000002	Our forces were under the command of General J. Harris.	Our forces were under the command of General j Harris.
6269_66176_000011_000001	As it was impossible for the North-Enders to occupy the fort permanently, it was stipulated that the South-Enders should assault it only on Wednesday and Saturday afternoons between the hours of two and six.	As it was impossible for the North Enders to occupy the fort permanently, it was stipulated that the South Enders should assault it only on Wednesday and Saturday afternoons between the hours of two and six.
6269_66176_000011_000002	For them to take possession of the place at any other time was not to constitute a capture, but on the contrary was to be considered a dishonorable and cowardly act.	For them to take possession of the place at any other time was not to constitute a capture, but on the contrary was to be considered a dishonorable and cowardly act.
6269_66176_000012_000002	A snow-ball soaked in water and left out to cool was a projectile which in previous years had been resorted to with disastrous results.	A snow ball soaked in water and left out to cool was a projectile which in previous years had been resorted to with disastrous results.
6269_66176_000013_000000	These preliminaries settled, the commanders retired to their respective corps.	These preliminaries settled, the commanders retired to their respective corps.
6269_66176_000013_000001	The interview had taken place on the hillside between the opposing lines.	The interview had taken place on the hillside between the opposing lines.
6269_66176_000015_000000	The repellers were called light infantry; but when they carried on operations beyond the fort they became cavalry.	The repellers were called light infantry; but when they carried on operations beyond the fort they became cavalry.
6269_66176_000015_000001	It was also their duty, when not otherwise engaged, to manufacture snow-balls.	It was also their duty, when not otherwise engaged, to manufacture snow balls.
6269_66176_000016_000000	General Mat Ames, a veteran commander, was no less wide-awake in the disposition of his army.	General Mat Ames, a veteran commander, was no less wide awake in the disposition of his army.
6269_66176_000016_000001	Five companies, each numbering but six men, in order not to present too big a target to our sharpshooters, were to charge the fort from different points, their advance being covered by a heavy fire from the gunners posted in the rear.	Five companies, each numbering but six men, in order not to present too big a target to our sharpshooters, were to charge the fort from different points, their advance being covered by a heavy fire from the gunners posted in the rear.
6269_66176_000016_000002	Each scaler was provided with only two rounds of ammunition, which were not to be used until he had mounted the breastwork and could deliver his shots on our heads.	Each scaler was provided with only two rounds of ammunition, which were not to be used until he had mounted the breastwork and could deliver his shots on our heads.
6269_66176_000017_000001	Nothing on earth could represent the state of things after the first volley.	Nothing on earth could represent the state of things after the first volley.
6269_66176_000019_000000	The thrilling moment had now arrived.	The thrilling moment had now arrived.
6269_66176_000019_000001	If I had been going into a real engagement I could not have been more deeply impressed by the importance of the occasion.	If I had been going into a real engagement I could not have been more deeply impressed by the importance of the occasion.
6269_66176_000020_000000	The fort opened fire first--a single ball from the dexterous band of General Harris taking General Ames in the very pit of his stomach.	The fort opened fire first-a single ball from the dexterous band of General Harris taking General Ames in the very pit of his stomach.
6269_66176_000020_000003	The shouts of the leaders, and the snowballs bursting like shells about our ears, made it very lively.	The shouts of the leaders, and the snowballs bursting like shells about our ears, made it very lively.
6269_66176_000021_000001	The rest retired confused and blinded by our well-directed fire.	The rest retired confused and blinded by our well directed fire.
6269_66176_000022_000000	When General Harris (with his right eye bunged up) said, "Soldiers, I am proud of you!" my heart swelled in my bosom.	When General Harris (with his right eye bunged up) said, "Soldiers, I am proud of you!" my heart swelled in my bosom.
6269_66176_000023_000000	The victory, however, had not been without its price.	The victory, however, had not been without its price.
6269_66176_000023_000001	Six North-Enders, having rushed out to harass the discomfited enemy, were gallantly cut off by General Ames and captured.	Six North Enders, having rushed out to harass the discomfited enemy, were gallantly cut off by General Ames and captured.
6269_66176_000023_000003	Whitcomb was one of the most notable shots on our side, though he was not much to boast of in a rough-and-tumble fight, owing to the weakness before mentioned.	Whitcomb was one of the most notable shots on our side, though he was not much to boast of in a rough and tumble fight, owing to the weakness before mentioned.
6269_66176_000023_000004	General Ames put him among the gunners, and we were quickly made aware of the loss we had sustained, by receiving a frequent artful ball which seemed to light with unerring instinct on any nose that was the least bit exposed.	General Ames put him among the gunners, and we were quickly made aware of the loss we had sustained, by receiving a frequent artful ball which seemed to light with unerring instinct on any nose that was the least bit exposed.
6269_66176_000024_000000	But we had no time for vain regrets.	But we had no time for vain regrets.
6269_66176_000024_000001	The battle raged.	The battle raged.
6269_66176_000024_000002	Already there were two bad cases of black eye, and one of nosebleed, in the hospital.	Already there were two bad cases of black eye, and one of nosebleed, in the hospital.
6269_66176_000025_000000	It was glorious excitement, those pell-mell onslaughts and hand-to-hand struggles.	It was glorious excitement, those pell mell onslaughts and hand to hand struggles.
6269_66176_000025_000001	Twice we were within an ace of being driven from our stronghold, when General Harris and his staff leaped recklessly upon the ramparts and hurled the besiegers heels over head down hill.	Twice we were within an ace of being driven from our stronghold, when General Harris and his staff leaped recklessly upon the ramparts and hurled the besiegers heels over head down hill.
6269_66176_000026_000000	At sunset, the garrison of Fort Slatter was still unconquered, and the South-Enders, in a solid phalanx, marched off whistling "Yankee Doodle," while we cheered and jeered them until they were out of hearing.	At sunset, the garrison of Fort Slatter was still unconquered, and the South Enders, in a solid phalanx, marched off whistling "Yankee Doodle," while we cheered and jeered them until they were out of hearing.
6269_66176_000027_000000	General Ames remained behind to effect an exchange of prisoners.	General Ames remained behind to effect an exchange of prisoners.
6269_66176_000027_000001	We held thirteen of his men, and he eleven of ours.	We held thirteen of his men, and he eleven of ours.
6269_66176_000028_000001	I forget whether it was on that afternoon or the next that we lost Fort Slatter; but lose it we did, with much valuable ammunition and several men.	I forget whether it was on that afternoon or the next that we lost Fort Slatter; but lose it we did, with much valuable ammunition and several men.
6269_66176_000029_000000	General Ames handled his men with great skill; his deadliest foe could not deny that.	General Ames handled his men with great skill; his deadliest foe could not deny that.
6269_66176_000029_000001	Once he outgeneralled our commander in the following manner: He massed his gunners on our left and opened a brisk fire, under cover of which a single company (six men) advanced on that angle of the fort.	Once he outgeneralled our commander in the following manner: He massed his gunners on our left and opened a brisk fire, under cover of which a single company (six men) advanced on that angle of the fort.
