6895_92805_000000_000000	A COSMOPOLITE IN A CAFE	A COSMOPOLITE IN A CAFE	false	17.13	19.33	22.791325
6895_92805_000001_000000	At midnight the cafe was crowded.	At midnight the cafe was crowded.	true	20.81	23.23	20.491875
6895_92805_000001_000001	By some chance the little table at which I sat had escaped the eye of incomers, and two vacant chairs at it extended their arms with venal hospitality to the influx of patrons.	By some chance the little table at which I sat had escaped the eye of incomers, and two vacant chairs at it extended their arms with venal hospitality to the influx of patrons.	true	23.27	35.2	17
6895_92805_000002_000000	And then a cosmopolite sat in one of them, and I was glad, for I held a theory that since Adam no true citizen of the world has existed.	And then a cosmopolite sat in one of them, and I was glad, for I held a theory that since Adam no true citizen of the world has existed.	false	35.69	44.5	20
6895_92805_000002_000001	We hear of them, and we see foreign labels on much luggage, but we find travellers instead of cosmopolites.	We hear of them, and we see foreign labels on much luggage, but we find travellers instead of cosmopolites.	true	44.57	51.1	16
6895_92805_000003_000000	I invoke your consideration of the scene--the marble-topped tables, the range of leather-upholstered wall seats, the gay company, the ladies dressed in demi-state toilets, speaking in an exquisite visible chorus of taste, economy, opulence or art; the sedulous and largess-loving _garcons_, the music wisely catering to all with its raids upon the composers; the _melange_ of talk and laughter--and, if you will, the Wuerzburger in the tall glass cones that bend to your lips as a ripe cherry sways on its branch to the beak of a robber jay.	I invoke your consideration of the scene-the marble topped tables, the range of leather upholstered wall seats, the gay company, the ladies dressed in demi state toilets, speaking in an exquisite visible chorus of taste, economy, opulence or art; the sedulous and largess loving underscore garcons underscore, the music wisely catering to all with its raids upon the composers; the underscore melange underscore of talk and laughter-and, if you will, the Wuerzburger in the tall glass cones that bend to your lips as a ripe cherry sways on its branch to the beak of a robber jay.	false	51.71	88.57	21
6895_92805_000003_000001	I was told by a sculptor from Mauch Chunk that the scene was truly Parisian.	I was told by a sculptor from Mauch Chunk that the scene was truly Parisian.	false	88.97	93.7	16
6895_92805_000004_000000	My cosmopolite was named E. Rushmore Coglan, and he will be heard from next summer at Coney Island.	My cosmopolite was named e Rushmore Coglan, and he will be heard from next summer at Coney Island.	false	94.04	100.24	19
6895_92805_000004_000001	He is to establish a new "attraction" there, he informed me, offering kingly diversion.	He is to establish a new "attraction" there, he informed me, offering kingly diversion.	true	100.49	105.82	19
6895_92805_000004_000002	And then his conversation rang along parallels of latitude and longitude.	And then his conversation rang along parallels of latitude and longitude.	true	106.1	110.89	15
6895_92805_000004_000003	He took the great, round world in his hand, so to speak, familiarly, contemptuously, and it seemed no larger than the seed of a Maraschino cherry in a _table d'hote_ grape fruit.	He took the great, round world in his hand, so to speak, familiarly, contemptuously, and it seemed no larger than the seed of a Maraschino cherry in a underscore table d'hote underscore grape fruit.	false	111.11	122.56	19.839817
6895_92805_000004_000004	He spoke disrespectfully of the equator, he skipped from continent to continent, he derided the zones, he mopped up the high seas with his napkin.	He spoke disrespectfully of the equator, he skipped from continent to continent, he derided the zones, he mopped up the high seas with his napkin.	true	122.69	131.89	24
6895_92805_000004_000005	With a wave of his hand he would speak of a certain bazaar in Hyderabad.	With a wave of his hand he would speak of a certain bazaar in Hyderabad.	false	131.99	136.29	17
6895_92805_000004_000006	Whiff!	Whiff!	false	136.29	137.31	23.389427
6895_92805_000004_000007	He would have you on skis in Lapland.	He would have you on skis in Lapland.	true	137.31	139.62	12
6895_92805_000004_000008	Zip!	Zip!	true	139.62	140.5	27.955153
6895_92805_000004_000009	Now you rode the breakers with the Kanakas at Kealaikahiki.	Now you rode the breakers with the Kanakas at Kealaikahiki.	false	140.54	144.36	20.703024
6895_92805_000004_000010	Presto!	Presto!	true	144.36	145.12	20.789322
6895_92805_000004_000011	He dragged you through an Arkansas post-oak swamp, let you dry for a moment on the alkali plains of his Idaho ranch, then whirled you into the society of Viennese archdukes.	He dragged you through an Arkansas post oak swamp, let you dry for a moment on the alkali plains of his Idaho ranch, then whirled you into the society of Viennese archdukes.	false	145.22	155.79	19
6895_92805_000004_000012	Anon he would be telling you of a cold he acquired in a Chicago lake breeze and how old Escamila cured it in Buenos Ayres with a hot infusion of the _chuchula_ weed.	Anon he would be telling you of a cold he acquired in a Chicago lake breeze and how old Escamila cured it in Buenos Ayres with a hot infusion of the underscore chuchula underscore weed.	false	155.79	165.31	17
6895_92805_000004_000013	You would have addressed a letter to "E.	You would have addressed a letter to "E.	true	165.5	167.22	17
6895_92805_000004_000014	Rushmore Coglan, Esq., the Earth, Solar System, the Universe," and have mailed it, feeling confident that it would be delivered to him.	Rushmore Coglan, e s q., the Earth, Solar System, the Universe," and have mailed it, feeling confident that it would be delivered to him.	false	167.22	175.72	19
6895_92805_000005_000000	I was sure that I had found at last the one true cosmopolite since Adam, and I listened to his worldwide discourse fearful lest I should discover in it the local note of the mere globe-trotter.	I was sure that I had found at last the one true cosmopolite since Adam, and I listened to his worldwide discourse fearful lest I should discover in it the local note of the mere globe trotter.	false	176.03	188.2	18
6895_92805_000005_000001	But his opinions never fluttered or drooped; he was as impartial to cities, countries and continents as the winds or gravitation.	But his opinions never fluttered or drooped; he was as impartial to cities, countries and continents as the winds or gravitation.	true	188.39	196.9	19
