2294_161714_000000_000000	I remember seeing him there on hands and knees, and then the liquor I had had would not be denied.	I remember seeing him there on hands and knees, and then the liquor I had had would not be denied.	false	0	4.08	20.956469
2294_161714_000000_000001	In vain I drew my hands across my drooping eyelids, in vain I tried to master my knees that knocked together.	In vain I drew my hands across my drooping eyelids, in vain I tried to master my knees that knocked together.	false	4.08	6.24	20
2294_161714_000000_000002	The spell of the love-drink that Heru, blushing, had held to my lips was on me.	The spell of the love drink that Heru, blushing, had held to my lips was on me.	false	6.24	7.14	13
2294_161714_000000_000003	Its soft, overwhelming influence rose like a prismatic fog between me and my enemy, everything again became hazy and dreamlike, and feebly calling on Heru, my chin dropped upon my chest, my limbs relaxed, and I slipped down in drowsy oblivion before my rival.	Its soft, overwhelming influence rose like a prismatic fog between me and my enemy, everything again became hazy and dreamlike, and feebly calling on Heru, my chin dropped upon my chest, my limbs relaxed, and I slipped down in drowsy oblivion before my rival.	false	7.14	19.5	20.885057
2294_161714_000001_000000	CHAPTER VIII	CHAPTER eight	true	19.5	20.53	23.583588
2294_161714_000002_000000	They must have carried me, still under the influence of wine fumes, to the chamber where I slept that night, for when I woke the following morning my surroundings were familiar enough, though a glorious maze of uncertainties rocked to and fro in my mind.	They must have carried me, still under the influence of wine fumes, to the chamber where I slept that night, for when I woke the following morning my surroundings were familiar enough, though a glorious maze of uncertainties rocked to and fro in my mind.	false	21.35	33.37	21.034628
2294_161714_000003_000000	Was it a real feast we had shared in overnight, or only a quaint dream? Was Heru real or only a lovely fancy?	Was it a real feast we had shared in overnight, or only a quaint dream? Was Heru real or only a lovely fancy?	true	33.56	40.33	22.769743
2294_161714_000003_000001	And those hairy ruffians of whom a horrible vision danced before my waking eyes, were they fancy too? No, my wrists still ached with the strain of the tussle, the quaint, sad wine taste was still on my lips--it was all real enough, I decided, starting up in bed; and if it was real where was the little princess? What had they done with her?	And those hairy ruffians of whom a horrible vision danced before my waking eyes, were they fancy too? No, my wrists still ached with the strain of the tussle, the quaint, sad wine taste was still on my lips-it was all real enough, I decided, starting up in bed; and if it was real where was the little princess? What had they done with her?	true	40.82	60.37	22.94319
2294_161714_000003_000002	Surely they had not given her to the ape-men--cowards though they were they could not have been cowards enough for that.	Surely they had not given her to the ape men-cowards though they were they could not have been cowards enough for that.	false	60.38	66.07	21.54723
2294_161714_000003_000003	And as I wondered a keen, bright picture of the hapless maid as I saw her last blossomed before my mind's eye, the ambassadors on either side holding her wrists, and she shrinking from them in horror while her poor, white face turned to me for rescue in desperate pleading--oh!	And as I wondered a keen, bright picture of the hapless maid as I saw her last blossomed before my mind's eye, the ambassadors on either side holding her wrists, and she shrinking from them in horror while her poor, white face turned to me for rescue in desperate pleading-oh!	true	66.41	81.585	21.011757
2294_161714_000003_000004	I must find her at all costs; and leaping from bed I snatched up those trousers without which the best of heroes is nothing, and had hardly got into them when there came the patter of light feet without and a Martian, in a hurry for once, with half a dozen others behind him, swept aside the curtains of my doorway.	I must find her at all costs; and leaping from bed I snatched up those trousers without which the best of heroes is nothing, and had hardly got into them when there came the patter of light feet without and a Martian, in a hurry for once, with half a dozen others behind him, swept aside the curtains of my doorway.	false	81.585	98.29	20.893356
2294_161714_000004_000000	They peeped and peered all about the room, then one said, "Is Princess Heru with you, sir?"	They peeped and peered all about the room, then one said, "Is Princess Heru with you, sir?"	true	98.69	103.45	22.269102
2294_161714_000005_000000	"No," I answered roughly.	"No," I answered roughly.	true	103.85	105.345	20.558395
2294_161714_000005_000001	"Saints alive, man, do you think I would have you tumbling in here over each other's heels if she were?"	"Saints alive, man, do you think I would have you tumbling in here over each other's heels if she were?"	true	105.345	110.35	22.494974
2294_161714_000006_000000	"Then it must indeed have been Heru," he said, speaking in an awed voice to his fellows, "whom we saw carried down to the harbour at daybreak by yonder woodmen," and the pink upon their pretty cheeks faded to nothing at the suggestion.	"Then it must indeed have been Heru," he said, speaking in an awed voice to his fellows, "whom we saw carried down to the harbour at daybreak by yonder woodmen," and the pink upon their pretty cheeks faded to nothing at the suggestion.	false	110.81	121.93	22.04919
2294_161714_000007_000000	"What!" I roared, "Heru taken from the palace by a handful of men and none of you infernal rascals--none of you white-livered abortions lifted a hand to save her--curse on you a thousand times.	"What!" I roared, "Heru taken from the palace by a handful of men and none of you infernal rascals-none of you white livered abortions lifted a hand to save her-curse on you a thousand times.	true	122.33	133.12	22.055807
2294_161714_000007_000001	Out of my way, you churls!" And snatching up coat and hat and sword I rushed furiously down the long, marble stairs just as the short Martian night was giving place to lavender-coloured light of morning.	Out of my way, you churls!" And snatching up coat and hat and sword I rushed furiously down the long, marble stairs just as the short Martian night was giving place to lavender coloured light of morning.	false	133.61	144.31	20.700937
2294_161714_000007_000002	I found my way somehow down the deserted corridors where the air was heavy with aromatic vapours; I flew by curtained niches and chambers where amongst mounds of half-withered flowers the Martian lovers were slowly waking. Down into the banquethall I sped, and there in the twilight was the litter of the feast still about--gold cups and silver, broken bread and meat, the convolvulus flowers all turning their pallid faces to the rosy daylight, making pools of brightness between the shadows.	I found my way somehow down the deserted corridors where the air was heavy with aromatic vapours; I flew by curtained niches and chambers where amongst mounds of half withered flowers the Martian lovers were slowly waking. Down into the banquethall I sped, and there in the twilight was the litter of the feast still about-gold cups and silver, broken bread and meat, the convolvulus flowers all turning their pallid faces to the rosy daylight, making pools of brightness between the shadows.	true	144.74	171.46	20.925508
2294_161714_000007_000003	Amongst the litter little sapphire-coloured finches were feeding, twittering merrily to themselves as they hopped about, and here and there down the long tables lay asprawl a belated reveller, his empty oblivion-phial before him, his curly head upon his arms, dreaming perhaps of last night's feast and a neglected bride dozing dispassionate in some distant chamber.	Amongst the litter little sapphire coloured finches were feeding, twittering merrily to themselves as they hopped about, and here and there down the long tables lay asprawl a belated reveller, his empty oblivion phial before him, his curly head upon his arms, dreaming perhaps of last night's feast and a neglected bride dozing dispassionate in some distant chamber.	true	171.74	190.36	21.303272
2294_161714_000007_000004	But Heru was not there and little I cared for twittering finches or sighing damsels.	But Heru was not there and little I cared for twittering finches or sighing damsels.	true	190.64	195.43	19.385803
2294_161714_000007_000005	With hasty feet I rushed down the hall out into the cool, sweet air of the planet morning.	With hasty feet I rushed down the hall out into the cool, sweet air of the planet morning.	true	195.77	200.23	20.896112
2294_161714_000008_000000	There I met one whom I knew, and he told me he had been among the crowd and had heard the woodmen had gone no farther than the river gate, that Heru was with them beyond a doubt.	There I met one whom I knew, and he told me he had been among the crowd and had heard the woodmen had gone no farther than the river gate, that Heru was with them beyond a doubt.	false	200.69	210.18	20.663038
2294_161714_000008_000001	I would not listen to more.	I would not listen to more.	true	210.18	211.605	21.230747
