5868_66166_000000_000000	Chapter Three--On Board the Typhoon	Chapter Three-On Board the Typhoon	false	0.21	18.19	18.78792
5868_66166_000001_000000	I do not remember much about the voyage to Boston, for after the first few hours at sea I was dreadfully unwell.	I do not remember much about the voyage to Boston, for after the first few hours at sea I was dreadfully unwell.	true	19.04	24.94	15
5868_66166_000002_000000	The name of our ship was the "A No. 1, fast-sailing packet Typhoon." I learned afterwards that she sailed fast only in the newspaper advertisements.	The name of our ship was the "A no one, fast sailing packet Typhoon." I learned afterwards that she sailed fast only in the newspaper advertisements.	false	25.37	33.7	19.443321
5868_66166_000002_000001	My father owned one quarter of the Typhoon, and that is why we happened to go in her.	My father owned one quarter of the Typhoon, and that is why we happened to go in her.	true	33.95	38.47	19.145674
5868_66166_000002_000002	I tried to guess which quarter of the ship he owned, and finally concluded it must be the hind quarter--the cabin, in which we had the cosiest of state-rooms, with one round window in the roof, and two shelves or boxes nailed up against the wall to sleep in.	I tried to guess which quarter of the ship he owned, and finally concluded it must be the hind quarter-the cabin, in which we had the cosiest of state rooms, with one round window in the roof, and two shelves or boxes nailed up against the wall to sleep in.	true	38.51	51.99	16
5868_66166_000003_000000	There was a good deal of confusion on deck while we were getting under way.	There was a good deal of confusion on deck while we were getting under way.	false	51.99	57.25	18.655067
5868_66166_000003_000001	The captain shouted orders (to which nobody seemed to pay any attention) through a battered tin trumpet, and grew so red in the face that he reminded me of a scooped-out pumpkin with a lighted candle inside.	The captain shouted orders (to which nobody seemed to pay any attention) through a battered tin trumpet, and grew so red in the face that he reminded me of a scooped out pumpkin with a lighted candle inside.	false	57.29	68.65	20
5868_66166_000003_000002	He swore right and left at the sailors without the slightest regard for their feelings.	He swore right and left at the sailors without the slightest regard for their feelings.	true	68.87	74.14	17.121487
5868_66166_000003_000003	They didn't mind it a bit, however, but went on singing--	They didn't mind it a bit, however, but went on singing-	true	74.36	77.05	16.35655
5868_66166_000004_000000	"Heave ho! With the rum below, And hurrah for the Spanish Main O!"	"Heave ho! With the rum below, And hurrah for the Spanish Main O!"	true	77.15	82.09	18.512259
5868_66166_000005_000000	I will not be positive about "the Spanish Main," but it was hurrah for something O. I considered them very jolly fellows, and so indeed they were.	I will not be positive about "the Spanish Main," but it was hurrah for something o I considered them very jolly fellows, and so indeed they were.	true	82.73	91.78	20.155775
5868_66166_000005_000001	One weather-beaten tar in particular struck my fancy--a thick-set, jovial man, about fifty years of age, with twinkling blue eyes and a fringe of gray hair circling his head like a crown.	One weather beaten tar in particular struck my fancy-a thick set, jovial man, about fifty years of age, with twinkling blue eyes and a fringe of gray hair circling his head like a crown.	true	91.82	102.25	17
5868_66166_000005_000002	As he took off his tarpaulin I observed that the top of his head was quite smooth and flat, as if somebody had sat down on him when he was very young.	As he took off his tarpaulin I observed that the top of his head was quite smooth and flat, as if somebody had sat down on him when he was very young.	true	102.35	110.98	18.624762
5868_66166_000006_000000	There was something noticeably hearty in this man's bronzed face, a heartiness that seemed to extend to his loosely knotted neckerchief.	There was something noticeably hearty in this man's bronzed face, a heartiness that seemed to extend to his loosely knotted neckerchief.	true	111.5	118.36	17
5868_66166_000006_000001	But what completely won my good-will was a picture of enviable loveliness painted on his left arm.	But what completely won my good will was a picture of enviable loveliness painted on his left arm.	true	118.55	124.12	20
5868_66166_000006_000002	It was the head of a woman with the body of a fish.	It was the head of a woman with the body of a fish.	true	124.58	127.83	19.821287
5868_66166_000006_000003	Her flowing hair was of livid green, and she held a pink comb in one hand.	Her flowing hair was of livid green, and she held a pink comb in one hand.	false	127.83	132.76	16.785387
5868_66166_000006_000004	I never saw anything so beautiful.	I never saw anything so beautiful.	true	133.1	136	17.657946
5868_66166_000006_000005	I determined to know that man.	I determined to know that man.	true	136.22	138.04	22
5868_66166_000006_000006	I think I would have given my brass pistol to have had such a picture painted on my arm.	I think I would have given my brass pistol to have had such a picture painted on my arm.	false	138.08	142.45	17
5868_66166_000007_000000	While I stood admiring this work of art, a fat wheezy steamtug, with the word AJAX in staring black letters on the paddlebox, came puffing up alongside the Typhoon.	While I stood admiring this work of art, a fat wheezy steamtug, with the word AJAX in staring black letters on the paddlebox, came puffing up alongside the Typhoon.	true	142.94	152.74	20
5868_66166_000007_000001	It was ridiculously small and conceited, compared with our stately ship.	It was ridiculously small and conceited, compared with our stately ship.	true	152.93	157.24	20.414007
5868_66166_000007_000002	I speculated as to what it was going to do.	I speculated as to what it was going to do.	true	157.43	159.97	19
5868_66166_000007_000003	In a few minutes we were lashed to the little monster, which gave a snort and a shriek, and commenced backing us out from the levee (wharf) with the greatest ease.	In a few minutes we were lashed to the little monster, which gave a snort and a shriek, and commenced backing us out from the levee (wharf) with the greatest ease.	false	160.43	169.47	19.911478
5868_66166_000008_000000	I once saw an ant running away with a piece of cheese eight or ten times larger than itself.	I once saw an ant running away with a piece of cheese eight or ten times larger than itself.	false	169.47	175.29	18.500269
5868_66166_000008_000001	I could not help thinking of it, when I found the chubby, smoky-nosed tug-boat towing the Typhoon out into the Mississippi River.	I could not help thinking of it, when I found the chubby, smoky nosed tug boat towing the Typhoon out into the Mississippi River.	true	175.29	182.11	18
5868_66166_000009_000000	In the middle of the stream we swung round, the current caught us, and away we flew like a great winged bird.	In the middle of the stream we swung round, the current caught us, and away we flew like a great winged bird.	true	182.57	188.02	18
5868_66166_000009_000001	Only it didn't seem as if we were moving.	Only it didn't seem as if we were moving.	true	188.12	190.11	18.313549
5868_66166_000009_000002	The shore, with the countless steamboats, the tangled rigging of the ships, and the long lines of warehouses, appeared to be gliding away from us.	The shore, with the countless steamboats, the tangled rigging of the ships, and the long lines of warehouses, appeared to be gliding away from us.	false	190.11	197.44	17
