5802_76043_000004_000000	Section 3	Section three
5802_76043_000005_000000	In the evening after dinner Dr. Martineau sought, rather unsuccessfully, to go on with the analysis of Sir Richmond.	In the evening after dinner dr Martineau sought, rather unsuccessfully, to go on with the analysis of Sir Richmond.
5802_76043_000006_000000	But Sir Richmond was evidently a creature of moods.	But Sir Richmond was evidently a creature of moods.
5802_76043_000006_000001	Either he regretted the extent of his confidences or the slight irrational irritation that he felt at waiting for his car affected his attitude towards his companion, or Dr. Martineau's tentatives were ill-chosen.	Either he regretted the extent of his confidences or the slight irrational irritation that he felt at waiting for his car affected his attitude towards his companion, or dr Martineau's tentatives were ill chosen.
5802_76043_000006_000003	He was inclined to think that she and Sir Richmond were unduly obsessed by the idea that they had to stick together because of the child, because of the look of the thing and so forth, and that really each might be struggling against a very strong impulse indeed to break off the affair. It seemed evident to the doctor that they jarred upon and annoyed each other extremely.	He was inclined to think that she and Sir Richmond were unduly obsessed by the idea that they had to stick together because of the child, because of the look of the thing and so forth, and that really each might be struggling against a very strong impulse indeed to break off the affair. It seemed evident to the doctor that they jarred upon and annoyed each other extremely.
5802_76043_000006_000005	Accordingly he framed his enquiries so as to make the revelation of a latent antipathy as easy as possible.	Accordingly he framed his enquiries so as to make the revelation of a latent antipathy as easy as possible.
5802_76043_000007_000000	He made several not very well-devised beginnings.	He made several not very well devised beginnings.
5802_76043_000007_000001	At the fifth Sir Richmond was suddenly conclusive.	At the fifth Sir Richmond was suddenly conclusive.
5802_76043_000007_000002	"It's no use," he said, "I can't fiddle about any more with my motives to-day."	"It's no use," he said, "I can't fiddle about any more with my motives to day."
5802_76043_000008_000000	An awkward silence followed.	An awkward silence followed.
5802_76043_000008_000001	On reflection Sir Richmond seemed to realize that this sentence needed some apology.	On reflection Sir Richmond seemed to realize that this sentence needed some apology.
5802_76043_000008_000002	"I admit," he said, "that this expedition has already been a wonderfully good thing for me. These confessions have made me look into all sorts of things--squarely. But--I'm not used to talking about myself or even thinking directly about myself.	"I admit," he said, "that this expedition has already been a wonderfully good thing for me. These confessions have made me look into all sorts of things-squarely. But-I'm not used to talking about myself or even thinking directly about myself.
5802_76043_000008_000003	What I say, I afterwards find disconcerting to recall. I want to alter it.	What I say, I afterwards find disconcerting to recall. I want to alter it.
5802_76043_000008_000004	I can feel myself wallowing into a mess of modifications and qualifications."	I can feel myself wallowing into a mess of modifications and qualifications."
5802_76043_000009_000000	"Yes, but--"	"Yes, but-"
5802_76043_000010_000000	"I want a rest anyhow...."	"I want a rest anyhow...."
