5802_76043_000000_000000	"And then it is that Miss Martin Leeds--?"	"And then it is that Miss Martin Leeds-?"	false	2.25	6.12	20.53748
5802_76043_000001_000000	"Doesn't," Sir Richmond snapped.	"Doesn't," Sir Richmond snapped.	false	6.12	7.56	14.823523
5802_76043_000002_000000	Came a long pause.	Came a long pause.	false	7.56	16.26	23.625765
5802_76043_000003_000000	"And yet--It is extraordinarily difficult to think of parting from Martin."	"And yet-It is extraordinarily difficult to think of parting from Martin."	false	16.26	23.49	22.591518
5802_76043_000004_000000	Section 3	Section three	true	23.49	24.46	25.838457
5802_76043_000005_000000	In the evening after dinner Dr. Martineau sought, rather unsuccessfully, to go on with the analysis of Sir Richmond.	In the evening after dinner dr Martineau sought, rather unsuccessfully, to go on with the analysis of Sir Richmond.	true	25.22	30.97	20
5802_76043_000006_000000	But Sir Richmond was evidently a creature of moods.	But Sir Richmond was evidently a creature of moods.	true	31.58	34.15	22.392183
5802_76043_000006_000001	Either he regretted the extent of his confidences or the slight irrational irritation that he felt at waiting for his car affected his attitude towards his companion, or Dr. Martineau's tentatives were ill-chosen.	Either he regretted the extent of his confidences or the slight irrational irritation that he felt at waiting for his car affected his attitude towards his companion, or dr Martineau's tentatives were ill chosen.	true	34.64	45.67	21
5802_76043_000006_000002	At any rate he would not rise to any conversational bait that the doctor could devise. The doctor found this the more regrettable because it seemed to him that there was much to be worked upon in this Martin Leeds affair.	At any rate he would not rise to any conversational bait that the doctor could devise. The doctor found this the more regrettable because it seemed to him that there was much to be worked upon in this Martin Leeds affair.	false	45.89	56.47	23.515112
5802_76043_000006_000003	He was inclined to think that she and Sir Richmond were unduly obsessed by the idea that they had to stick together because of the child, because of the look of the thing and so forth, and that really each might be struggling against a very strong impulse indeed to break off the affair. It seemed evident to the doctor that they jarred upon and annoyed each other extremely.	He was inclined to think that she and Sir Richmond were unduly obsessed by the idea that they had to stick together because of the child, because of the look of the thing and so forth, and that really each might be struggling against a very strong impulse indeed to break off the affair. It seemed evident to the doctor that they jarred upon and annoyed each other extremely.	true	56.78	74.56	23.025064
5802_76043_000006_000004	On the whole separating people appealed to a doctor's mind more strongly than bringing them together.	On the whole separating people appealed to a doctor's mind more strongly than bringing them together.	false	74.99	79.96	26.694813
5802_76043_000006_000005	Accordingly he framed his enquiries so as to make the revelation of a latent antipathy as easy as possible.	Accordingly he framed his enquiries so as to make the revelation of a latent antipathy as easy as possible.	true	80.3	85.99	23.514765
5802_76043_000007_000000	He made several not very well-devised beginnings.	He made several not very well devised beginnings.	true	86.9	89.8	21.522268
5802_76043_000007_000001	At the fifth Sir Richmond was suddenly conclusive.	At the fifth Sir Richmond was suddenly conclusive.	true	90.38	93.01	23.484764
5802_76043_000007_000002	"It's no use," he said, "I can't fiddle about any more with my motives to-day."	"It's no use," he said, "I can't fiddle about any more with my motives to day."	true	93.14	97.87	22.439047
5802_76043_000008_000000	An awkward silence followed.	An awkward silence followed.	true	98.42	100.02	20.631945
