7241_90850_000002_000000	THE BIRD BOY	THE BIRD BOY
7241_90850_000003_000001	Suddenly, far, far up in the sky, she heard the weird cry of birds flying southward, and lifting her eyes, the Queen beheld bird after bird fly across the golden shield of the moon.	Suddenly, far, far up in the sky, she heard the weird cry of birds flying southward, and lifting her eyes, the Queen beheld bird after bird fly across the golden shield of the moon.
7241_90850_000005_000000	Now it came to pass that before the harvest moon rose again over the land, the Queen became the mother of a little boy who was born with wings on his shoulders.	Now it came to pass that before the harvest moon rose again over the land, the Queen became the mother of a little boy who was born with wings on his shoulders.
7241_90850_000005_000002	So the Queen and her baby were taken to an old and gloomy tower on a great rock overlooking the northern sea; and after they had been there a day or two, the chief jailer came to the Queen's room to take the child and kill him.	So the Queen and her baby were taken to an old and gloomy tower on a great rock overlooking the northern sea; and after they had been there a day or two, the chief jailer came to the Queen's room to take the child and kill him.
7241_90850_000008_000001	But although she fought for her baby with all her might, the rude strength of the jailers prevailed, and the child was torn from its mother's arms.	But although she fought for her baby with all her might, the rude strength of the jailers prevailed, and the child was torn from its mother's arms.
7241_90850_000008_000002	Then, before anyone could prevent her, the poor Queen beat open the rotted fastening of an old casement window, sprang upon the ledge, and giving one last look of love and tenderness to her unhappy child, leaped down into the sea surging and pounding over the rocks hundreds of feet below.	Then, before anyone could prevent her, the poor Queen beat open the rotted fastening of an old casement window, sprang upon the ledge, and giving one last look of love and tenderness to her unhappy child, leaped down into the sea surging and pounding over the rocks hundreds of feet below.
7241_90850_000008_000003	She certainly would have been dashed to pieces, had not a good spirit of the ocean taken pity on her, and changed her into a great gray bird.	She certainly would have been dashed to pieces, had not a good spirit of the ocean taken pity on her, and changed her into a great gray bird.
7241_90850_000008_000004	Crying mournfully, the bird circled the old tower thrice, and disappeared over the white-capped waters.	Crying mournfully, the bird circled the old tower thrice, and disappeared over the white capped waters.
7241_90850_000009_000001	So, instead of killing the bird-boy, he carried him many leagues back into the dark forest which bordered the sea, and gave him to a family of charcoal-burners.	So, instead of killing the bird boy, he carried him many leagues back into the dark forest which bordered the sea, and gave him to a family of charcoal burners.
7241_90850_000009_000003	And every year, on the boy's birthday, a great gray bird came flying over the forest from the distant ocean, circled thrice the charcoal-burners' hut, and disappeared again, crying mournfully.	And every year, on the boy's birthday, a great gray bird came flying over the forest from the distant ocean, circled thrice the charcoal burners' hut, and disappeared again, crying mournfully.
7241_90850_000010_000000	One midsummer day, with a great deal of merry hallooing and blowing of sweet-voiced horns, the King of the country, accompanied by his young wife, came hunting through the wood.	One midsummer day, with a great deal of merry hallooing and blowing of sweet voiced horns, the King of the country, accompanied by his young wife, came hunting through the wood.
7241_90850_000010_000001	There was a pretty spring near the door of the hut, and the party came to a halt at its edge.	There was a pretty spring near the door of the hut, and the party came to a halt at its edge.
7241_90850_000010_000003	And a wonderful sight it was, indeed, to see the horses tossing their jeweled bridles, the hooded falcons riding on the saddlebow, clutching the leather with their curving claws, the merry young pages in their dark suits, and all the gay company in rich attire.	And a wonderful sight it was, indeed, to see the horses tossing their jeweled bridles, the hooded falcons riding on the saddlebow, clutching the leather with their curving claws, the merry young pages in their dark suits, and all the gay company in rich attire.
7241_90850_000011_000001	Really, dear, I must have him for my page.	Really, dear, I must have him for my page.
7241_90850_000011_000003	Besides, he will be a playmate for Rosabella."	Besides, he will be a playmate for Rosabella."
7241_90850_000013_000000	So the bird-boy became the best beloved playmate of the Queen's only child, her darling Rosabella.	So the bird boy became the best beloved playmate of the Queen's only child, her darling Rosabella.
7241_90850_000013_000001	Now, if the bird-boy was the prettiest little boy in all the world, Rosabella was the prettiest little girl. Moreover, she had a sweet disposition, which is a gift even more precious than the gift of beauty.	Now, if the bird boy was the prettiest little boy in all the world, Rosabella was the prettiest little girl. Moreover, she had a sweet disposition, which is a gift even more precious than the gift of beauty.
7241_90850_000013_000002	It was a lovely picture to see the children building toy castles on the floor of the nursery in the castle tower, the sun streaming on the black-brown hair and silver white wings of the little boy, and on the golden curls of Rosabella.	It was a lovely picture to see the children building toy castles on the floor of the nursery in the castle tower, the sun streaming on the black brown hair and silver white wings of the little boy, and on the golden curls of Rosabella.
7241_90850_000014_000000	Twelve years passed.	Twelve years passed.
7241_90850_000015_000000	Every year, on the bird-boy's birthday, a great gray bird would fly in from over the sea, circle the castle thrice, and disappear, crying mournfully.	Every year, on the bird boy's birthday, a great gray bird would fly in from over the sea, circle the castle thrice, and disappear, crying mournfully.
7241_90850_000016_000001	His enemy was no other than the wicked chamberlain Malefico, who had succeeded to the kingdom of the bird-boy's father, when that Prince had died some years before. So the good King, who had been a real father to the bird-boy, put on his shining armor, kissed his dear wife and child good-bye, and rode off to the battlefield.	His enemy was no other than the wicked chamberlain Malefico, who had succeeded to the kingdom of the bird boy's father, when that Prince had died some years before. So the good King, who had been a real father to the bird boy, put on his shining armor, kissed his dear wife and child good bye, and rode off to the battlefield.
7241_90850_000017_000000	A month passed, an unhappy month in which there were no tidings from the King.	A month passed, an unhappy month in which there were no tidings from the King.
