7297_92812_000001_000000	AN ADJUSTMENT OF NATURE	AN ADJUSTMENT OF NATURE
7297_92812_000002_000001	The painter was a young scrub out of the West named Kraft, who had a favourite food and a pet theory.	The painter was a young scrub out of the West named Kraft, who had a favourite food and a pet theory.
7297_92812_000002_000003	His theory was fixed around corned-beef hash with poached egg.	His theory was fixed around corned beef hash with poached egg.
7297_92812_000002_000004	There was a story behind the picture, so I went home and let it drip out of a fountain-pen.	There was a story behind the picture, so I went home and let it drip out of a fountain pen.
7297_92812_000002_000005	The idea of Kraft--but that is not the beginning of the story.	The idea of Kraft-but that is not the beginning of the story.
7297_92812_000003_000000	Three years ago Kraft, Bill Judkins (a poet), and I took our meals at Cypher's, on Eighth Avenue.	Three years ago Kraft, Bill Judkins (a poet), and I took our meals at Cypher's, on Eighth Avenue.
7297_92812_000003_000001	I say "took." When we had money, Cypher got it "off of" us, as he expressed it.	I say "took." When we had money, Cypher got it "off of" us, as he expressed it.
7297_92812_000003_000002	We had no credit; we went in, called for food and ate it.	We had no credit; we went in, called for food and ate it.
7297_92812_000003_000003	We paid or we did not pay.	We paid or we did not pay.
7297_92812_000003_000004	We had confidence in Cypher's sullenness and smouldering ferocity.	We had confidence in Cypher's sullenness and smouldering ferocity.
7297_92812_000003_000006	He sat at a worm-eaten desk, covered with files of waiters' checks so old that I was sure the bottomest one was for clams that Hendrik Hudson had eaten and paid for. Cypher had the power, in common with Napoleon III. and the goggle-eyed perch, of throwing a film over his eyes, rendering opaque the windows of his soul.	He sat at a worm eaten desk, covered with files of waiters' checks so old that I was sure the bottomest one was for clams that Hendrik Hudson had eaten and paid for. Cypher had the power, in common with Napoleon the third. and the goggle eyed perch, of throwing a film over his eyes, rendering opaque the windows of his soul.
7297_92812_000003_000008	Now and then we paid up back scores.	Now and then we paid up back scores.
7297_92812_000004_000000	But the chief thing at Cypher's was Milly.	But the chief thing at Cypher's was Milly.
7297_92812_000004_000001	Milly was a waitress.	Milly was a waitress.
7297_92812_000004_000004	Pedestalled and in bronze she might have stood with the noblest of her heroic sisters as "Liver-and-Bacon Enlivening the World." She belonged to Cypher's.	Pedestalled and in bronze she might have stood with the noblest of her heroic sisters as "Liver and Bacon Enlivening the World." She belonged to Cypher's.
7297_92812_000004_000005	You expected to see her colossal figure loom through that reeking blue cloud of smoke from frying fat just as you expect the Palisades to appear through a drifting Hudson River fog.	You expected to see her colossal figure loom through that reeking blue cloud of smoke from frying fat just as you expect the Palisades to appear through a drifting Hudson River fog.
7297_92812_000005_000001	Her sleeves were always rolled above her elbows. She could have taken us three musketeers in her two hands and dropped us out of the window.	Her sleeves were always rolled above her elbows. She could have taken us three musketeers in her two hands and dropped us out of the window.
7297_92812_000005_000002	She had seen fewer years than any of us, but she was of such superb Evehood and simplicity that she mothered us from the beginning.	She had seen fewer years than any of us, but she was of such superb Evehood and simplicity that she mothered us from the beginning.
7297_92812_000005_000005	I never saw her but I thought of the Yosemite.	I never saw her but I thought of the Yosemite.
7297_92812_000005_000006	And yet, somehow, I could never think of her as existing outside of Cypher's.	And yet, somehow, I could never think of her as existing outside of Cypher's.
7297_92812_000005_000007	There nature had placed her, and she had taken root and grown mightily.	There nature had placed her, and she had taken root and grown mightily.
7297_92812_000006_000000	It was Kraft who first voiced the fear that each of us must have held latently.	It was Kraft who first voiced the fear that each of us must have held latently.
7297_92812_000009_000000	"She will go to night school and become refined?" I ventured anxiously.	"She will go to night school and become refined?" I ventured anxiously.
