8421_283462_000004_000000	The Water Ghost of Harrowby Hall	The Water Ghost of Harrowby Hall
8421_283462_000005_000000	BY JOHN KENDRICK BANGS	BY john KENDRICK BANGS
8421_283462_000007_000001	The owners of Harrowby Hall had done their utmost to rid themselves of the damp and dewy lady who rose up out of the best bedroom floor at midnight, but without avail.	The owners of Harrowby Hall had done their utmost to rid themselves of the damp and dewy lady who rose up out of the best bedroom floor at midnight, but without avail.
8421_283462_000007_000002	They had tried stopping the clock, so that the ghost would not know when it was midnight; but she made her appearance just the same, with that fearful miasmatic personality of hers, and there she would stand until everything about her was thoroughly saturated.	They had tried stopping the clock, so that the ghost would not know when it was midnight; but she made her appearance just the same, with that fearful miasmatic personality of hers, and there she would stand until everything about her was thoroughly saturated.
8421_283462_000008_000002	And then he swooned away, and was found unconscious in his bed the next morning by his host, simply saturated with sea-water and fright, from the combined effects of which he never recovered, dying four years later of pneumonia and nervous prostration at the age of seventy-eight.	And then he swooned away, and was found unconscious in his bed the next morning by his host, simply saturated with sea water and fright, from the combined effects of which he never recovered, dying four years later of pneumonia and nervous prostration at the age of seventy eight.
8421_283462_000009_000000	The next year the master of Harrowby Hall decided not to have the best spare bedroom opened at all, thinking that perhaps the ghost's thirst for making herself disagreeable would be satisfied by haunting the furniture, but the plan was as unavailing as the many that had preceded it.	The next year the master of Harrowby Hall decided not to have the best spare bedroom opened at all, thinking that perhaps the ghost's thirst for making herself disagreeable would be satisfied by haunting the furniture, but the plan was as unavailing as the many that had preceded it.
8421_283462_000010_000001	Finding no one there, she immediately set out to learn the reason why, and she chose none other to haunt than the owner of the Harrowby himself.	Finding no one there, she immediately set out to learn the reason why, and she chose none other to haunt than the owner of the Harrowby himself.
8421_283462_000010_000002	She found him in his own cosey room drinking whiskey--whiskey undiluted--and felicitating himself upon having foiled her ghost-ship, when all of a sudden the curl went out of his hair, his whiskey bottle filled and overflowed, and he was himself in a condition similar to that of a man who has fallen into a water-butt.	She found him in his own cosey room drinking whiskey-whiskey undiluted-and felicitating himself upon having foiled her ghost ship, when all of a sudden the curl went out of his hair, his whiskey bottle filled and overflowed, and he was himself in a condition similar to that of a man who has fallen into a water butt.
8421_283462_000010_000004	The sight was so unexpected and so terrifying that he fainted, but immediately came to, because of the vast amount of water in his hair, which, trickling down over his face, restored his consciousness.	The sight was so unexpected and so terrifying that he fainted, but immediately came to, because of the vast amount of water in his hair, which, trickling down over his face, restored his consciousness.
8421_283462_000011_000000	Now it so happened that the master of Harrowby was a brave man, and while he was not particularly fond of interviewing ghosts, especially such quenching ghosts as the one before him, he was not to be daunted by an apparition.	Now it so happened that the master of Harrowby was a brave man, and while he was not particularly fond of interviewing ghosts, especially such quenching ghosts as the one before him, he was not to be daunted by an apparition.
8421_283462_000011_000002	He would have liked to put on a dry suit of clothes first, but the apparition declined to leave him for an instant until her hour was up, and he was forced to deny himself that pleasure.	He would have liked to put on a dry suit of clothes first, but the apparition declined to leave him for an instant until her hour was up, and he was forced to deny himself that pleasure.
