8421_283462_000000_000000	Uncle Larry stopped.	Uncle Larry stopped.	false	0	0.45	100
8421_283462_000000_000001	His tiny cigar was out again.	His tiny cigar was out again.	false	0.45	1.35	14
8421_283462_000000_000002	The tale of the rival ghosts was told.	The tale of the rival ghosts was told.	false	1.35	4.86	20.350883
8421_283462_000000_000003	A solemn silence fell on the little party on the deck of the ocean steamer, broken harshly by the hoarse roar of the fog-horn.	A solemn silence fell on the little party on the deck of the ocean steamer, broken harshly by the hoarse roar of the fog horn.	false	4.86	10.5	25.392628
8421_283462_000001_000000	THE WATER GHOST OF HARROWBY HALL	THE WATER GHOST OF HARROWBY HALL	false	10.5	12.36	10
8421_283462_000002_000000	BY JOHN KENDRICK BANGS	BY john KENDRICK BANGS	false	12.36	13.62	22.210093
8421_283462_000003_000000	From _The Water Ghost, and other Stories_, by John Kendrick Bangs. Copyright, 1904, by Harper Brothers.	From underscore The Water Ghost, and other Stories underscore, by john Kendrick Bangs. Copyright, nineteen o four, by Harper Brothers.	false	13.62	21.21	22.644625
8421_283462_000003_000001	By permission of the publishers and John Kendrick Bangs.	By permission of the publishers and john Kendrick Bangs.	false	21.21	23.925	19.519043
8421_283462_000004_000000	The Water Ghost of Harrowby Hall	The Water Ghost of Harrowby Hall	true	23.925	26.535	21.763254
8421_283462_000005_000000	BY JOHN KENDRICK BANGS	BY john KENDRICK BANGS	true	26.535	29.41	26.559992
8421_283462_000006_000000	The trouble with Harrowby Hall was that it was haunted, and, what was worse, the ghost did not content itself with merely appearing at the bedside of the afflicted person who saw it, but persisted in remaining there for one mortal hour before it would disappear.	The trouble with Harrowby Hall was that it was haunted, and, what was worse, the ghost did not content itself with merely appearing at the bedside of the afflicted person who saw it, but persisted in remaining there for one mortal hour before it would disappear.	false	30.92	48.52	21.402401
8421_283462_000007_000000	It never appeared except on Christmas Eve, and then as the clock was striking twelve, in which respect alone was it lacking in that originality which in these days is a _sine qua non_ of success in spectral life.	It never appeared except on Christmas Eve, and then as the clock was striking twelve, in which respect alone was it lacking in that originality which in these days is a underscore sine qua non underscore of success in spectral life.	false	49.01	64.18	23.28993
8421_283462_000007_000001	The owners of Harrowby Hall had done their utmost to rid themselves of the damp and dewy lady who rose up out of the best bedroom floor at midnight, but without avail.	The owners of Harrowby Hall had done their utmost to rid themselves of the damp and dewy lady who rose up out of the best bedroom floor at midnight, but without avail.	true	65.06	75.55	21.158133
8421_283462_000007_000002	They had tried stopping the clock, so that the ghost would not know when it was midnight; but she made her appearance just the same, with that fearful miasmatic personality of hers, and there she would stand until everything about her was thoroughly saturated.	They had tried stopping the clock, so that the ghost would not know when it was midnight; but she made her appearance just the same, with that fearful miasmatic personality of hers, and there she would stand until everything about her was thoroughly saturated.	true	75.89	93.73	22.522287
8421_283462_000008_000000	Then the owners of Harrowby Hall caulked up every crack in the floor with the very best quality of hemp, and over this were placed layers of tar and canvas; the walls were made waterproof, and the doors and windows likewise, the proprietors having conceived the notion that the unexorcised lady would find it difficult to leak into the room after these precautions had been taken; but even this did not suffice.	Then the owners of Harrowby Hall caulked up every crack in the floor with the very best quality of hemp, and over this were placed layers of tar and canvas; the walls were made waterproof, and the doors and windows likewise, the proprietors having conceived the notion that the unexorcised lady would find it difficult to leak into the room after these precautions had been taken; but even this did not suffice.	true	94.16	122.44	20.652233
8421_283462_000008_000001	The following Christmas Eve she appeared as promptly as before, and frightened the occupant of the room quite out of his senses by sitting down alongside of him and gazing with her cavernous blue eyes into his; and he noticed, too, that in her long, aqueously bony fingers bits of dripping seaweed were entwined, the ends hanging down, and these ends she drew across his forehead until he became like one insane.	The following Christmas Eve she appeared as promptly as before, and frightened the occupant of the room quite out of his senses by sitting down alongside of him and gazing with her cavernous blue eyes into his; and he noticed, too, that in her long, aqueously bony fingers bits of dripping seaweed were entwined, the ends hanging down, and these ends she drew across his forehead until he became like one insane.	true	122.87	158.98	22.029562
