4957_23295_000006_000000	CHAPTER V.	CHAPTER five
4957_23295_000007_000000	The next morning, when Lord Elmwood and Sandford met at breakfast, the latter was pale with fear for the success of Lady Elmwood's letter--the Earl was pale too, but there was besides upon his face, something which evidently marked he was displeased.	The next morning, when Lord Elmwood and Sandford met at breakfast, the latter was pale with fear for the success of Lady Elmwood's letter-the Earl was pale too, but there was besides upon his face, something which evidently marked he was displeased.
4957_23295_000007_000001	Sandford observed it, and was all humbleness, both in his words and looks, in order to soften him.	Sandford observed it, and was all humbleness, both in his words and looks, in order to soften him.
4957_23295_000008_000000	As soon as the breakfast was removed, Lord Elmwood drew the letter from his pocket, and holding it towards Sandford, said,	As soon as the breakfast was removed, Lord Elmwood drew the letter from his pocket, and holding it towards Sandford, said,
4957_23295_000010_000000	Sandford called up a look of surprise, as if he did not know the letter again.	Sandford called up a look of surprise, as if he did not know the letter again.
4957_23295_000012_000000	Sandford took it, and putting it up, asked fearfully, "What those two reasons were?"	Sandford took it, and putting it up, asked fearfully, "What those two reasons were?"
4957_23295_000015_000000	"Be not hasty in your gratitude; you may have cause to recall it."	"Be not hasty in your gratitude; you may have cause to recall it."
4957_23295_000016_000000	"I know what you have said;" replied Sandford, "you have said you grant Lady Elmwood's request--you cannot recall these words, nor I my gratitude."	"I know what you have said;" replied Sandford, "you have said you grant Lady Elmwood's request-you cannot recall these words, nor I my gratitude."
4957_23295_000018_000000	"Not exactly, my Lord--I told you before, I did not; but it is no doubt something in favour of her child."	"Not exactly, my Lord-I told you before, I did not; but it is no doubt something in favour of her child."
4957_23295_000019_000000	"I think not," he replied: "such as it is, however, I grant it: but in the strictest sense of the word--no farther--and one neglect of my commands, releases me from this promise totally."	"I think not," he replied: "such as it is, however, I grant it: but in the strictest sense of the word-no farther-and one neglect of my commands, releases me from this promise totally."
4957_23295_000020_000000	"We will take care, Sir, not to disobey them."	"We will take care, Sir, not to disobey them."
4957_23295_000021_000000	"Then listen to what they are, for to you I give the charge of delivering them again.	"Then listen to what they are, for to you I give the charge of delivering them again.
4957_23295_000021_000002	In the literal sense, to suffer that she may reside at one of my seats; dispensing at the same time with my ever seeing her."	In the literal sense, to suffer that she may reside at one of my seats; dispensing at the same time with my ever seeing her."
4957_23295_000022_000000	"And you will comply?"	"And you will comply?"
4957_23295_000023_000000	"I will, till she encroaches on this concession, and dares to hope for a greater.	"I will, till she encroaches on this concession, and dares to hope for a greater.
4957_23295_000023_000001	I will, while she avoids my sight, or the giving me any remembrance of her.	I will, while she avoids my sight, or the giving me any remembrance of her.
4957_23295_000023_000002	But if, whether by design or by accident, I ever see or hear from her, that moment, my compliance to her mother's supplication ceases, and I abandon her once more."	But if, whether by design or by accident, I ever see or hear from her, that moment, my compliance to her mother's supplication ceases, and I abandon her once more."
4957_23295_000024_000000	Sandford sighed.	Sandford sighed.
4957_23295_000024_000001	Lord Elmwood continued:	Lord Elmwood continued:
4957_23295_000025_000000	"I am glad her request stopped where it did.	"I am glad her request stopped where it did.
4957_23295_000025_000001	I would rather comply with her desires than not; and I rejoice they are such as I can grant with ease and honour to myself.	I would rather comply with her desires than not; and I rejoice they are such as I can grant with ease and honour to myself.
4957_23295_000025_000002	I am seldom now at Elmwood castle; let her daughter go there; the few weeks or months I am down in the summer, she may easily in that extensive house avoid me--while she does, she lives in security--when she does not--you know my resolution."	I am seldom now at Elmwood castle; let her daughter go there; the few weeks or months I am down in the summer, she may easily in that extensive house avoid me-while she does, she lives in security-when she does not-you know my resolution."
4957_23295_000026_000000	Sandford bowed--the Earl resumed:	Sandford bowed-the Earl resumed:
4957_23295_000028_000000	Sandford interrupted the menace prepared for utterance, saying, "and you still mean, I suppose, to make Mr. Rushbrook your heir?"	Sandford interrupted the menace prepared for utterance, saying, "and you still mean, I suppose, to make mr Rushbrook your heir?"
4957_23295_000029_000000	"Have you not heard me say so?	"Have you not heard me say so?
4957_23295_000029_000001	And do you imagine I have changed my determination?	And do you imagine I have changed my determination?
4957_23295_000029_000002	I am not given to alter my resolutions, Mr. Sandford; and I thought you knew I was not; besides, will not my title be extinct, whoever I make my heir?	I am not given to alter my resolutions, mr Sandford; and I thought you knew I was not; besides, will not my title be extinct, whoever I make my heir?
4957_23295_000029_000003	Could any thing but a son have preserved my title?"	Could any thing but a son have preserved my title?"
4957_23295_000031_000000	"By marrying again, you mean?	"By marrying again, you mean?
4957_23295_000031_000001	No--no--I have had enough of marriage--and Henry Rushbrook I shall leave my heir.	No-no-I have had enough of marriage-and Henry Rushbrook I shall leave my heir.
4957_23295_000031_000002	Therefore, Sir----"	Therefore, Sir----"
