6494_60774_000000_000000	When it was the Three Hundred and Ninety-second Night,	When it was the Three Hundred and Ninety second Night,	false	0	1.8	20.039623
6494_60774_000001_000000	She said, It hath reached me, O auspicious King, that the man, taking with him the money, departed by stealth.	She said, It hath reached me, O auspicious King, that the man, taking with him the money, departed by stealth.	false	1.8	7.11	23.346464
6494_60774_000001_000001	But when they told Yahya of this, he said, "By Allah, though he had tarried with me to the end of his days, yet had I not stinted him of my largesse nor cut off from him the bounties of my hospitality!" For, indeed, the excellences of the Barmecides were past count nor can their virtues be committed to description, especially those of Yahya bin Khalid, for he was an ocean[FN#132] of noble qualities, even as saith the poet of him,	But when they told Yahya of this, he said, "By Allah, though he had tarried with me to the end of his days, yet had I not stinted him of my largesse nor cut off from him the bounties of my hospitality!" For, indeed, the excellences of the Barmecides were past count nor can their virtues be committed to description, especially those of Yahya bin Khalid, for he was an ocean[f n # one hundred thirty two] of noble qualities, even as saith the poet of him,	false	7.11	35.37	21.698301
6494_60774_000002_000000	"I asked of Bounty, 'Art thou free?' Quoth she, * 'No, I am slave to Yahya Khalid-son!' 'Boughten?' asked I. 'Allah forfend,' quoth she, * 'By heirship, sire to sire's transmission!'"	"I asked of Bounty, 'Art thou free?' Quoth she, asterisk 'No, I am slave to Yahya Khalid son!' 'Boughten?' asked i 'Allah forfend,' quoth she, asterisk 'By heirship, sire to sire's transmission!'"	false	35.37	47.31	21.327574
6494_60774_000003_000000	And the following is related of	And the following is related of	false	47.31	48.12	13
6494_60774_000004_000000	MOHAMMED AL-AMIN AND THE SLAVE-GIRL	MOHAMMED AL AMIN AND THE SLAVE GIRL	false	48.12	50.46	22.163065
6494_60774_000005_000000	Ja'afar bin Musa al-Hadi[FN#133] once had a slave-girl, a lutist, called Al-Badr al-Kabir, than whom there was not in her time a fairer of face nor shapelier of shape nor a more elegant of manners nor a more accomplished in the art of singing and striking the strings; she was indeed perfect in beauty and extreme in every charm.	Ja'afar bin Musa al Hadi[f n # one hundred thirty three] once had a slave girl, a lutist, called Al Badr al Kabir, than whom there was not in her time a fairer of face nor shapelier of shape nor a more elegant of manners nor a more accomplished in the art of singing and striking the strings; she was indeed perfect in beauty and extreme in every charm.	false	50.46	81.9	21.178818
6494_60774_000005_000001	Now Mohammed al-Amin,[FN#134] son of Zubaydah, heard of her and was urgent with Ja'afar to sell her to him; but he replied, "Thou knowest it beseemeth not one of my rank to sell slave-girls nor set prices on concubines; but were she not a rearling I would send her to thee, as a gift, not grudge her to thee." And Mohammed al-Amin, some days after this went to Ja'afar's house, to make merry; and the host set before him that which it behoveth to set before true friends and bade the damsel Al-Badr al-Kabir sing to him and gladden him.	Now Mohammed al Amin,[f n # one hundred thirty four] son of Zubaydah, heard of her and was urgent with Ja'afar to sell her to him; but he replied, "Thou knowest it beseemeth not one of my rank to sell slave girls nor set prices on concubines; but were she not a rearling I would send her to thee, as a gift, not grudge her to thee." And Mohammed al Amin, some days after this went to Ja'afar's house, to make merry; and the host set before him that which it behoveth to set before true friends and bade the damsel Al Badr al Kabir sing to him and gladden him.	false	81.9	114.99	20.088434
6494_60774_000005_000002	So she tuned the lute and sang with a ravishing melody; whilst Mohammed al-Amin fell to drinking and jollity and bade the cupbearers ply Ja'afar with much wine, till they made him drunken, when he took the damsel and carried her to his own house, but laid not a finger on her.	So she tuned the lute and sang with a ravishing melody; whilst Mohammed al Amin fell to drinking and jollity and bade the cupbearers ply Ja'afar with much wine, till they made him drunken, when he took the damsel and carried her to his own house, but laid not a finger on her.	false	114.99	128.97	21.21552
6494_60774_000005_000003	And when the morrow dawned he bade invite Ja'afar; and when he came, he set wine before him and made the girl sing to him, from behind the curtain.	And when the morrow dawned he bade invite Ja'afar; and when he came, he set wine before him and made the girl sing to him, from behind the curtain.	false	128.97	137.1	21.050089
6494_60774_000005_000004	Ja'afar knew her voice and was angered at this, but, of the nobleness of his nature and the magnanimity of his mind he showed no change.	Ja'afar knew her voice and was angered at this, but, of the nobleness of his nature and the magnanimity of his mind he showed no change.	false	137.1	145.05	20.23722
6494_60774_000005_000005	Now when the carousal was at an end, Al-Amin commanded one of his servants to fill the boat, wherein Ja'afar had come, with dirhams and dinars and all manner of jewels and jacinths and rich raiment and goods galore.	Now when the carousal was at an end, Al Amin commanded one of his servants to fill the boat, wherein Ja'afar had come, with dirhams and dinars and all manner of jewels and jacinths and rich raiment and goods galore.	false	145.05	159.96	19.821156
