7495_252342_000001_000000	CHAPTER XXII.	CHAPTER twenty two.
7495_252342_000002_000000	British Legation, Naples.	British Legation, Naples.
7495_252342_000002_000002	Should it ever reach you, you will perceive how unjustly you have charged me with neglecting your wishes.	Should it ever reach you, you will perceive how unjustly you have charged me with neglecting your wishes.
7495_252342_000002_000003	I have ordered the Sicilian wine for your friend; I have obtained the Royal leave for you to shoot in Calabria; and I assure you it is rather a rare incident in my life to have forgotten nothing required of me!	I have ordered the Sicilian wine for your friend; I have obtained the Royal leave for you to shoot in Calabria; and I assure you it is rather a rare incident in my life to have forgotten nothing required of me!
7495_252342_000003_000002	Important questions!	Important questions!
7495_252342_000003_000003	why, my dear friend, there is not a matter between this country and our own that rises above the capacity of a Colonel of Dragoons.	why, my dear friend, there is not a matter between this country and our own that rises above the capacity of a Colonel of Dragoons.
7495_252342_000003_000004	Meanwhile really great events are preparing in the East of Europe,--not that I am going to inflict them upon you, nor ask you to listen to speculations which even those in authority turn a deaf ear to.	Meanwhile really great events are preparing in the East of Europe,--not that I am going to inflict them upon you, nor ask you to listen to speculations which even those in authority turn a deaf ear to.
7495_252342_000004_000000	It is very kind of you to think of my health.	It is very kind of you to think of my health.
7495_252342_000004_000001	I am still a sufferer; the old pains rather aggravated than relieved by this climate.	I am still a sufferer; the old pains rather aggravated than relieved by this climate.
7495_252342_000004_000002	You are aware that, though warm, the weather here has some exciting property, some excess or other of a peculiar gas in the atmosphere, prejudicial to certain temperaments.	You are aware that, though warm, the weather here has some exciting property, some excess or other of a peculiar gas in the atmosphere, prejudicial to certain temperaments.
7495_252342_000004_000003	I feel it greatly; and though the season is midsummer, I am obliged to dress entirely in a light costume of buckskin, and take Marsalla baths, which refresh me, at least for the while.	I feel it greatly; and though the season is midsummer, I am obliged to dress entirely in a light costume of buckskin, and take Marsalla baths, which refresh me, at least for the while.
7495_252342_000004_000004	I have also taken to smoke the leaves of the nux vomica, steeped in arrack, and think it agrees with me.	I have also taken to smoke the leaves of the nux vomica, steeped in arrack, and think it agrees with me.
7495_252342_000004_000005	The King has most kindly placed a little villa at Ischia at my disposal; but I do not mean to avail myself of the politeness.	The King has most kindly placed a little villa at Ischia at my disposal; but I do not mean to avail myself of the politeness.
