7495_252342_000000_000000	Ay, good reader, utterly forgotten!	Ay, good reader, utterly forgotten!	false	0	1.38	27.82249
7495_252342_000000_000001	The gay world, for so it likes to be called, has no greater element of enjoyment amongst all its high gifts than its precious power of forgetting.	The gay world, for so it likes to be called, has no greater element of enjoyment amongst all its high gifts than its precious power of forgetting.	false	1.38	6.18	30.242825
7495_252342_000000_000002	It forgets not only all it owes to others,--gratitude, honor, and esteem,--but even the closer obligations it has contracted with itself.	It forgets not only all it owes to others,--gratitude, honor, and esteem,--but even the closer obligations it has contracted with itself.	false	6.18	12.15	22.301739
7495_252342_000000_000003	The Palazzo della Torre was for a fortnight the resort of the curious and the idle.	The Palazzo della Torre was for a fortnight the resort of the curious and the idle.	false	12.15	15.6	25.416376
7495_252342_000000_000004	At the sale crowds appeared to secure some object of especial value to each; and then the gates were locked, the shutters closed, and a large, ill-written notice on the door announced that any letters for the proprietor were to be addressed to "Pietro Arretini, Via del Sole."	At the sale crowds appeared to secure some object of especial value to each; and then the gates were locked, the shutters closed, and a large, ill written notice on the door announced that any letters for the proprietor were to be addressed to "Pietro Arretini, Via del Sole."	false	15.6	19.275	24.286358
7495_252342_000001_000000	CHAPTER XXII.	CHAPTER twenty two.	true	19.275	20.61	24.990454
7495_252342_000001_000001	AN UPTONIAN DESPATCH	AN u p t o n i a n DESPATCH	false	20.61	22.45	34.669277
7495_252342_000002_000000	British Legation, Naples.	British Legation, Naples.	true	24.5	26.44	35
7495_252342_000002_000001	My dear Harcourt,--It would seem that a letter of mine to you must have miscarried,--a not unfrequent occurrence when entrusted to our Foreign Office for transmission.	My dear Harcourt,--It would seem that a letter of mine to you must have miscarried,--a not unfrequent occurrence when entrusted to our Foreign Office for transmission.	false	27.17	36.67	22.550577
7495_252342_000002_000002	Should it ever reach you, you will perceive how unjustly you have charged me with neglecting your wishes.	Should it ever reach you, you will perceive how unjustly you have charged me with neglecting your wishes.	true	37.25	42.46	22.268032
7495_252342_000002_000003	I have ordered the Sicilian wine for your friend; I have obtained the Royal leave for you to shoot in Calabria; and I assure you it is rather a rare incident in my life to have forgotten nothing required of me!	I have ordered the Sicilian wine for your friend; I have obtained the Royal leave for you to shoot in Calabria; and I assure you it is rather a rare incident in my life to have forgotten nothing required of me!	true	42.71	54.67	21.519835
7495_252342_000002_000004	Perhaps you, who know me well, will do me this justice, and be the more grateful for my present promptitude.	Perhaps you, who know me well, will do me this justice, and be the more grateful for my present promptitude.	false	55.19	61.24	26.021893
7495_252342_000003_000000	It was quite a mistake sending me here; for anything there is to be done, Spencer or Lonsdale would perfectly suffice.	It was quite a mistake sending me here; for anything there is to be done, Spencer or Lonsdale would perfectly suffice.	true	62.3	68.61	18
7495_252342_000003_000001	_I_ ought to have gone to Vienna,--and so they know at home; but it's the old game played over again.	underscore I underscore ought to have gone to Vienna,--and so they know at home; but it's the old game played over again.	false	68.61	74.59	22.348127
7495_252342_000003_000002	Important questions!	Important questions!	true	74.9	76.57	32.21426
7495_252342_000003_000003	why, my dear friend, there is not a matter between this country and our own that rises above the capacity of a Colonel of Dragoons.	why, my dear friend, there is not a matter between this country and our own that rises above the capacity of a Colonel of Dragoons.	true	77.36	84.73	22
7495_252342_000003_000004	Meanwhile really great events are preparing in the East of Europe,--not that I am going to inflict them upon you, nor ask you to listen to speculations which even those in authority turn a deaf ear to.	Meanwhile really great events are preparing in the East of Europe,--not that I am going to inflict them upon you, nor ask you to listen to speculations which even those in authority turn a deaf ear to.	true	85.13	97.6	24.721704
7495_252342_000004_000000	It is very kind of you to think of my health.	It is very kind of you to think of my health.	true	98.54	101.055	24.560646
7495_252342_000004_000001	I am still a sufferer; the old pains rather aggravated than relieved by this climate.	I am still a sufferer; the old pains rather aggravated than relieved by this climate.	true	101.055	106.24	22.155977
7495_252342_000004_000002	You are aware that, though warm, the weather here has some exciting property, some excess or other of a peculiar gas in the atmosphere, prejudicial to certain temperaments.	You are aware that, though warm, the weather here has some exciting property, some excess or other of a peculiar gas in the atmosphere, prejudicial to certain temperaments.	true	106.67	116.92	23.128853
7495_252342_000004_000003	I feel it greatly; and though the season is midsummer, I am obliged to dress entirely in a light costume of buckskin, and take Marsalla baths, which refresh me, at least for the while.	I feel it greatly; and though the season is midsummer, I am obliged to dress entirely in a light costume of buckskin, and take Marsalla baths, which refresh me, at least for the while.	true	117.32	128.74	26.92193
7495_252342_000004_000004	I have also taken to smoke the leaves of the nux vomica, steeped in arrack, and think it agrees with me.	I have also taken to smoke the leaves of the nux vomica, steeped in arrack, and think it agrees with me.	true	129.53	136.63	27.162178
7495_252342_000004_000005	The King has most kindly placed a little villa at Ischia at my disposal; but I do not mean to avail myself of the politeness.	The King has most kindly placed a little villa at Ischia at my disposal; but I do not mean to avail myself of the politeness.	true	137.09	144.97	24.387445
7495_252342_000004_000006	The Duke of San Giustino has also offered me his palace at Baia; but I don't fancy leaving this just now, where there is a doctor, a certain Luigi Buffeloni, who really seems to have hit off my case.	The Duke of San Giustino has also offered me his palace at Baia; but I don't fancy leaving this just now, where there is a doctor, a certain Luigi Buffeloni, who really seems to have hit off my case.	true	145.67	158.62	25.456825
7495_252342_000004_000007	He calls it arterial arthriticis,--a kind of inflammatory action of one coat of the arterial system; his notion is highly ingenious, and wonderfully borne out by the symptoms.	He calls it arterial arthriticis,--a kind of inflammatory action of one coat of the arterial system; his notion is highly ingenious, and wonderfully borne out by the symptoms.	true	159.14	170.95	24.108852
7495_252342_000004_000008	I wish you would ask Brodie, or any of our best men, whether they have met with this affection; what class it affects, and what course it usually takes? My Italian doctor implies that it is the passing malady of men highly excitable, and largely endowed with mental gifts.	I wish you would ask Brodie, or any of our best men, whether they have met with this affection; what class it affects, and what course it usually takes? My Italian doctor implies that it is the passing malady of men highly excitable, and largely endowed with mental gifts.	true	171.44	188.11	26.230032
7495_252342_000004_000009	He may, or may not, be correct in this.	He may, or may not, be correct in this.	true	188.42	190.81	31.048777
7495_252342_000004_000010	It is only nature makes the blunder of giving the sharpest swords the weakest scabbards.	It is only nature makes the blunder of giving the sharpest swords the weakest scabbards.	true	191.42	196.36	26
7495_252342_000004_000011	What a pity the weapon cannot be worn naked!	What a pity the weapon cannot be worn naked!	true	196.82	199.78	24.78847
7495_252342_000005_000000	You ask me if I like this place.	You ask me if I like this place.	false	201.8	203.94	27
7495_252342_000005_000001	I do, perhaps, as well as I should like anywhere.	I do, perhaps, as well as I should like anywhere.	true	203.94	206.68	26
7495_252342_000005_000002	There is a wonderful sameness over the world just now, preluding, I have very little doubt, some great outburst of nationality from all the countries of Europe,--just as periods of Puritanism succeed intervals of gross licentiousness.	There is a wonderful sameness over the world just now, preluding, I have very little doubt, some great outburst of nationality from all the countries of Europe,--just as periods of Puritanism succeed intervals of gross licentiousness.	true	207.08	221.2	23.651804
7495_252342_000006_000000	Society here is, therefore, what you see it in London or Paris; well-bred people, like Gold, are current everywhere.	Society here is, therefore, what you see it in London or Paris; well bred people, like Gold, are current everywhere.	false	222.62	229.72	22.442883
7495_252342_000006_000001	There is really little peculiar to observe.	There is really little peculiar to observe.	true	230.15	233.08	28.53846
7495_252342_000006_000002	I don't perceive that there is more levity than elsewhere.	I don't perceive that there is more levity than elsewhere.	true	233.18	236.41	25.543749
7495_252342_000006_000003	The difference is, perhaps, that there is less shame about it, since it is under the protection of the Church.	The difference is, perhaps, that there is less shame about it, since it is under the protection of the Church.	true	236.72	242.59	23.479816
7495_252342_000007_000000	I go out very little; my notion is, that the Diplomatist, like the ancient Augur, must not suffer himself to be vulgarized by contact.	I go out very little; my notion is, that the Diplomatist, like the ancient Augur, must not suffer himself to be vulgarized by contact.	true	244.34	252.64	26.550413
7495_252342_000007_000001	He can only lose, not gain, by that mixed intercourse with the world.	He can only lose, not gain, by that mixed intercourse with the world.	true	253.07	257.35	23.16887
7495_252342_000007_000002	I have a few who come when I want them, and go in like manner.	I have a few who come when I want them, and go in like manner.	true	257.69	261.37	28.289219
7495_252342_000007_000003	They tell me "what is going on," far better and more truthfully than paid employees, and they cannot trace my intentions through my inquiries, and hasten off to retail them at the Ministry of Foreign Affairs.	They tell me "what is going on," far better and more truthfully than paid employees, and they cannot trace my intentions through my inquiries, and hasten off to retail them at the Ministry of Foreign Affairs.	true	261.56	273.28	23.534685
7495_252342_000007_000004	Of my colleagues I see as little as possible, though, when we do meet, I feel an unbounded affection for them.	Of my colleagues I see as little as possible, though, when we do meet, I feel an unbounded affection for them.	true	274.16	280.15	22
7495_252342_000007_000005	So much for my life, dear Harcourt; on the whole, a very tolerable kind of existence, which if few would envy, still fewer would care to part with.	So much for my life, dear Harcourt; on the whole, a very tolerable kind of existence, which if few would envy, still fewer would care to part with.	false	280.7	291	24.000303
7495_252342_000008_000000	I now come to the chief portion of your letter.	I now come to the chief portion of your letter.	false	291	293.02	22
7495_252342_000008_000001	This boy of Glencore's, I rather like the account you give of him, better than you do yourself. Imaginative and dreamy he may be, but remember what he was, and where we have placed him.	This boy of Glencore's, I rather like the account you give of him, better than you do yourself. Imaginative and dreamy he may be, but remember what he was, and where we have placed him.	false	293.3	304.21	21.88282
7495_252342_000008_000002	A moonstruck, romantic youth at a German University.	A moonstruck, romantic youth at a German University.	true	304.58	308.02	25.63152
7495_252342_000008_000003	Is it not painting the lily?	Is it not painting the lily?	true	308.18	310.24	23.24045
7495_252342_000009_000000	I merely intended he should go to Goettingen to learn the language,--always a difficulty, if not abstracted from other and more dulcet sounds.	I merely intended he should go to Goettingen to learn the language,--always a difficulty, if not abstracted from other and more dulcet sounds.	false	310.79	319.87	20.677784
7495_252342_000009_000001	I never meant to have him domesticated with some rusty Hochgelehrter, eating sauer-kraut in company with a green-eyed Fraulein, and imbibing love and metaphysics together.	I never meant to have him domesticated with some rusty Hochgelehrter, eating sauer kraut in company with a green eyed Fraulein, and imbibing love and metaphysics together.	false	320.33	331.33	26.022184
7495_252342_000009_000002	Let him "moon away," as you call it, my dear Harcourt.	Let him "moon away," as you call it, my dear Harcourt.	true	331.82	334.96	25.327705
7495_252342_000009_000003	It is wonderfully little consequence what any one does with his intellect till he be three or four and twenty.	It is wonderfully little consequence what any one does with his intellect till he be three or four and twenty.	true	335	340.69	23.504976
7495_252342_000009_000004	Indeed, I half suspect that the soil might be left quietly to rear weeds till that time; and as to dreaminess, it signifies nothing if there be a strong "physique." With a weak frame, imagination will play the tyrant, and never cease till it dominates over all the other faculties; but where there is strength and activity, there is no fear of this.	Indeed, I half suspect that the soil might be left quietly to rear weeds till that time; and as to dreaminess, it signifies nothing if there be a strong "physique." With a weak frame, imagination will play the tyrant, and never cease till it dominates over all the other faculties; but where there is strength and activity, there is no fear of this.	true	341.15	361.84	24.219791
7495_252342_000010_000000	You amuse me with your account of the doctor; and so the Germans have actually taken him for a savant, and given him a degree "honoris causa." May they never make a worse blunder.	You amuse me with your account of the doctor; and so the Germans have actually taken him for a savant, and given him a degree "honoris causa." May they never make a worse blunder.	false	362.66	373.9	25.430803
7495_252342_000010_000001	The man is eminently remarkable,--with his opportunities, miraculous.	The man is eminently remarkable,--with his opportunities, miraculous.	true	374.06	378.34	24.528091
7495_252342_000010_000002	I am certain, Harcourt, you never felt half the pleasure on arriving at a region well stocked with game, that he did on finding himself in a land of Libraries, Museums, and Collections.	I am certain, Harcourt, you never felt half the pleasure on arriving at a region well stocked with game, that he did on finding himself in a land of Libraries, Museums, and Collections.	false	378.98	389.8	22.950258
