8490_284269_000000_000000	CHAPTER FOUR	CHAPTER FOUR	false	0	8.61	19.053625
8490_284269_000001_000000	_Massacre_	underscore Massacre underscore	false	8.61	20.13	18.295267
8490_284269_000002_000000	Again it was spring, the spring of 1858, and almost the entire village of Mimbreno Apaches was on the move.	Again it was spring, the spring of eighteen fifty eight, and almost the entire village of Mimbreno Apaches was on the move.	true	20.13	28.06	17
8490_284269_000003_000000	Twenty or more youngsters, who couldn't contain their own bubbling spirits and wouldn't restrain their lively ponies, led the main column by half a mile.	Twenty or more youngsters, who couldn't contain their own bubbling spirits and wouldn't restrain their lively ponies, led the main column by half a mile.	true	28.25	37.27	14
8490_284269_000003_000001	Next, riding his immense war horse and surrounded by his sub-chiefs, came Mangus Coloradus himself--a giant of a man and a great leader.	Next, riding his immense war horse and surrounded by his sub chiefs, came Mangus Coloradus himself-a giant of a man and a great leader.	false	37.49	47.8	17
8490_284269_000003_000002	Immediately behind this group were more than three hundred pack horses and burros.	Immediately behind this group were more than three hundred pack horses and burros.	true	48.2	53.44	15
8490_284269_000003_000003	Their packs bore tanned skins, fruit of the saguaro cactus, edible roots of the mescal plant, and other trade goods.	Their packs bore tanned skins, fruit of the saguaro cactus, edible roots of the mescal plant, and other trade goods.	true	53.69	63.4	21
8490_284269_000004_000000	The pack train was guarded by warriors who rode on either side.	The pack train was guarded by warriors who rode on either side.	true	64.25	68.38	15
8490_284269_000004_000001	Far enough behind so that they would not be bothered too much by the dust of the pack train, came the remainder of the warriors, the old people, and the women and children.	Far enough behind so that they would not be bothered too much by the dust of the pack train, came the remainder of the warriors, the old people, and the women and children.	true	68.72	79.42	17
8490_284269_000004_000002	All were mounted.	All were mounted.	true	80.12	81.345	19.495647
8490_284269_000004_000003	Some of the smaller children rode four or five to a pony.	Some of the smaller children rode four or five to a pony.	true	81.345	85	15
8490_284269_000004_000004	They were going on a holiday of the happiest sort.	They were going on a holiday of the happiest sort.	true	85.13	88.35	14
8490_284269_000005_000000	[Illustration]	[Illustration]	false	88.35	88.53	-20
8490_284269_000006_000000	Though the Apaches were usually at war with the Mexicans, they had arranged a peace so that they might have their great annual trading party, or _fiesta_, in Mexico.	Though the Apaches were usually at war with the Mexicans, they had arranged a peace so that they might have their great annual trading party, or underscore fiesta underscore, in Mexico.	false	88.53	98.89	16
8490_284269_000006_000001	Most of their trading would be done in the town of Casas Grandes, deep in the Mexican state of Chihuahua.	Most of their trading would be done in the town of Casas Grandes, deep in the Mexican state of Chihuahua.	false	99.05	107.98	19.0112
8490_284269_000006_000002	But before reaching Casas Grandes they intended to stop and trade at a smaller town which they called Kas-Kai-Ya.	But before reaching Casas Grandes they intended to stop and trade at a smaller town which they called Kas Kai Ya.	false	108.95	117.45	17
8490_284269_000007_000000	Two and a half miles short of town they halted and set up camp.	Two and a half miles short of town they halted and set up camp.	false	117.45	122.17	17.847212
8490_284269_000007_000001	This was a simple enough business.	This was a simple enough business.	true	122.21	124.3	13
8490_284269_000007_000002	Most of the Indians just cast their blankets down on the ground and arranged a fireplace.	Most of the Indians just cast their blankets down on the ground and arranged a fireplace.	false	124.55	129.7	13
