231_119253_000001_000000	CHAPTER II.	CHAPTER two.
231_119253_000002_000001	The journey from Montreal had been long and lonely, the parting from her parents hard, and the thought of meeting the unknown relatives had weighed upon her mind and helped to make her unusually subdued.	The journey from Montreal had been long and lonely, the parting from her parents hard, and the thought of meeting the unknown relatives had weighed upon her mind and helped to make her unusually subdued.
231_119253_000003_000000	Mrs. Merrithew took the little newcomer to her room, had her trunks settled conveniently, and then left her to prepare for the late tea which was waiting for them all.	mrs Merrithew took the little newcomer to her room, had her trunks settled conveniently, and then left her to prepare for the late tea which was waiting for them all.
231_119253_000003_000001	When Dora was ready, she sat down in the little armchair that stood near a table piled with books, and looked about her contentedly.	When Dora was ready, she sat down in the little armchair that stood near a table piled with books, and looked about her contentedly.
231_119253_000004_000000	There was an air of solid comfort and cosiness about this house that rested her.	There was an air of solid comfort and cosiness about this house that rested her.
231_119253_000004_000001	This room--which her aunt had told her was just opposite Marjorie's--was all furnished in the softest shades of brown and blue, her favourite colours.	This room-which her aunt had told her was just opposite Marjorie's-was all furnished in the softest shades of brown and blue, her favourite colours.
231_119253_000004_000004	Just over the side of the bed was a book-shelf, quite empty, waiting for her favourite books.	Just over the side of the bed was a book shelf, quite empty, waiting for her favourite books.
231_119253_000004_000005	While she sat and looked about in admiration, the door was pushed gently open, and a plump maltese kitten came in, gazed at her doubtfully a moment, and then climbed on her lap.	While she sat and looked about in admiration, the door was pushed gently open, and a plump maltese kitten came in, gazed at her doubtfully a moment, and then climbed on her lap.
231_119253_000004_000006	Then Marjorie's bright face appeared at the door, and, "May I come in?" she asked.	Then Marjorie's bright face appeared at the door, and, "May I come in?" she asked.
231_119253_000005_000000	"Oh, please do," Dora cried.	"Oh, please do," Dora cried.
231_119253_000005_000001	"Kitty has made friends with me already, and I think that must be a good omen."	"Kitty has made friends with me already, and I think that must be a good omen."
231_119253_000006_000000	Marjorie laughed, as she patted the little bunch of blue-gray fur in Dora's lap.	Marjorie laughed, as she patted the little bunch of blue gray fur in Dora's lap.
231_119253_000008_000000	Dora's eyes opened wide with astonishment.	Dora's eyes opened wide with astonishment.
231_119253_000009_000000	Then they both laughed, and Marjorie, obeying one of her sudden impulses, threw her arms around Dora's neck and gave her a cousinly hug. "You and I will be friends, too," she said.	Then they both laughed, and Marjorie, obeying one of her sudden impulses, threw her arms around Dora's neck and gave her a cousinly hug. "You and I will be friends, too," she said.
231_119253_000009_000001	"I knew it as soon as I looked at you."	"I knew it as soon as I looked at you."
231_119253_000010_000000	Dora's dark brown eyes looked gravely into Marjorie's blue ones.	Dora's dark brown eyes looked gravely into Marjorie's blue ones.
231_119253_000010_000001	She seemed to be taking the proposition very seriously.	She seemed to be taking the proposition very seriously.
231_119253_000011_000002	But you,--ah, yes!	But you,--ah, yes!
231_119253_000011_000003	You are like my father, and besides, we are cousins, and that makes us understand each other.	You are like my father, and besides, we are cousins, and that makes us understand each other.
231_119253_000011_000004	Let us be friends."	Let us be friends."
231_119253_000012_000001	She clasped the slender hand with her own plump fingers, and shook it heartily.	She clasped the slender hand with her own plump fingers, and shook it heartily.
231_119253_000012_000002	So, in girlish romance and sudden resolution, the little maids sealed a compact which was never broken, and began a friendship which lasted and grew in beauty and strength all through their lives.	So, in girlish romance and sudden resolution, the little maids sealed a compact which was never broken, and began a friendship which lasted and grew in beauty and strength all through their lives.
231_119253_000013_000000	At the breakfast-table the next morning there was a merry discussion as to what should be done first to amuse Dora.	At the breakfast table the next morning there was a merry discussion as to what should be done first to amuse Dora.
231_119253_000013_000001	Jackie, who had invited her to sit beside him and beamed at her approvingly over his porridge and cream, suggested a walk to his favourite candy-store and the purchase of some sticks of "pure chocolate." Marjorie proposed a picnic at Old Government House.	Jackie, who had invited her to sit beside him and beamed at her approvingly over his porridge and cream, suggested a walk to his favourite candy store and the purchase of some sticks of "pure chocolate." Marjorie proposed a picnic at Old Government House.
231_119253_000013_000002	This was approved of, but postponed for a day or two to allow for preparations and invitations.	This was approved of, but postponed for a day or two to allow for preparations and invitations.
231_119253_000013_000003	Mr. Merrithew said "Let us go shooting bears," but even Jackie did not second this astounding proposition.	mr Merrithew said "Let us go shooting bears," but even Jackie did not second this astounding proposition.
231_119253_000013_000004	As usual, it was "mother" who offered the most feasible plan.	As usual, it was "mother" who offered the most feasible plan.
231_119253_000014_000000	"Suppose, this morning," she said, "you just help Dora unpack, and make her thoroughly at home in the house and garden; then this afternoon perhaps your father will take you for a walk, and show Dora the house where Mrs. Ewing lived, and any other interesting places.	"Suppose, this morning," she said, "you just help Dora unpack, and make her thoroughly at home in the house and garden; then this afternoon perhaps your father will take you for a walk, and show Dora the house where mrs Ewing lived, and any other interesting places.
231_119253_000014_000001	That would do for to-day, wouldn't it?	That would do for to day, wouldn't it?
231_119253_000014_000002	Then, day after to-morrow we could have the picnic; and for the next week I have a magnificent idea, but I want to talk it over with your father," and she nodded and smiled at that gentleman in a way which made him almost as curious as the children.	Then, day after to morrow we could have the picnic; and for the next week I have a magnificent idea, but I want to talk it over with your father," and she nodded and smiled at that gentleman in a way which made him almost as curious as the children.
231_119253_000015_000000	"That's the way with mother," Marjorie said to Dora after breakfast. "She never ends things up.	"That's the way with mother," Marjorie said to Dora after breakfast. "She never ends things up.
231_119253_000017_000000	The walk that afternoon was one which Dora always remembered.	The walk that afternoon was one which Dora always remembered.
231_119253_000017_000001	Mr. Merrithew had, as Jackie said, "the splendidest way of splaining things," and found something of interest to relate about almost every street of the little city.	mr Merrithew had, as Jackie said, "the splendidest way of splaining things," and found something of interest to relate about almost every street of the little city.
231_119253_000017_000002	They went through the beautiful cathedral, and he told them how it had been built through the earnest efforts of the well-known and venerated Bishop Medley, who was afterward Metropolitan of Canada.	They went through the beautiful cathedral, and he told them how it had been built through the earnest efforts of the well-known and venerated Bishop Medley, who was afterward Metropolitan of Canada.
231_119253_000019_000001	These willows she had often sketched, and Dora carried away a spray of the pale gray-green leaves, in memory of her favourite story-writer.	These willows she had often sketched, and Dora carried away a spray of the pale gray green leaves, in memory of her favourite story writer.
231_119253_000019_000002	It was one of Dora's ambitions, kept secret hitherto, but now confided to Marjorie, to write stories "something like Mrs. Ewing's."	It was one of Dora's ambitions, kept secret hitherto, but now confided to Marjorie, to write stories "something like mrs Ewing's."
231_119253_000020_000000	They saw, too, the picturesque cottage in which a certain quaint old lady had attained to the ripe age of a hundred and six years,--a record of which Fredericton was justly proud.	They saw, too, the picturesque cottage in which a certain quaint old lady had attained to the ripe age of a hundred and six years,--a record of which Fredericton was justly proud.
231_119253_000021_000001	There were other things, too, to see, and many anecdotes to hear, so that it was a somewhat tired, though happy and hungry party which trudged home just in time for tea.	There were other things, too, to see, and many anecdotes to hear, so that it was a somewhat tired, though happy and hungry party which trudged home just in time for tea.
231_119253_000022_000000	And such a tea, suited to hearty outdoor appetites born of the good Canadian air!	And such a tea, suited to hearty outdoor appetites born of the good Canadian air!
231_119253_000023_000001	I think life would be very dull without meals."	I think life would be very dull without meals."
