4246_12544_000000_000000	[Illustration]	[Illustration]	false	0.99	1.32	2
4246_12544_000001_000000	[Illustration: Nooning beside the prairie schooner.]	[Illustration: Nooning beside the prairie schooner.]	false	1.32	25.41	19.948296
4246_12544_000002_000000	CHAPTER TWENTY-SIX	CHAPTER TWENTY SIX	true	25.41	26.65	21
4246_12544_000003_000000	REVIVING OLD MEMORIES OF THE TRAIL	REVIVING OLD MEMORIES OF THE TRAIL	true	26.87	29.38	19.701468
4246_12544_000004_000000	THE sight of Sweetwater River, twenty miles out from South Pass, revived many pleasant memories and some that were sad.	THE sight of Sweetwater River, twenty miles out from South Pass, revived many pleasant memories and some that were sad.	true	29.84	36.79	18
4246_12544_000004_000001	I could remember the sparkling, clear water, the green skirt of undergrowth along the banks, and the restful camps, as we trudged along up the stream so many years ago.	I could remember the sparkling, clear water, the green skirt of undergrowth along the banks, and the restful camps, as we trudged along up the stream so many years ago.	true	37.22	46.69	14
4246_12544_000004_000002	And now I saw the same channel, the same hills, and apparently the same waters swiftly passing.	And now I saw the same channel, the same hills, and apparently the same waters swiftly passing.	true	47.06	52.63	17
4246_12544_000004_000003	But where were the camp fires?	But where were the camp fires?	true	52.73	54.58	16.513393
4246_12544_000004_000004	Where was the herd of gaunt cattle?	Where was the herd of gaunt cattle?	true	54.71	56.8	19.780594
4246_12544_000004_000005	Where the sound of the din of bells?	Where the sound of the din of bells?	true	56.99	59.29	18.495747
4246_12544_000004_000006	The hallooing for lost children?	The hallooing for lost children?	true	59.3	61.36	18
4246_12544_000004_000007	Or the little groups off on the hillside to bury the dead?	Or the little groups off on the hillside to bury the dead?	true	61.46	64.84	18
4246_12544_000004_000008	All were gone.	All were gone.	true	65.3	66.37	15
4246_12544_000005_000000	An oppressive silence prevailed as we drove to the river and pitched our camp within a few feet of the bank, where we could hear the rippling waters passing and see the fish leaping in the eddies.	An oppressive silence prevailed as we drove to the river and pitched our camp within a few feet of the bank, where we could hear the rippling waters passing and see the fish leaping in the eddies.	false	67.34	77.62	15
4246_12544_000005_000001	We had our choice of a camping place just by the skirt of a refreshing green brush with an opening to give full view of the river.	We had our choice of a camping place just by the skirt of a refreshing green brush with an opening to give full view of the river.	false	77.93	85.09	14
4246_12544_000005_000002	It had not been so fifty-four years before, with hundreds of camps ahead of you.	It had not been so fifty four years before, with hundreds of camps ahead of you.	true	85.34	89.89	16
4246_12544_000005_000003	The traveler then had to take what he could get, and in many cases that was a place far back from the water and removed from other conveniences.	The traveler then had to take what he could get, and in many cases that was a place far back from the water and removed from other conveniences.	true	90.23	97.68	15
4246_12544_000006_000000	[Illustration: _United States Geological Survey_	[Illustration: underscore United States Geological Survey underscore	false	97.68	98.1	3
4246_12544_000007_000000	Devil's Gate, on the Sweetwater River, one of the many beautiful streams in the uplands of Wyoming.	Devil's Gate, on the Sweetwater River, one of the many beautiful streams in the uplands of Wyoming.	false	98.1	98.43	26
4246_12544_000007_000001	The pioneer trail followed the course of this river.]	The pioneer trail followed the course of this river.]	false	98.43	98.43	
4246_12544_000008_000000	The sight and smell of carrion, so common in camping places during that first journey, also were gone.	The sight and smell of carrion, so common in camping places during that first journey, also were gone.	false	98.43	105.15	18
4246_12544_000008_000001	No bleached bones, even, showed where the exhausted dumb brute had died.	No bleached bones, even, showed where the exhausted dumb brute had died.	true	105.15	109.3	13
4246_12544_000008_000002	The graves of the dead pioneers had all been leveled by the hoofs of stock and the lapse of time.	The graves of the dead pioneers had all been leveled by the hoofs of stock and the lapse of time.	true	109.4	114.55	18
4246_12544_000009_000000	The country remains as it was in '52.	The country remains as it was in 'fifty two.	true	115.34	117.76	17.46323
4246_12544_000009_000001	There the trail is to be seen miles and miles ahead, worn bare and deep, with but one narrow track where there used to be a dozen, and with the beaten path that vegetation has not yet recovered from the scourge of passing hoofs and tires of wagons years ago.	There the trail is to be seen miles and miles ahead, worn bare and deep, with but one narrow track where there used to be a dozen, and with the beaten path that vegetation has not yet recovered from the scourge of passing hoofs and tires of wagons years ago.	true	118.07	133.15	16
4246_12544_000010_000000	As in 1852, when the summit was passed I felt that my task was much more than half done, though half the distance was scarcely compassed.	As in eighteen fifty two, when the summit was passed I felt that my task was much more than half done, though half the distance was scarcely compassed.	true	134.03	142.75	17
4246_12544_000011_000000	On June 30, at about ten o'clock, we encountered a large number of big flies that ran the cattle nearly wild.	On june thirtieth, at about ten o'clock, we encountered a large number of big flies that ran the cattle nearly wild.	true	143.03	150.04	18.846067
4246_12544_000011_000001	I stood on the wagon tongue for miles to reach them with the whipstock.	I stood on the wagon tongue for miles to reach them with the whipstock.	false	150.2	153.79	18
4246_12544_000011_000002	The cattle were so excited that we did not stop at noon, but drove on.	The cattle were so excited that we did not stop at noon, but drove on.	true	153.83	157.9	15
4246_12544_000011_000003	By half-past two we camped at a farmhouse, the Split Rock post office, the first we had found in a hundred miles of travel since leaving Pacific Springs.	By half past two we camped at a farmhouse, the Split Rock post office, the first we had found in a hundred miles of travel since leaving Pacific Springs.	true	158.12	166.63	17
4246_12544_000012_000000	The Devil's Gate, a few miles distant, is one of the two best-known landmarks on the trail.	The Devil's Gate, a few miles distant, is one of the two best known landmarks on the trail.	false	167.09	172.54	21.858435
4246_12544_000012_000001	Here, as at Split Rock, the mountain seems to have been split apart, leaving an opening a few rods wide, through which the Sweetwater River pours in a veritable torrent.	Here, as at Split Rock, the mountain seems to have been split apart, leaving an opening a few rods wide, through which the Sweetwater River pours in a veritable torrent.	false	172.82	183.39	20.160751
4246_12544_000012_000002	The river first approaches to within a few hundred feet of the gap, then suddenly curves away from it, and after winding through the valley for half a mile or so, a quarter of a mile away, it takes a straight shoot and makes the plunge through the canyon.	The river first approaches to within a few hundred feet of the gap, then suddenly curves away from it, and after winding through the valley for half a mile or so, a quarter of a mile away, it takes a straight shoot and makes the plunge through the canyon.	true	183.39	196.96	16
4246_12544_000012_000003	Those who have had the impression that the emigrants drove their teams through this gap are mistaken, for it's a feat no mortal man has done or can do, any more than he could drive up the falls of the Niagara.	Those who have had the impression that the emigrants drove their teams through this gap are mistaken, for it's a feat no mortal man has done or can do, any more than he could drive up the falls of the Niagara.	true	197.42	209.17	15
4246_12544_000013_000000	This year, on my 1906 trip, I did clamber through on the left bank, over boulders head high, under shelving rocks.	This year, on my nineteen o six trip, I did clamber through on the left bank, over boulders head high, under shelving rocks.	true	209.93	217.54	18.176826
4246_12544_000013_000001	I ate some ripe gooseberries from the bushes growing on the border of the river, and plucked some beautiful wild roses, wondering the while why those wild roses grew where nobody would see them.	I ate some ripe gooseberries from the bushes growing on the border of the river, and plucked some beautiful wild roses, wondering the while why those wild roses grew where nobody would see them.	true	217.85	228.28	12
4246_12544_000014_000000	The gap through the mountains looked familiar as I spied it from the distance, but the roadbed to the right I had forgotten.	The gap through the mountains looked familiar as I spied it from the distance, but the roadbed to the right I had forgotten.	true	228.8	235.05	15
