1241_137614_000001_000000	CHAPTER XII.	CHAPTER twelve.
1241_137614_000003_000003	Also I beseech your good grace that I may take my leave at my lady, your daughter, and at all the barons and knights.	Also I beseech your good grace that I may take my leave at my lady, your daughter, and at all the barons and knights.
1241_137614_000003_000004	I will well, said the king.	I will well, said the king.
1241_137614_000004_000002	And therewithal she wept heartily.	And therewithal she wept heartily.
1241_137614_000005_000001	And if there be any that will proffer me wrong, or say of me wrong or shame behind my back, say it now or never, and here is my body to make it good, body against body.	And if there be any that will proffer me wrong, or say of me wrong or shame behind my back, say it now or never, and here is my body to make it good, body against body.
1241_137614_000006_000000	CHAPTER XIII.	CHAPTER thirteen.
1241_137614_000008_000004	Then King Mark understood that and was jealous, for King Mark loved her passingly well.	Then King Mark understood that and was jealous, for King Mark loved her passingly well.
1241_137614_000009_000003	And with this answer the dwarf departed.	And with this answer the dwarf departed.
1241_137614_000009_000005	Now, said King Mark, go where thou wilt, and upon pain of death that thou say no word that thou spakest with me; so the dwarf departed from the king.	Now, said King Mark, go where thou wilt, and upon pain of death that thou say no word that thou spakest with me; so the dwarf departed from the king.
1241_137614_000011_000000	CHAPTER XIV.	CHAPTER fourteen.
1241_137614_000015_000000	CHAPTER XV.	CHAPTER fifteen.
1241_137614_000017_000001	So when Bleoberis was gone with this lady, King Mark and all the court was wroth that she was away.	So when Bleoberis was gone with this lady, King Mark and all the court was wroth that she was away.
1241_137614_000018_000001	Then was King Mark heavy thereof, and all the court.	Then was King Mark heavy thereof, and all the court.
1241_137614_000019_000000	CHAPTER XVI.	CHAPTER sixteen.
1241_137614_000020_000005	Whereby ask ye it? said Sir Tristram.	Whereby ask ye it? said Sir Tristram.
1241_137614_000021_000002	When Sir Sagramore saw his fellow have such a fall he marvelled what knight he might be.	When Sir Sagramore saw his fellow have such a fall he marvelled what knight he might be.
1241_137614_000021_000003	And he dressed his spear with all his might, and Sir Tristram against him, and they came together as the thunder, and there Sir Tristram smote Sir Sagramore a strong buffet, that he bare his horse and him to the earth, and in the falling he brake his thigh.	And he dressed his spear with all his might, and Sir Tristram against him, and they came together as the thunder, and there Sir Tristram smote Sir Sagramore a strong buffet, that he bare his horse and him to the earth, and in the falling he brake his thigh.
