724_123283_000000_000000	I dressed in haste.	I dressed in haste.	false	4.35	7.56	22.419275
724_123283_000000_000001	For greater safety I wrapped myself in a blanket, and came out of the grotto.	For greater safety I wrapped myself in a blanket, and came out of the grotto.	false	7.56	41.1	22.63176
724_123283_000001_000000	CHAPTER XXX.	CHAPTER thirty.	true	41.1	42.25	27.33418
724_123283_000002_000000	A NEW MARE INTERNUM	A NEW MARE i n t e r n u m	false	42.77	46.14	18.311153
724_123283_000003_000000	At first I could hardly see anything.	At first I could hardly see anything.	true	46.14	48.1	22.654678
724_123283_000003_000001	My eyes, unaccustomed to the light, quickly closed.	My eyes, unaccustomed to the light, quickly closed.	true	48.65	52.84	22.45595
724_123283_000003_000002	When I was able to reopen them, I stood more stupefied even than surprised.	When I was able to reopen them, I stood more stupefied even than surprised.	true	53.18	58.72	24.978308
724_123283_000004_000000	"The sea!" I cried.	"The sea!" I cried.	true	59.42	61.27	22.133091
724_123283_000005_000000	"Yes," my uncle replied, "the Liedenbrock Sea; and I don't suppose any other discoverer will ever dispute my claim to name it after myself as its first discoverer."	"Yes," my uncle replied, "the Liedenbrock Sea; and I don't suppose any other discoverer will ever dispute my claim to name it after myself as its first discoverer."	true	62.15	73.45	26.324215
724_123283_000006_000000	A vast sheet of water, the commencement of a lake or an ocean, spread far away beyond the range of the eye, reminding me forcibly of that open sea which drew from Xenophon's ten thousand Greeks, after their long retreat, the simultaneous cry, "Thalatta! thalatta!" the sea! the sea!	A vast sheet of water, the commencement of a lake or an ocean, spread far away beyond the range of the eye, reminding me forcibly of that open sea which drew from Xenophon's ten thousand Greeks, after their long retreat, the simultaneous cry, "Thalatta! thalatta!" the sea! the sea!	false	74.78	94.03	21.5893
724_123283_000006_000001	The deeply indented shore was lined with a breadth of fine shining sand, softly lapped by the waves, and strewn with the small shells which had been inhabited by the first of created beings.	The deeply indented shore was lined with a breadth of fine shining sand, softly lapped by the waves, and strewn with the small shells which had been inhabited by the first of created beings.	true	95	107.77	20.112303
724_123283_000006_000002	The waves broke on this shore with the hollow echoing murmur peculiar to vast inclosed spaces.	The waves broke on this shore with the hollow echoing murmur peculiar to vast inclosed spaces.	true	109.13	114.97	22.788544
