724_123283_000001_000000	CHAPTER XXX.	CHAPTER thirty.
724_123283_000003_000000	At first I could hardly see anything.	At first I could hardly see anything.
724_123283_000003_000001	My eyes, unaccustomed to the light, quickly closed.	My eyes, unaccustomed to the light, quickly closed.
724_123283_000003_000002	When I was able to reopen them, I stood more stupefied even than surprised.	When I was able to reopen them, I stood more stupefied even than surprised.
724_123283_000004_000000	"The sea!" I cried.	"The sea!" I cried.
724_123283_000005_000000	"Yes," my uncle replied, "the Liedenbrock Sea; and I don't suppose any other discoverer will ever dispute my claim to name it after myself as its first discoverer."	"Yes," my uncle replied, "the Liedenbrock Sea; and I don't suppose any other discoverer will ever dispute my claim to name it after myself as its first discoverer."
724_123283_000006_000001	The deeply indented shore was lined with a breadth of fine shining sand, softly lapped by the waves, and strewn with the small shells which had been inhabited by the first of created beings.	The deeply indented shore was lined with a breadth of fine shining sand, softly lapped by the waves, and strewn with the small shells which had been inhabited by the first of created beings.
724_123283_000006_000002	The waves broke on this shore with the hollow echoing murmur peculiar to vast inclosed spaces.	The waves broke on this shore with the hollow echoing murmur peculiar to vast inclosed spaces.
724_123283_000006_000003	A light foam flew over the waves before the breath of a moderate breeze, and some of the spray fell upon my face. On this slightly inclining shore, about a hundred fathoms from the limit of the waves, came down the foot of a huge wall of vast cliffs, which rose majestically to an enormous height.	A light foam flew over the waves before the breath of a moderate breeze, and some of the spray fell upon my face. On this slightly inclining shore, about a hundred fathoms from the limit of the waves, came down the foot of a huge wall of vast cliffs, which rose majestically to an enormous height.
724_123283_000006_000005	Farther on the eye discerned their massive outline sharply defined against the hazy distant horizon.	Farther on the eye discerned their massive outline sharply defined against the hazy distant horizon.
724_123283_000007_000000	It was quite an ocean, with the irregular shores of earth, but desert and frightfully wild in appearance.	It was quite an ocean, with the irregular shores of earth, but desert and frightfully wild in appearance.
724_123283_000008_000000	If my eyes were able to range afar over this great sea, it was because a peculiar light brought to view every detail of it.	If my eyes were able to range afar over this great sea, it was because a peculiar light brought to view every detail of it.
724_123283_000008_000001	It was not the light of the sun, with his dazzling shafts of brightness and the splendour of his rays; nor was it the pale and uncertain shimmer of the moonbeams, the dim reflection of a nobler body of light.	It was not the light of the sun, with his dazzling shafts of brightness and the splendour of his rays; nor was it the pale and uncertain shimmer of the moonbeams, the dim reflection of a nobler body of light.
