6054_41614_000002_000000	CHAPTER XIV	CHAPTER fourteen
6054_41614_000004_000000	Now that Thanksgiving was past, basketball became the topic of the hour. The juniors had accepted the challenge of the senior class, and had agreed to play them on Saturday, December 12, at two o'clock, in the gymnasium.	Now that Thanksgiving was past, basketball became the topic of the hour. The juniors had accepted the challenge of the senior class, and had agreed to play them on saturday december twelfth, at two o'clock, in the gymnasium.
6054_41614_000004_000001	Only two weeks remained in which to practise.	Only two weeks remained in which to practise.
6054_41614_000004_000002	Their sorority enthusiasm had so completely run away with them that they had even neglected basketball until now.	Their sorority enthusiasm had so completely run away with them that they had even neglected basketball until now.
6054_41614_000004_000003	Therefore Grace Harlowe lost no time in getting Miss Thompson's permission to use the gymnasium, and promptly notified her team and the subs. to meet there, in gymnasium suits, prepared to play, that afternoon.	Therefore Grace Harlowe lost no time in getting Miss Thompson's permission to use the gymnasium, and promptly notified her team and the subs. to meet there, in gymnasium suits, prepared to play, that afternoon.
6054_41614_000005_000000	The instant the last bell sounded on lessons, ten girls made for their lockers, and fifteen minutes later the first team and the subs. were moving toward the gymnasium deep in the discussion of the coming game and their chances for success over their opponents.	The instant the last bell sounded on lessons, ten girls made for their lockers, and fifteen minutes later the first team and the subs. were moving toward the gymnasium deep in the discussion of the coming game and their chances for success over their opponents.
6054_41614_000006_000000	A brief meeting was held, and the girls were assigned to their positions.	A brief meeting was held, and the girls were assigned to their positions.
6054_41614_000006_000001	Grace had fully intended that Miriam should play center, but when she proposed it, Miriam flatly refused to do so, and asked for her old position of right forward.	Grace had fully intended that Miriam should play center, but when she proposed it, Miriam flatly refused to do so, and asked for her old position of right forward.
6054_41614_000007_000000	"You are our captain," she declared to Grace, "and the best center I ever saw on a girls' team.	"You are our captain," she declared to Grace, "and the best center I ever saw on a girls' team.
6054_41614_000007_000002	Don't you agree with me, girls?"	Don't you agree with me, girls?"
6054_41614_000008_000000	Nora was detailed as left forward, while Marian Barber and Eva Allen played right and left guards.	Nora was detailed as left forward, while Marian Barber and Eva Allen played right and left guards.
6054_41614_000008_000001	The substitutes were also assigned their positions and practice began.	The substitutes were also assigned their positions and practice began.
6054_41614_000010_000000	"I never saw you girls work better!" she exclaimed.	"I never saw you girls work better!" she exclaimed.
6054_41614_000010_000001	"It will be a sorry day for the seniors when we line up on the twelfth."	"It will be a sorry day for the seniors when we line up on the twelfth."
6054_41614_000011_000000	"There'll be a great gnashing of senior teeth after the game," remarked Nora confidently.	"There'll be a great gnashing of senior teeth after the game," remarked Nora confidently.
6054_41614_000012_000000	"Do you know, girls," said Grace, as they left the gymnasium that afternoon, "I am sorry that Eleanor won't be peaceable.	"Do you know, girls," said Grace, as they left the gymnasium that afternoon, "I am sorry that Eleanor won't be peaceable.
6054_41614_000012_000002	I suppose she will stay away from the game merely because we are on the team.	I suppose she will stay away from the game merely because we are on the team.
6054_41614_000013_000000	"Grace Harlowe, are you ever going to stop mourning over Eleanor?" cried Miriam impatiently.	"Grace Harlowe, are you ever going to stop mourning over Eleanor?" cried Miriam impatiently.
6054_41614_000013_000001	"She doesn't deserve your regret and is too selfish to appreciate it.	"She doesn't deserve your regret and is too selfish to appreciate it.
6054_41614_000013_000002	I know what I am talking about because I used to be just as ridiculous as she is, and knowing what you suffered through me, I can't bear to see you unhappy again over some one who is too trivial to be taken seriously."	I know what I am talking about because I used to be just as ridiculous as she is, and knowing what you suffered through me, I can't bear to see you unhappy again over some one who is too trivial to be taken seriously."
6054_41614_000014_000000	"You're a dear, Miriam!" exclaimed Nora impulsively.	"You're a dear, Miriam!" exclaimed Nora impulsively.
6054_41614_000017_000002	It is their ambition to become loud and loyal fans."	It is their ambition to become loud and loyal fans."
6054_41614_000021_000001	Grace nodded to her, but her salutation met with a chilly stare.	Grace nodded to her, but her salutation met with a chilly stare.
6054_41614_000022_000001	"I suppose she thinks that hurts me.	"I suppose she thinks that hurts me.
6054_41614_000022_000002	Of course it isn't exactly pleasant, but I'm going to keep on speaking to her, just the same.	Of course it isn't exactly pleasant, but I'm going to keep on speaking to her, just the same.
6054_41614_000022_000003	I am not angry, even if she is; although I have far greater cause to be."	I am not angry, even if she is; although I have far greater cause to be."
6054_41614_000023_000000	But before the close of the week Grace was destined to cross swords with Eleanor in earnest, and the toleration she had felt was swallowed up in righteous indignation.	But before the close of the week Grace was destined to cross swords with Eleanor in earnest, and the toleration she had felt was swallowed up in righteous indignation.
6054_41614_000024_000000	During the winter, theatrical companies sometimes visited Oakdale for a week at a time, presenting, at popular prices, old worn-out plays and cheap melodramas.	During the winter, theatrical companies sometimes visited Oakdale for a week at a time, presenting, at popular prices, old worn out plays and cheap melodramas.
6054_41614_000025_000000	All this Eleanor had heard, among other things, from Edna Wright, but had paid little attention to it when Edna had told her.	All this Eleanor had heard, among other things, from Edna Wright, but had paid little attention to it when Edna had told her.
6054_41614_000025_000001	Directly after cutting Grace Harlowe, she had turned her runabout into Main Street, where a billboard had caught her eye, displaying in glaring red and blue lettering the fact that the "Peerless Dramatic Company" would open a week's engagement in Oakdale with daily matinees.	Directly after cutting Grace Harlowe, she had turned her runabout into Main Street, where a billboard had caught her eye, displaying in glaring red and blue lettering the fact that the "Peerless Dramatic Company" would open a week's engagement in Oakdale with daily matinees.
6054_41614_000026_000000	Eleanor's eyes sparkled.	Eleanor's eyes sparkled.
6054_41614_000026_000001	She halted her machine, scanning curiously the list of plays on the billboard.	She halted her machine, scanning curiously the list of plays on the billboard.
6054_41614_000026_000002	"The Nihilist's Daughter" was scheduled for Thursday afternoon, and Eleanor decided to go.	"The Nihilist's Daughter" was scheduled for Thursday afternoon, and Eleanor decided to go.
6054_41614_000026_000003	She wasn't afraid of Miss Thompson.	She wasn't afraid of Miss Thompson.
6054_41614_000026_000004	Then, possessed with a sudden idea, she laughed gleefully.	Then, possessed with a sudden idea, she laughed gleefully.
