272_130227_000000_000000	Sunday	Sunday	false	0	0	
272_130227_000001_000000	Pulled through.	Pulled through.	false	0	0	
272_130227_000002_000000	Tuesday	Tuesday	false	0	0	
272_130227_000003_000000	She has taken up with a snake now.	She has taken up with a snake now.	false	0	0.06	11
272_130227_000003_000001	The other animals are glad, for she was always experimenting with them and bothering them; and I am glad, because the snake talks, and this enables me to get a rest.	The other animals are glad, for she was always experimenting with them and bothering them; and I am glad, because the snake talks, and this enables me to get a rest.	false	0.06	0.3	-20
272_130227_000004_000000	Friday	Friday	false	0.3	0.3	
272_130227_000005_000000	She says the snake advises her to try the fruit of that tree, and says the result will be a great and fine and noble education.	She says the snake advises her to try the fruit of that tree, and says the result will be a great and fine and noble education.	false	0.3	0.48	-20
272_130227_000005_000001	I told her there would be another result, too--it would introduce death into the world.	I told her there would be another result, too-it would introduce death into the world.	false	0.48	0.6	-20
272_130227_000005_000002	That was a mistake--it had been better to keep the remark to myself; it only gave her an idea--she could save the sick buzzard, and furnish fresh meat to the despondent lions and tigers.	That was a mistake-it had been better to keep the remark to myself; it only gave her an idea-she could save the sick buzzard, and furnish fresh meat to the despondent lions and tigers.	false	0.6	0.84	-20
272_130227_000005_000003	I advised her to keep away from the tree.	I advised her to keep away from the tree.	false	0.84	0.9	3
272_130227_000005_000004	She said she wouldn't.	She said she wouldn't.	false	0.9	0.93	-20
272_130227_000005_000005	I foresee trouble.	I foresee trouble.	false	0.93	0.96	-20
272_130227_000005_000006	Will emigrate.	Will emigrate.	false	0.96	0.975	-20
272_130227_000006_000000	Wednesday	Wednesday	true	0.975	1.84	23.215357
272_130227_000007_000000	I have had a variegated time.	I have had a variegated time.	true	2.15	4.27	21.29162
272_130227_000007_000001	I escaped that night, and rode a horse all night as fast as he could go, hoping to get clear out of the Park and hide in some other country before the trouble should begin; but it was not to be.	I escaped that night, and rode a horse all night as fast as he could go, hoping to get clear out of the Park and hide in some other country before the trouble should begin; but it was not to be.	true	4.58	14.77	22
