637_127595_000000_000000	The intricacy of these dialects is another peculiarity.	The intricacy of these dialects is another peculiarity.	false	0	3	12.708208
637_127595_000000_000001	In the Missionary College at Lahainaluna, on Mowee, one of the Sandwich Islands, I saw a tabular exhibition of a Hawiian verb, conjugated through all its moods and tenses.	In the Missionary College at Lahainaluna, on Mowee, one of the Sandwich Islands, I saw a tabular exhibition of a Hawiian verb, conjugated through all its moods and tenses.	false	3	10.47	24.148092
637_127595_000000_000002	It covered the side of a considerable apartment, and I doubt whether Sir William Jones himself would not have despaired of mastering it.	It covered the side of a considerable apartment, and I doubt whether Sir William Jones himself would not have despaired of mastering it.	false	10.47	19.02	23.91814
637_127595_000001_000000	CHAPTER THIRTY-ONE	CHAPTER THIRTY ONE	true	19.02	20.19	20.350582
637_127595_000002_000000	STRANGE CUSTOM OF THE ISLANDERS--THEIR CHANTING, AND THE PECULIARITY OF THEIR VOICE--RAPTURE OF THE KING AT FIRST HEARING A SONG--A NEW DIGNITY CONFERRED ON THE AUTHOR--MUSICAL INSTRUMENTS IN THE VALLEY--ADMIRATION OF THE SAVAGES AT BEHOLDING A PUGILISTIC PERFORMANCE--SWIMMING INFANT--BEAUTIFUL TRESSES OF THE GIRLS--OINTMENT FOR THE HAIR	STRANGE CUSTOM OF THE ISLANDERS-THEIR CHANTING, AND THE PECULIARITY OF THEIR VOICE-RAPTURE OF THE KING AT FIRST HEARING A SONG-A NEW DIGNITY CONFERRED ON THE AUTHOR-MUSICAL INSTRUMENTS IN THE VALLEY-ADMIRATION OF THE SAVAGES AT BEHOLDING A PUGILISTIC PERFORMANCE-SWIMMING INFANT-BEAUTIFUL TRESSES OF THE GIRLS-OINTMENT FOR THE HAIR	false	20.19	22.29	-20
637_127595_000003_000000	SADLY discursive as I have already been, I must still further entreat the reader's patience, as I am about to string together, without any attempt at order, a few odds and ends of things not hitherto mentioned, but which are either curious in themselves or peculiar to the Typees.	SADLY discursive as I have already been, I must still further entreat the reader's patience, as I am about to string together, without any attempt at order, a few odds and ends of things not hitherto mentioned, but which are either curious in themselves or peculiar to the Typees.	true	22.29	39.04	22.414648
637_127595_000004_000000	There was one singular custom observed in old Marheyo's domestic establishment, which often excited my surprise.	There was one singular custom observed in old Marheyo's domestic establishment, which often excited my surprise.	true	40.16	47.23	23.776205
637_127595_000004_000001	Every night, before retiring, the inmates of the house gathered together on the mats, and so squatting upon their haunches, after the universal practice of these islanders, would commence a low, dismal and monotonous chant, accompanying the voice with the instrumental melody produced by two small half-rotten sticks tapped slowly together, a pair of which were held in the hands of each person present.	Every night, before retiring, the inmates of the house gathered together on the mats, and so squatting upon their haunches, after the universal practice of these islanders, would commence a low, dismal and monotonous chant, accompanying the voice with the instrumental melody produced by two small half rotten sticks tapped slowly together, a pair of which were held in the hands of each person present.	false	48.02	72.52	22.98194
637_127595_000004_000002	Thus would they employ themselves for an hour or two, sometimes longer.	Thus would they employ themselves for an hour or two, sometimes longer.	false	73.28	77.5	21.748665
637_127595_000004_000003	Lying in the gloom which wrapped the further end of the house, I could not avoid looking at them, although the spectacle suggested nothing but unpleasant reflection.	Lying in the gloom which wrapped the further end of the house, I could not avoid looking at them, although the spectacle suggested nothing but unpleasant reflection.	false	78.23	87.66	22.952541
637_127595_000004_000004	The flickering rays of the 'armor' nut just served to reveal their savage lineaments, without dispelling the darkness that hovered about them.	The flickering rays of the 'armor' nut just served to reveal their savage lineaments, without dispelling the darkness that hovered about them.	false	87.66	95.83	22.339682
637_127595_000005_000000	Sometimes when, after falling into a kind of doze, and awaking suddenly in the midst of these doleful chantings, my eye would fall upon the wild-looking group engaged in their strange occupation, with their naked tattooed limbs, and shaven heads disposed in a circle, I was almost tempted to believe that I gazed upon a set of evil beings in the act of working at a frightful incantation.	Sometimes when, after falling into a kind of doze, and awaking suddenly in the midst of these doleful chantings, my eye would fall upon the wild looking group engaged in their strange occupation, with their naked tattooed limbs, and shaven heads disposed in a circle, I was almost tempted to believe that I gazed upon a set of evil beings in the act of working at a frightful incantation.	false	96.92	120.16	21.422243
637_127595_000006_000000	What was the meaning or purpose of this custom, whether it was practiced merely as a diversion, or whether it was a religious exercise, a sort of family prayers, I never could discover.	What was the meaning or purpose of this custom, whether it was practiced merely as a diversion, or whether it was a religious exercise, a sort of family prayers, I never could discover.	true	121.61	132.49	23.194174
637_127595_000007_000000	The sounds produced by the natives on these occasions were of a most singular description; and had I not actually been present, I never would have believed that such curious noises could have been produced by human beings.	The sounds produced by the natives on these occasions were of a most singular description; and had I not actually been present, I never would have believed that such curious noises could have been produced by human beings.	true	133.79	146.5	21.360916
637_127595_000008_000000	To savages generally is imputed a guttural articulation.	To savages generally is imputed a guttural articulation.	true	147.74	151.6	23.061699
637_127595_000008_000001	This however, is not always the case, especially among the inhabitants of the Polynesian Archipelago.	This however, is not always the case, especially among the inhabitants of the Polynesian Archipelago.	true	152.15	157.15	19
637_127595_000008_000002	The labial melody with which the Typee girls carry on an ordinary conversation, giving a musical prolongation to the final syllable of every sentence, and chirping out some of the words with a liquid, bird-like accent, was singularly pleasing.	The labial melody with which the Typee girls carry on an ordinary conversation, giving a musical prolongation to the final syllable of every sentence, and chirping out some of the words with a liquid, bird like accent, was singularly pleasing.	true	157.85	174.22	22.325583
637_127595_000009_000000	The men however, are not quite so harmonious in their utterance, and when excited upon any subject, would work themselves up into a sort of wordy paroxysm, during which all descriptions of rough-sided sounds were projected from their mouths, with a force and rapidity which was absolutely astonishing.	The men however, are not quite so harmonious in their utterance, and when excited upon any subject, would work themselves up into a sort of wordy paroxysm, during which all descriptions of rough sided sounds were projected from their mouths, with a force and rapidity which was absolutely astonishing.	true	175.25	192.84	21.825184
637_127595_000010_000000	. . . . . . . .	dot dot dot dot dot dot dot dot	false	192.84	194.97	-20
637_127595_000011_000000	Although these savages are remarkably fond of chanting, still they appear to have no idea whatever of singing, at least as the art is practised in other nations.	Although these savages are remarkably fond of chanting, still they appear to have no idea whatever of singing, at least as the art is practised in other nations.	false	194.97	204.22	21.483627
637_127595_000012_000000	I shall never forget the first time I happened to roar out a stave in the presence of noble Mehevi.	I shall never forget the first time I happened to roar out a stave in the presence of noble Mehevi.	false	205.25	210.52	20
637_127595_000012_000001	It was a stanza from the 'Bavarian broom-seller'.	It was a stanza from the 'Bavarian broom seller'.	true	211.13	214.21	20.732296
637_127595_000012_000002	His Typeean majesty, with all his court, gazed upon me in amazement, as if I had displayed some preternatural faculty which Heaven had denied to them.	His Typeean majesty, with all his court, gazed upon me in amazement, as if I had displayed some preternatural faculty which Heaven had denied to them.	true	214.52	224.5	22.140015
637_127595_000012_000003	The King was delighted with the verse; but the chorus fairly transported him.	The King was delighted with the verse; but the chorus fairly transported him.	true	225.14	229.96	23.963322
637_127595_000012_000004	At his solicitation I sang it again and again, and nothing could be more ludicrous than his vain attempts to catch the air and the words.	At his solicitation I sang it again and again, and nothing could be more ludicrous than his vain attempts to catch the air and the words.	true	230.6	238.39	21
637_127595_000012_000005	The royal savage seemed to think that by screwing all the features of his face into the end of his nose he might possibly succeed in the undertaking, but it failed to answer the purpose; and in the end he gave it up, and consoled himself by listening to my repetition of the sounds fifty times over.	The royal savage seemed to think that by screwing all the features of his face into the end of his nose he might possibly succeed in the undertaking, but it failed to answer the purpose; and in the end he gave it up, and consoled himself by listening to my repetition of the sounds fifty times over.	true	239	255.94	21.638605
637_127595_000013_000000	Previous to Mehevi's making the discovery, I had never been aware that there was anything of the nightingale about me; but I was now promoted to the place of court-minstrel, in which capacity I was afterwards perpetually called upon to officiate.	Previous to Mehevi's making the discovery, I had never been aware that there was anything of the nightingale about me; but I was now promoted to the place of court minstrel, in which capacity I was afterwards perpetually called upon to officiate.	false	257.06	271.41	22.372076
