637_127595_000001_000000	CHAPTER THIRTY-ONE	CHAPTER THIRTY ONE
637_127595_000003_000000	SADLY discursive as I have already been, I must still further entreat the reader's patience, as I am about to string together, without any attempt at order, a few odds and ends of things not hitherto mentioned, but which are either curious in themselves or peculiar to the Typees.	SADLY discursive as I have already been, I must still further entreat the reader's patience, as I am about to string together, without any attempt at order, a few odds and ends of things not hitherto mentioned, but which are either curious in themselves or peculiar to the Typees.
637_127595_000004_000000	There was one singular custom observed in old Marheyo's domestic establishment, which often excited my surprise.	There was one singular custom observed in old Marheyo's domestic establishment, which often excited my surprise.
637_127595_000006_000000	What was the meaning or purpose of this custom, whether it was practiced merely as a diversion, or whether it was a religious exercise, a sort of family prayers, I never could discover.	What was the meaning or purpose of this custom, whether it was practiced merely as a diversion, or whether it was a religious exercise, a sort of family prayers, I never could discover.
637_127595_000007_000000	The sounds produced by the natives on these occasions were of a most singular description; and had I not actually been present, I never would have believed that such curious noises could have been produced by human beings.	The sounds produced by the natives on these occasions were of a most singular description; and had I not actually been present, I never would have believed that such curious noises could have been produced by human beings.
637_127595_000008_000000	To savages generally is imputed a guttural articulation.	To savages generally is imputed a guttural articulation.
637_127595_000008_000002	The labial melody with which the Typee girls carry on an ordinary conversation, giving a musical prolongation to the final syllable of every sentence, and chirping out some of the words with a liquid, bird-like accent, was singularly pleasing.	The labial melody with which the Typee girls carry on an ordinary conversation, giving a musical prolongation to the final syllable of every sentence, and chirping out some of the words with a liquid, bird like accent, was singularly pleasing.
637_127595_000009_000000	The men however, are not quite so harmonious in their utterance, and when excited upon any subject, would work themselves up into a sort of wordy paroxysm, during which all descriptions of rough-sided sounds were projected from their mouths, with a force and rapidity which was absolutely astonishing.	The men however, are not quite so harmonious in their utterance, and when excited upon any subject, would work themselves up into a sort of wordy paroxysm, during which all descriptions of rough sided sounds were projected from their mouths, with a force and rapidity which was absolutely astonishing.
637_127595_000012_000001	It was a stanza from the 'Bavarian broom-seller'.	It was a stanza from the 'Bavarian broom seller'.
637_127595_000012_000002	His Typeean majesty, with all his court, gazed upon me in amazement, as if I had displayed some preternatural faculty which Heaven had denied to them.	His Typeean majesty, with all his court, gazed upon me in amazement, as if I had displayed some preternatural faculty which Heaven had denied to them.
637_127595_000012_000003	The King was delighted with the verse; but the chorus fairly transported him.	The King was delighted with the verse; but the chorus fairly transported him.
637_127595_000012_000004	At his solicitation I sang it again and again, and nothing could be more ludicrous than his vain attempts to catch the air and the words.	At his solicitation I sang it again and again, and nothing could be more ludicrous than his vain attempts to catch the air and the words.
637_127595_000012_000005	The royal savage seemed to think that by screwing all the features of his face into the end of his nose he might possibly succeed in the undertaking, but it failed to answer the purpose; and in the end he gave it up, and consoled himself by listening to my repetition of the sounds fifty times over.	The royal savage seemed to think that by screwing all the features of his face into the end of his nose he might possibly succeed in the undertaking, but it failed to answer the purpose; and in the end he gave it up, and consoled himself by listening to my repetition of the sounds fifty times over.
637_127595_000015_000000	Besides the sticks and the drums, there are no other musical instruments among the Typees, except one which might appropriately be denominated a nasal flute.	Besides the sticks and the drums, there are no other musical instruments among the Typees, except one which might appropriately be denominated a nasal flute.
637_127595_000015_000002	The other nostril being closed by a peculiar movement of the muscles about the nose, the breath is forced into the tube, and produces a soft dulcet sound which is varied by the fingers running at random over the stops.	The other nostril being closed by a peculiar movement of the muscles about the nose, the breath is forced into the tube, and produces a soft dulcet sound which is varied by the fingers running at random over the stops.
637_127595_000015_000003	This is a favourite recreation with the females and one in which Fayaway greatly excelled.	This is a favourite recreation with the females and one in which Fayaway greatly excelled.
637_127595_000015_000004	Awkward as such an instrument may appear, it was, in Fayaway's delicate little hands, one of the most graceful I have ever seen.	Awkward as such an instrument may appear, it was, in Fayaway's delicate little hands, one of the most graceful I have ever seen.
