1748_1562_000000_000000	CHAPTER III	CHAPTER three
1748_1562_000002_000001	I seemed to be advancing towards a second midnight.	I seemed to be advancing towards a second midnight.
1748_1562_000002_000002	In the midst of the intervening twilight, however, before I entered what appeared to be the darkest portion of the forest, I saw a country maiden coming towards me from its very depths.	In the midst of the intervening twilight, however, before I entered what appeared to be the darkest portion of the forest, I saw a country maiden coming towards me from its very depths.
1748_1562_000002_000004	I could hardly see her face; for, though she came direct towards me, she never looked up.	I could hardly see her face; for, though she came direct towards me, she never looked up.
1748_1562_000002_000005	But when we met, instead of passing, she turned and walked alongside of me for a few yards, still keeping her face downwards, and busied with her flowers. She spoke rapidly, however, all the time, in a low tone, as if talking to herself, but evidently addressing the purport of her words to me.	But when we met, instead of passing, she turned and walked alongside of me for a few yards, still keeping her face downwards, and busied with her flowers. She spoke rapidly, however, all the time, in a low tone, as if talking to herself, but evidently addressing the purport of her words to me.
1748_1562_000003_000001	"Trust the Oak," said she; "trust the Oak, and the Elm, and the great Beech.	"Trust the Oak," said she; "trust the Oak, and the Elm, and the great Beech.
1748_1562_000003_000002	Take care of the Birch, for though she is honest, she is too young not to be changeable.	Take care of the Birch, for though she is honest, she is too young not to be changeable.
1748_1562_000003_000004	Then she turned suddenly and left me, walking still with the same unchanging gait.	Then she turned suddenly and left me, walking still with the same unchanging gait.
1748_1562_000003_000005	I could not conjecture what she meant, but satisfied myself with thinking that it would be time enough to find out her meaning when there was need to make use of her warning, and that the occasion would reveal the admonition.	I could not conjecture what she meant, but satisfied myself with thinking that it would be time enough to find out her meaning when there was need to make use of her warning, and that the occasion would reveal the admonition.
1748_1562_000003_000006	I concluded from the flowers that she carried, that the forest could not be everywhere so dense as it appeared from where I was now walking; and I was right in this conclusion.	I concluded from the flowers that she carried, that the forest could not be everywhere so dense as it appeared from where I was now walking; and I was right in this conclusion.
1748_1562_000003_000008	But even here I was struck with the utter stillness.	But even here I was struck with the utter stillness.
1748_1562_000003_000010	No insect hummed.	No insect hummed.
1748_1562_000003_000012	Yet somehow the whole environment seemed only asleep, and to wear even in sleep an air of expectation.	Yet somehow the whole environment seemed only asleep, and to wear even in sleep an air of expectation.
