240_144999_000000_000000	So far as we are aware, Pittsburgh is the first city to create the office of City Ornithologist.	So far as we are aware, Pittsburgh is the first city to create the office of City Ornithologist.	false	0	6.39	16
240_144999_000000_000001	It is a happy thought; it will yield good results, and other cities will follow Pittsburgh's good example.	It is a happy thought; it will yield good results, and other cities will follow Pittsburgh's good example.	false	6.39	19.56	19.789125
240_144999_000001_000000	CHAPTER XLII	CHAPTER forty two	true	19.56	20.77	17
240_144999_000002_000000	THE ETHICS OF SPORTSMANSHIP	THE ETHICS OF SPORTSMANSHIP	true	20.99	23.02	17.552744
240_144999_000003_000000	I count it as rather strange that American and English sportsmen have hunted and shot for a century, and until 1908 formulated practically nothing to establish and define the ethics of shooting game.	I count it as rather strange that American and English sportsmen have hunted and shot for a century, and until nineteen o eight formulated practically nothing to establish and define the ethics of shooting game.	true	24.47	36.79	15
240_144999_000003_000001	Here and there, a few unwritten principles have been evolved, and have become fixed by common consent; but the total number of these is very few. Perhaps this has been for the reason that every free and independent sportsman prefers to be a law unto himself.	Here and there, a few unwritten principles have been evolved, and have become fixed by common consent; but the total number of these is very few. Perhaps this has been for the reason that every free and independent sportsman prefers to be a law unto himself.	false	37.34	51.97	20.284595
240_144999_000003_000002	Is it not doubly strange, however, that even down to the present year the term "sportsmen" never has been defined by a sportsman!	Is it not doubly strange, however, that even down to the present year the term "sportsmen" never has been defined by a sportsman!	false	52.04	61.21	14
240_144999_000004_000000	Forty years ago, a sportsman might have been defined, according to the standards of that period, as a man who hunts wild game for pleasure. Those were the days wherein no one foresaw the wholesale annihilation of species, and there were no wilderness game preserves.	Forty years ago, a sportsman might have been defined, according to the standards of that period, as a man who hunts wild game for pleasure. Those were the days wherein no one foresaw the wholesale annihilation of species, and there were no wilderness game preserves.	false	63.32	79.89	15
240_144999_000004_000001	In those days, gentlemen shot female hoofed game, trapped bears if they felt like it, killed ten times as much big game as they could use, and no one made any fuss whatever about the waste or extermination of wild life.	In those days, gentlemen shot female hoofed game, trapped bears if they felt like it, killed ten times as much big game as they could use, and no one made any fuss whatever about the waste or extermination of wild life.	true	79.89	94.66	16
240_144999_000005_000000	Those were the days of ox-teams and broad-axes.	Those were the days of ox teams and broad axes.	true	95.69	98.95	16
240_144999_000005_000001	To-day, we are living in a totally different world,--a world of grinding, crunching, pulverizing progress, a world of annihilation of the works of Nature.	To day, we are living in a totally different world,--a world of grinding, crunching, pulverizing progress, a world of annihilation of the works of Nature.	true	99.11	108.67	15
240_144999_000005_000002	And what is a sportsman to-day?	And what is a sportsman to day?	true	108.92	111.25	20.611298
240_144999_000006_000000	A SPORTSMAN is a man who loves Nature, and who in the enjoyment of the outdoor life and exploration takes a reasonable toll of Nature's wild animals, but not for commercial profit, and only so long as his hunting does not promote the extermination of species.	A SPORTSMAN is a man who loves Nature, and who in the enjoyment of the outdoor life and exploration takes a reasonable toll of Nature's wild animals, but not for commercial profit, and only so long as his hunting does not promote the extermination of species.	true	111.47	127.72	18
240_144999_000007_000000	In view of the disappearance of wild life all over the habitable globe, and the steady extermination of species, the ethics of sportsmanship has become a matter of tremendous importance.	In view of the disappearance of wild life all over the habitable globe, and the steady extermination of species, the ethics of sportsmanship has become a matter of tremendous importance.	true	129.59	140.71	18
