7991_102381_000004_000005	I ask my friend to read some extracts from the decision.	I ask my friend to read some extracts from the decision.
7991_102381_000006_000000	"The Territory being a part of the United States, the Government and the citizen both enter it under the authority of the Constitution, with their respective rights defined and marked out; and the Federal Government can exercise no power over his person or property beyond what that instrument confers, nor lawfully deny any right which it has reserved....	"The Territory being a part of the United States, the Government and the citizen both enter it under the authority of the Constitution, with their respective rights defined and marked out; and the Federal Government can exercise no power over his person or property beyond what that instrument confers, nor lawfully deny any right which it has reserved....
7991_102381_000007_000000	"The powers over person and property, of which we speak, are not only not granted to Congress, but are in express terms denied, and they are forbidden to exercise them.	"The powers over person and property, of which we speak, are not only not granted to Congress, but are in express terms denied, and they are forbidden to exercise them.
7991_102381_000007_000001	And this prohibition is not confined to the States, but the words are general, and extend to the whole territory over which the Constitution gives it power to legislate, including those portions of it remaining under territorial government, as well as that covered by States.	And this prohibition is not confined to the States, but the words are general, and extend to the whole territory over which the Constitution gives it power to legislate, including those portions of it remaining under territorial government, as well as that covered by States.
7991_102381_000007_000003	And if Congress itself can not do this--if it is beyond the powers conferred on the Federal Government--it will be admitted, we presume, that it could not authorize a territorial government to exercise them.	And if Congress itself can not do this-if it is beyond the powers conferred on the Federal Government-it will be admitted, we presume, that it could not authorize a territorial government to exercise them.
7991_102381_000009_000000	"This is done in plain words--too plain to be misunderstood.	"This is done in plain words-too plain to be misunderstood.
7991_102381_000009_000002	The only power conferred is the power coupled with the duty of guarding and protecting the owner in his rights.	The only power conferred is the power coupled with the duty of guarding and protecting the owner in his rights.
7991_102381_000011_000002	It was obligatory on those who selected the umpire and agreed to abide by the award.	It was obligatory on those who selected the umpire and agreed to abide by the award.
7991_102381_000012_000002	In 1848 it made its appearance for good purposes.	In eighteen forty eight it made its appearance for good purposes.
7991_102381_000012_000003	It was ushered in by a great and good man.	It was ushered in by a great and good man.
7991_102381_000012_000007	I thought it a fallacy which would surely be exploded. I doubted then, and still more for some time afterward, when held to a dread responsibility for the position which I occupied.	I thought it a fallacy which would surely be exploded. I doubted then, and still more for some time afterward, when held to a dread responsibility for the position which I occupied.
7991_102381_000012_000013	This was the first fruit.	This was the first fruit.
7991_102381_000012_000014	More deadly than the fatal upas, its effect was not limited to the mere spot of ground on which the dew fell from its leaves, but it spread throughout the United States; it kindled all which had been collected for years of inflammable material.	More deadly than the fatal upas, its effect was not limited to the mere spot of ground on which the dew fell from its leaves, but it spread throughout the United States; it kindled all which had been collected for years of inflammable material.
7991_102381_000012_000015	It was owing to the strength of our Government and the good sense of the quiet masses of the people that it did not wrap our country in one widespread conflagration.	It was owing to the strength of our Government and the good sense of the quiet masses of the people that it did not wrap our country in one widespread conflagration.
7991_102381_000014_000001	Can this be a definition of sovereignty?	Can this be a definition of sovereignty?
7991_102381_000015_000001	This is confounding the whole theory and the history of our Government.	This is confounding the whole theory and the history of our Government.
7991_102381_000015_000002	The States were the grantors; they made the compact; they gave the Federal agent its powers; they inhibited themselves from doing certain things, and all else they retained to themselves.	The States were the grantors; they made the compact; they gave the Federal agent its powers; they inhibited themselves from doing certain things, and all else they retained to themselves.
