7868_246932_000000_000000	CHAPTER XI.	CHAPTER eleven.	false	0.48	13.875	24.08884
7868_246932_000001_000000	THE SHEATH.	THE SHEATH.	true	13.875	14.98	22.85459
7868_246932_000002_000000	"Mr. Wingfold," said Polwarth one evening, the usual salutations over, taking what he commonly left to his friend--the initiative,--"I want to tell you something I don't wish even Rachel to hear."	"mr Wingfold," said Polwarth one evening, the usual salutations over, taking what he commonly left to his friend-the initiative,--"I want to tell you something I don't wish even Rachel to hear."	false	15.95	28.06	23.020084
7868_246932_000003_000000	He led the way to his room, and the curate followed.	He led the way to his room, and the curate followed.	true	28.85	31.75	26.63959
7868_246932_000003_000001	Seated there, in the shadowy old attic, through the very walls of which the ivy grew, and into which, by the open window in the gable, from the infinite west, blew the evening air, carrying with it the precious scent of honeysuckle, to mingle with that of old books, Polwarth recounted and Wingfold listened to a strange adventure.	Seated there, in the shadowy old attic, through the very walls of which the ivy grew, and into which, by the open window in the gable, from the infinite west, blew the evening air, carrying with it the precious scent of honeysuckle, to mingle with that of old books, Polwarth recounted and Wingfold listened to a strange adventure.	true	31.91	53.29	22.884705
7868_246932_000003_000002	The trees hid the sky, and the little human nest was dark around them.	The trees hid the sky, and the little human nest was dark around them.	true	53.75	58.12	23.962437
7868_246932_000004_000000	"I am going to make a confidant of you, Mr. Wingfold," said the dwarf, with troubled face, and almost whispered word.	"I am going to make a confidant of you, mr Wingfold," said the dwarf, with troubled face, and almost whispered word.	true	58.55	66.25	24.621414
7868_246932_000004_000001	"You will know how much I have already learned to trust you when I say that what I am about to confide to you plainly involves the secret of another."	"You will know how much I have already learned to trust you when I say that what I am about to confide to you plainly involves the secret of another."	true	66.56	74.38	22.454672
7868_246932_000005_000000	His large face grew paler as he spoke, and something almost like fear grew in his eyes, but they looked straight into those of the curate, and his voice did not tremble.	His large face grew paler as he spoke, and something almost like fear grew in his eyes, but they looked straight into those of the curate, and his voice did not tremble.	true	75.02	85.81	21.989063
7868_246932_000006_000000	"One night, some weeks ago--I can, if necessary, make myself certain of the date,--I was--no uncommon thing with me--unable to sleep.	"One night, some weeks ago-I can, if necessary, make myself certain of the date,--I was-no uncommon thing with me-unable to sleep.	true	86.66	97.15	21.882736
7868_246932_000006_000001	Sometimes, when such is my case, I lie as still and happy as any bird under the wing of its mother; at other times I must get up and go out, for I take longings for air almost as a drunkard for wine, and that night nothing would serve my poor prisoned soul but more air through the bars of its lungs.	Sometimes, when such is my case, I lie as still and happy as any bird under the wing of its mother; at other times I must get up and go out, for I take longings for air almost as a drunkard for wine, and that night nothing would serve my poor prisoned soul but more air through the bars of its lungs.	false	97.49	117.67	22.73155
7868_246932_000006_000002	I rose, dressed, and went out.	I rose, dressed, and went out.	true	117.95	120.61	21.71566
7868_246932_000007_000000	"It was a still, warm night, no moon, but plenty of star-light, the wind blowing as now, gentle and sweet and cool--just the wind my lungs sighed for.	"It was a still, warm night, no moon, but plenty of star light, the wind blowing as now, gentle and sweet and cool-just the wind my lungs sighed for.	true	121.28	132.6	22.291542
7868_246932_000007_000001	I got into the open park, avoiding the trees, and wandered on and on, without thinking where I was going.	I got into the open park, avoiding the trees, and wandered on and on, without thinking where I was going.	true	132.6	138.97	23.016523
7868_246932_000007_000002	The turf was soft under my feet, the dusk soft to my eyes, and the wind to my soul; I had breath and room and leisure and silence and loneliness, and everything to make me more than usually happy; and so I wandered on and on, neither caring nor looking whither I went: so long as the stars remained unclouded, I could find my way back when I pleased.	The turf was soft under my feet, the dusk soft to my eyes, and the wind to my soul; I had breath and room and leisure and silence and loneliness, and everything to make me more than usually happy; and so I wandered on and on, neither caring nor looking whither I went: so long as the stars remained unclouded, I could find my way back when I pleased.	true	139.46	164.95	23.089922
7868_246932_000008_000000	"I had been out perhaps an hour, when through the soft air came a cry, apparently from far off.	"I had been out perhaps an hour, when through the soft air came a cry, apparently from far off.	true	165.32	172.3	24.049059
7868_246932_000008_000001	There was something in the tone that seemed to me unusually frightful.	There was something in the tone that seemed to me unusually frightful.	true	172.55	176.2	22.766665
7868_246932_000008_000002	The bare sound made me shudder before I had time to say to myself it was a cry.	The bare sound made me shudder before I had time to say to myself it was a cry.	true	176.63	182.05	21.673185
7868_246932_000008_000003	I turned my face in the direction of it, so far as I could judge, and went on.	I turned my face in the direction of it, so far as I could judge, and went on.	true	182.48	186.58	23.479208
7868_246932_000008_000004	I cannot run, for, if I attempt it, I am in a moment unable even to walk--from palpitation and choking.	I cannot run, for, if I attempt it, I am in a moment unable even to walk-from palpitation and choking.	true	186.89	194.26	23.17306
7868_246932_000009_000000	"I had not gone very far before I found myself approaching the hollow where stands the old house of Glaston, uninhabited for twenty years. Was it possible, I thought, that the cry came from the house, and had therefore sounded farther off than it was?	"I had not gone very far before I found myself approaching the hollow where stands the old house of Glaston, uninhabited for twenty years. Was it possible, I thought, that the cry came from the house, and had therefore sounded farther off than it was?	false	195.02	210.67	22.908522
