8545_273050_000000_000000	Ruth left Tony shaking his head and muttering angrily as he pursued his occupation.	ruth left Tony shaking his head and muttering angrily as he pursued his occupation.	false	3.93	11.085	17.209547
8545_273050_000000_000001	Ruth found herself deeply interested in the mystery of the campus; but if she had actually solved the problem of the sounding of the harp at midnight, the reason for the happening, and what really brought that remarkable manifestation about, was as deep a puzzle to her as before.	ruth found herself deeply interested in the mystery of the campus; but if she had actually solved the problem of the sounding of the harp at midnight, the reason for the happening, and what really brought that remarkable manifestation about, was as deep a puzzle to her as before.	false	11.085	34.98	16.416006
8545_273050_000001_000000	CHAPTER XIII	CHAPTER thirteen	true	34.98	36.28	15.34459
8545_273050_000002_000000	BEGINNINGS	BEGINNINGS	true	36.65	37.75	16.341208
8545_273050_000003_000000	Youth adapts itself easily and naturally to all change.	Youth adapts itself easily and naturally to all change.	true	39.47	44.92	15
8545_273050_000003_000001	Ruth Fielding and her chum, before that second evening at Briarwood Hall drew in, felt as though they had known the place for months and some of the girls all their lives.	ruth Fielding and her chum, before that second evening at Briarwood Hall drew in, felt as though they had known the place for months and some of the girls all their lives.	true	45.35	59.29	17
8545_273050_000003_000002	It was thus the most natural thing in the world to assemble at meals when the school-bell tapped its summons, to stand while the grace was being said, to chatter and laugh with those at the table at which they sat, to speak and laugh with the waitresses, and with old Tony Foyle, and with Miss Scrimp, the matron of their house, and to bow respectfully to Miss Picolet, Miss Kennedy, the English teacher; Miss O'Hara, before whom Ruth and Helen would come in mathematics, and the other teachers as they learned their names.	It was thus the most natural thing in the world to assemble at meals when the school bell tapped its summons, to stand while the grace was being said, to chatter and laugh with those at the table at which they sat, to speak and laugh with the waitresses, and with old Tony Foyle, and with Miss Scrimp, the matron of their house, and to bow respectfully to Miss Picolet, Miss Kennedy, the English teacher; Miss O'Hara, before whom ruth and Helen would come in mathematics, and the other teachers as they learned their names.	true	59.87	103.24	18.87062
8545_273050_000004_000000	Dr. Tellingham, although affording some little amusement for the pupils because of his personal peculiarities, was really considered by the girls in general a deeply learned man, and when he chanced to trot by a group of the students on the campus, in his stoop-shouldered, purblind way, their voices became hushed and they looked after him as though he really was all he pretended to be--or all he thought he was.	dr Tellingham, although affording some little amusement for the pupils because of his personal peculiarities, was really considered by the girls in general a deeply learned man, and when he chanced to trot by a group of the students on the campus, in his stoop shouldered, purblind way, their voices became hushed and they looked after him as though he really was all he pretended to be-or all he thought he was.	false	103.58	139.3	18.31097
8545_273050_000004_000001	He delved in histories--ate, slept, and seemed to draw the breath of his nostrils from histories.	He delved in histories-ate, slept, and seemed to draw the breath of his nostrils from histories.	true	140.18	149.02	19.998549
8545_273050_000004_000002	That the pamphlets and books he wrote were of trivial importance, and seldom if ever saw the light of print, was not made manifest to the Briarwood girls in general.	That the pamphlets and books he wrote were of trivial importance, and seldom if ever saw the light of print, was not made manifest to the Briarwood girls in general.	true	149.63	160.81	17
8545_273050_000005_000000	Ruth and Helen were not unpopular from the start.	ruth and Helen were not unpopular from the start.	true	161.96	166.03	18.08346
8545_273050_000005_000001	Helen was so pretty and so vivacious, that she was bound to gather around her almost at once those girls who were the more easily attracted by such a nature; while for Ruth's part, the little Primes found that she was both kind and loving.	Helen was so pretty and so vivacious, that she was bound to gather around her almost at once those girls who were the more easily attracted by such a nature; while for Ruth's part, the little Primes found that she was both kind and loving.	false	166.58	186.43	18.888412
8545_273050_000005_000002	She did not snub the smaller girls who came to her for any help, and before this day was over (which was Friday) they began to steal into the chums' duet, in twos and threes, to talk with Ruth Fielding.	She did not snub the smaller girls who came to her for any help, and before this day was over (which was Friday) they began to steal into the chums' duet, in twos and threes, to talk with ruth Fielding.	true	186.77	203.17	19.612722
8545_273050_000005_000003	It had been so at the school near the Red Mill, and Ruth was glad the little folk took to her.	It had been so at the school near the Red Mill, and ruth was glad the little folk took to her.	true	203.93	210.97	18.752352
8545_273050_000006_000000	Late in the afternoon the two friends from Cheslow went out to the main entrance of the grounds to meet Old Dolliver's stage from Seven Oaks. It had been noised abroad that a whole _nursery_ of Infants was expected by that conveyance, and Mary Cox and Madge Steele, each with her respective committee, were in waiting to greet the new-comers on behalf of their separate societies.	Late in the afternoon the two friends from Cheslow went out to the main entrance of the grounds to meet Old Dolliver's stage from Seven Oaks. It had been noised abroad that a whole underscore nursery underscore of Infants was expected by that conveyance, and Mary Cox and Madge Steele, each with her respective committee, were in waiting to greet the new comers on behalf of their separate societies.	false	211.73	244.03	19.889015
8545_273050_000007_000000	"And we'll welcome them as fellow-infants," whispered Ruth to Helen. "Let's hold a reception in our room this evening to all the newcomers. What say, Helen?"	"And we'll welcome them as fellow infants," whispered ruth to Helen. "Let's hold a reception in our room this evening to all the newcomers. What say, Helen?"	true	245.54	258.52	17.41202
8545_273050_000008_000000	Her chum was a little doubtful as to the wisdom of this course.	Her chum was a little doubtful as to the wisdom of this course.	true	259.85	264.28	16.978384
8545_273050_000008_000001	She did not like to offend their friends in the Upedes.	She did not like to offend their friends in the Upedes.	false	264.5	268.86	18.543333
8545_273050_000008_000002	Yet the suggestion attracted Helen, too.	Yet the suggestion attracted Helen, too.	true	268.86	273.22	21.447369
8545_273050_000009_000000	"I suppose if we freshmen stick together we'll have a better time, after all," she agreed.	"I suppose if we freshmen stick together we'll have a better time, after all," she agreed.	true	273.86	280.3	19
8545_273050_000010_000000	As the time for the appearance of the stage drew near, approximately half the school was gathered to see the Infants disembark from Old Dolliver's Ark.	As the time for the appearance of the stage drew near, approximately half the school was gathered to see the Infants disembark from Old Dolliver's Ark.	false	281.66	294.52	19.261253
8545_273050_000010_000001	Mary Cox arranged her Upedes on one side of the path and they began to sing:	Mary Cox arranged her Upedes on one side of the path and they began to sing:	false	294.83	300.52	16.4879
8545_273050_000011_000000	"Uncle Noah, he drove an Ark-- One wide river to cross! He made a landing at Briarwood Park-- One wide river to cross! One wide river! One wide river of Jordan! One wide river! One wide river to cross!"	"Uncle Noah, he drove an Ark- One wide river to cross! He made a landing at Briarwood Park- One wide river to cross! One wide river! One wide river of Jordan! One wide river! One wide river to cross!"	false	300.89	325.15	18
8545_273050_000012_000000	Old Dolliver, all one wide grin and flapping duster, drove his bony horses to the stopping place with a flourish.	Old Dolliver, all one wide grin and flapping duster, drove his bony horses to the stopping place with a flourish.	true	326.06	336.49	19.86793
8545_273050_000013_000000	"Here we be!" he croaked.	"Here we be!" he croaked.	true	337.25	340.24	22.055752
8545_273050_000013_000001	"The old craft is jest a-bulgin' over with Infants."	"The old craft is jest a bulgin' over with Infants."	true	340.28	345.01	19
8545_273050_000014_000000	Mary Cox pulled open the door and the first newcomer popped out as though she had been clinging to the handle when The Fox made the movement.	Mary Cox pulled open the door and the first newcomer popped out as though she had been clinging to the handle when The Fox made the movement.	true	346.43	356.02	21
8545_273050_000015_000000	"The Infants got out, one by one-- One wide river to cross! First Infant bumps into a great big Stone-- One wide river to cross!"	"The Infants got out, one by one- One wide river to cross! First Infant bumps into a great big Stone- One wide river to cross!"	false	357.02	370.72	20.32229
8545_273050_000016_000000	And there really was Heavy to receive the newcomer with open arms, who said, while the others chanted the refrain:	And there really was Heavy to receive the newcomer with open arms, who said, while the others chanted the refrain:	true	371.54	381.01	19.18436
8545_273050_000017_000000	"My name's Jennie Stone, and you're very welcome to Briarwood, and what's your name, Infant?"	"My name's Jennie Stone, and you're very welcome to Briarwood, and what's your name, Infant?"	true	381.89	389.77	19.34628
8545_273050_000018_000000	The girls in the stage-coach had been forewarned by Old Dolliver as to their probable greeting, and they took this all in good part.	The girls in the stage coach had been forewarned by Old Dolliver as to their probable greeting, and they took this all in good part.	false	390.86	399.7	19.865503
8545_273050_000018_000001	They disembarked with their bags and parcels, while Tony Foyle appeared to help Old Dolliver down with the heavier luggage that was strapped upon the roof and in the boot behind.	They disembarked with their bags and parcels, while Tony Foyle appeared to help Old Dolliver down with the heavier luggage that was strapped upon the roof and in the boot behind.	true	400.79	413.35	19
8545_273050_000018_000002	Mary Cox continued to line out the doggerel, inventing some telling hits as she went along, while the Upedes came in strongly on the refrain.	Mary Cox continued to line out the doggerel, inventing some telling hits as she went along, while the Upedes came in strongly on the refrain.	false	414.02	424.75	18
8545_273050_000019_000000	There was much laughter and confusion; but the arriving Infants were lined up two by two between the long rows of Briarwood girls and were forced to march toward the Hall by this narrow path.	There was much laughter and confusion; but the arriving Infants were lined up two by two between the long rows of Briarwood girls and were forced to march toward the Hall by this narrow path.	false	425.54	440.74	18
8545_273050_000020_000000	"Come! we are Infants, too," exclaimed Ruth, pulling Helen by the sleeve.	"Come! we are Infants, too," exclaimed ruth, pulling Helen by the sleeve.	true	442.07	447.85	17.775322
8545_273050_000020_000001	"We will lead the march."	"We will lead the march."	true	448.25	450.16	24.496675
8545_273050_000021_000000	She drew her chum away with her, and they introduced themselves to the girls at the head of the column of freshies.	She drew her chum away with her, and they introduced themselves to the girls at the head of the column of freshies.	true	451.1	458.14	18
8545_273050_000022_000000	"We are Helen Cameron and Ruth Fielding," said Ruth, cordially.	"We are Helen Cameron and ruth Fielding," said ruth, cordially.	true	458.93	464.14	17.046007
8545_273050_000022_000001	"We only got here yesterday, so we are Infants, too.	"We only got here yesterday, so we are Infants, too.	true	464.81	469.33	18.88335
8545_273050_000022_000002	We will take you to the office of the Preceptress."	We will take you to the office of the Preceptress."	true	470.09	473.86	20.578903
8545_273050_000023_000000	So the chums bore their share of the indignity of being marched up through the grounds like culprits, and halted the file at the steps of the main building.	So the chums bore their share of the indignity of being marched up through the grounds like culprits, and halted the file at the steps of the main building.	true	474.74	488.29	18.830164
8545_273050_000024_000000	"We have Duet Number 2 in the West Dormitory," said Ruth, boldly, to the new-comers.	"We have Duet Number two in the West Dormitory," said ruth, boldly, to the new comers.	true	489.38	496.57	19.6961
8545_273050_000024_000001	"When you have found your rooms and got settled--after supper, that will be,--you are all invited to come to our room and get acquainted with the other Infants.	"When you have found your rooms and got settled-after supper, that will be,--you are all invited to come to our room and get acquainted with the other Infants.	true	497.18	507.22	18.643663
8545_273050_000024_000002	We're going to get as many together this evening as we can.	We're going to get as many together this evening as we can.	true	507.74	511.51	17
8545_273050_000024_000003	Now, _do_ come!"	Now, underscore do underscore come!"	false	511.97	513.46	18.898975
8545_273050_000025_000000	"Oh, Ruth!" whispered Helen, when they were out of ear-shot of the others.	"Oh, ruth!" whispered Helen, when they were out of ear shot of the others.	true	514.4	520	16
8545_273050_000025_000001	"What will the Upedes say?"	"What will the Upedes say?"	false	520.31	522.37	19.310696
8545_273050_000026_000000	"We're not interfering with either of the school clubs," declared her chum, emphatically.	"We're not interfering with either of the school clubs," declared her chum, emphatically.	true	524.03	530.29	19.230194
8545_273050_000026_000001	"But I guess it won't hurt us to become acquainted with those who are as new here as ourselves.	"But I guess it won't hurt us to become acquainted with those who are as new here as ourselves.	false	530.9	537.7	17
