2012_139355_000000_000000	"Oh, that will not take me long!" answered Torres; "there is only myself and nothing else!"	"Oh, that will not take me long!" answered Torres; "there is only myself and nothing else!"	false	0	4.23	18.87367
2012_139355_000001_000000	"Make yourself at home," said Joam Garral.	"Make yourself at home," said Joam Garral.	false	4.23	5.19	22.382698
2012_139355_000002_000000	That evening Torres took possession of a cabin near to that of the barber.	That evening Torres took possession of a cabin near to that of the barber.	false	5.19	7.11	16
2012_139355_000002_000001	It was not till eight o'clock that the latter returned to the raft, and gave the young mulatto an account of his exploits, and repeated, with no little vanity, that the renown of the illustrious Fragoso was increasing in the basin of the Upper Amazon.	It was not till eight o'clock that the latter returned to the raft, and gave the young mulatto an account of his exploits, and repeated, with no little vanity, that the renown of the illustrious Fragoso was increasing in the basin of the Upper Amazon.	false	7.11	20.79	20.827812
2012_139355_000003_000000	CHAPTER XIV.	CHAPTER fourteen.	true	20.79	22.29	22.14365
2012_139355_000003_000001	STILL DESCENDING	STILL DESCENDING	true	22.29	23.89	20.690683
2012_139355_000004_000000	AT DAYBREAK on the morrow, the 27th of June, the cables were cast off, and the raft continued its journey down the river.	AT DAYBREAK on the morrow, the twenty seventh of June, the cables were cast off, and the raft continued its journey down the river.	true	25.16	31.87	18
2012_139355_000005_000000	An extra passenger was on board.	An extra passenger was on board.	true	32.24	34.48	21.468481
2012_139355_000005_000001	Whence came this Torres?	Whence came this Torres?	true	34.67	36.375	18
2012_139355_000005_000002	No one exactly knew.	No one exactly knew.	true	36.375	37.965	23
2012_139355_000005_000003	Where was he going to?	Where was he going to?	true	37.965	39.25	18.880419
2012_139355_000005_000004	"To Manaos," he said.	"To Manaos," he said.	true	39.38	40.96	18.057522
2012_139355_000005_000005	Torres was careful to let no suspicion of his past life escape him, nor of the profession that he had followed till within the last two months, and no one would have thought that the jangada had given refuge to an old captain of the woods.	Torres was careful to let no suspicion of his past life escape him, nor of the profession that he had followed till within the last two months, and no one would have thought that the jangada had given refuge to an old captain of the woods.	false	41.15	55.23	20.34317
2012_139355_000005_000006	Joam Garral did not wish to mar the service he was rendering by questions of too pressing a nature.	Joam Garral did not wish to mar the service he was rendering by questions of too pressing a nature.	false	55.23	60.82	20.543034
2012_139355_000006_000000	In taking him on board the fazender had obeyed a sentiment of humanity. In the midst of these vast Amazonian deserts, more especially at the time when the steamers had not begun to furrow the waters, it was very difficult to find means of safe and rapid transit.	In taking him on board the fazender had obeyed a sentiment of humanity. In the midst of these vast Amazonian deserts, more especially at the time when the steamers had not begun to furrow the waters, it was very difficult to find means of safe and rapid transit.	true	61.34	79.12	18.90936
2012_139355_000006_000001	Boats did not ply regularly, and in most cases the traveler was obliged to walk across the forests.	Boats did not ply regularly, and in most cases the traveler was obliged to walk across the forests.	true	79.25	85.03	19
2012_139355_000006_000002	This is what Torres had done, and what he would continue to have done, and it was for him unexpected good luck to have got a passage on the raft.	This is what Torres had done, and what he would continue to have done, and it was for him unexpected good luck to have got a passage on the raft.	false	85.31	93.91	21.0823
2012_139355_000007_000000	From the moment that Benito had explained under what conditions he had met Torres the introduction was complete, and he was able to consider himself as a passenger on an Atlantic steamer, who is free to take part in the general life if he cares, or free to keep himself a little apart if of an unsociable disposition.	From the moment that Benito had explained under what conditions he had met Torres the introduction was complete, and he was able to consider himself as a passenger on an Atlantic steamer, who is free to take part in the general life if he cares, or free to keep himself a little apart if of an unsociable disposition.	true	94.49	112.39	17
