7126_59175_000000_000000	XIX	nineteen	false	0.33	1.02	16
7126_59175_000001_000000	TCHEHOV: THE PERFECT STORY-TELLER	t c h e h o v: THE PERFECT STORY TELLER	false	1.02	15.39	21.044228
7126_59175_000002_000000	It is the custom when praising a Russian writer to do so at the expense of all other Russian writers.	It is the custom when praising a Russian writer to do so at the expense of all other Russian writers.	true	15.39	20.26	15
7126_59175_000002_000001	It is as though most of us were monotheists in our devotion to authors, and could not endure to see any respect paid to the rivals of the god of the moment.	It is as though most of us were monotheists in our devotion to authors, and could not endure to see any respect paid to the rivals of the god of the moment.	true	20.51	29.23	18
7126_59175_000002_000002	And so one year Tolstoy is laid prone as Dagon, and, another year, Turgenev.	And so one year Tolstoy is laid prone as Dagon, and, another year, Turgenev.	true	29.66	34.48	19.005669
7126_59175_000002_000003	And, no doubt, the day will come when Dostoevsky will fall from his huge eminence.	And, no doubt, the day will come when Dostoevsky will fall from his huge eminence.	true	34.61	38.89	15
7126_59175_000003_000000	Perhaps the luckiest of all the Russian authors in this respect is Tchehov.	Perhaps the luckiest of all the Russian authors in this respect is Tchehov.	false	39.74	44.4	23.81187
7126_59175_000003_000001	He is so obviously not a god.	He is so obviously not a god.	true	44.4	46.45	21.86572
7126_59175_000003_000002	He does not deliver messages to us from the mountain-top like Tolstoy, or reveal himself beautifully in sunset and star like Turgenev, or announce himself now in the hurricane and now in the thunderstorm like Dostoevsky.	He does not deliver messages to us from the mountain top like Tolstoy, or reveal himself beautifully in sunset and star like Turgenev, or announce himself now in the hurricane and now in the thunderstorm like Dostoevsky.	false	46.49	58.72	17
7126_59175_000003_000003	He is a man and a medical doctor.	He is a man and a medical doctor.	true	59.42	61.66	22.486515
7126_59175_000003_000004	He pays professional visits.	He pays professional visits.	true	61.94	63.88	18.431181
7126_59175_000003_000005	We may define his genius more exactly by saying that his is a general practice.	We may define his genius more exactly by saying that his is a general practice.	true	64.34	69.67	15
7126_59175_000003_000006	There has, I think, never been so wonderful an examination of common people in literature as in the short stories of Tchehov.	There has, I think, never been so wonderful an examination of common people in literature as in the short stories of Tchehov.	false	69.89	77.28	20
7126_59175_000003_000007	His world is thronged with the average man and the average woman.	His world is thronged with the average man and the average woman.	true	77.28	80.56	15
7126_59175_000003_000008	Other writers have also put ordinary people into books.	Other writers have also put ordinary people into books.	false	81.05	83.97	19
7126_59175_000003_000009	They have written plays longer than _Hamlet_, and novels longer than _Don Quixote_, about ordinary people.	They have written plays longer than underscore Hamlet underscore, and novels longer than underscore Don Quixote underscore, about ordinary people.	false	83.97	89.32	14
7126_59175_000003_000010	They have piled such a heap of details on the ordinary man's back as almost to squash him out of existence.	They have piled such a heap of details on the ordinary man's back as almost to squash him out of existence.	true	89.57	95.53	16
7126_59175_000003_000011	In the result the reader as well as the ordinary man has a sense of oppression.	In the result the reader as well as the ordinary man has a sense of oppression.	true	96.29	100.54	15
7126_59175_000003_000012	He begins to long for the restoration of the big subject to literature.	He begins to long for the restoration of the big subject to literature.	true	100.91	105.13	19
7126_59175_000004_000000	Henry James complained of the littleness of the subject in _Madame Bovary._ He regarded it as one of the miracles of art that so great a book should have been written about so small a woman.	Henry james complained of the littleness of the subject in underscore Madame Bovary.underscore He regarded it as one of the miracles of art that so great a book should have been written about so small a woman.	false	105.98	115.74	19
7126_59175_000004_000001	_Tom Jones_, on the other hand, is a portrait of a common man of the size of which few people complain.	underscore Tom Jones underscore, on the other hand, is a portrait of a common man of the size of which few people complain.	false	115.74	121.42	18.056526
7126_59175_000004_000002	But then _Tom Jones_ is a comedy, and we enjoy the continual relief of laughter.	But then underscore Tom Jones underscore is a comedy, and we enjoy the continual relief of laughter.	false	121.79	126.34	19.845371
7126_59175_000004_000003	It is the tragic realists for whom the common man is a theme so perilous in its temptations to dullness.	It is the tragic realists for whom the common man is a theme so perilous in its temptations to dullness.	true	127.1	132.88	15
7126_59175_000004_000004	At the same time he is a theme that they were bound to treat.	At the same time he is a theme that they were bound to treat.	true	133.16	136.54	20
7126_59175_000004_000005	He is himself, indeed, the sole source and subject of tragic realism in literature. Were it not for the oppression of his futile and philoprogenitive presence, imaginative writers would be poets and romancers.	He is himself, indeed, the sole source and subject of tragic realism in literature. Were it not for the oppression of his futile and philoprogenitive presence, imaginative writers would be poets and romancers.	true	136.91	148.78	17
7126_59175_000005_000000	The problem of the novelist of contemporary life for whom ordinary people are more intensely real than the few magnificent personalities is how to portray ordinary people in such a way that they will become better company than they are in life.	The problem of the novelist of contemporary life for whom ordinary people are more intensely real than the few magnificent personalities is how to portray ordinary people in such a way that they will become better company than they are in life.	true	149.84	163.15	15
7126_59175_000005_000001	Tchehov, I think, solves the problem better than any of the other novelists.	Tchehov, I think, solves the problem better than any of the other novelists.	false	164.18	167.62	18
7126_59175_000005_000002	He sees, for one thing, that no man is uninteresting when he is seen as a person stumbling towards some goal, just as no man is uninteresting when his hat is blown off and he has to scuttle after it down the street.	He sees, for one thing, that no man is uninteresting when he is seen as a person stumbling towards some goal, just as no man is uninteresting when his hat is blown off and he has to scuttle after it down the street.	true	168.11	180.25	18.707165
7126_59175_000005_000003	There is bound to be a break in the meanest life.	There is bound to be a break in the meanest life.	true	180.5	183.37	20.361614
7126_59175_000006_000000	Tchehov will seek out the key situation in the life of a cabman or a charwoman, and make them glow for a brief moment in the tender light of his sympathy.	Tchehov will seek out the key situation in the life of a cabman or a charwoman, and make them glow for a brief moment in the tender light of his sympathy.	false	184.31	192.22	17
7126_59175_000006_000001	He does not run sympathy as a "stunt" like so many popular novelists.	He does not run sympathy as a "stunt" like so many popular novelists.	true	192.56	197.05	21.915512
7126_59175_000006_000002	He sympathizes merely in the sense that he understands in his heart as well as in his brain.	He sympathizes merely in the sense that he understands in his heart as well as in his brain.	true	197.15	202.93	19
7126_59175_000006_000003	He has the most unbiassed attitude, I think, of any author in the world.	He has the most unbiassed attitude, I think, of any author in the world.	true	204.35	208.42	21
