5290_26685_000001_000000	IN WHICH CASSANDRA VISITS DAVID THRYNG'S ANCESTORS	IN WHICH CASSANDRA VISITS DAVID THRYNG'S ANCESTORS
5290_26685_000002_000001	Cassandra had placed her little son in the middle of a huge bed which nearly filled the small room she had been given in a hotel, recommended to her by Betty Towers as one where "nice ladies travelling alone" could stop.	Cassandra had placed her little son in the middle of a huge bed which nearly filled the small room she had been given in a hotel, recommended to her by Betty Towers as one where "nice ladies travelling alone" could stop.
5290_26685_000003_000000	The child was dressed in a fresh white coat, and Cassandra had much ado to keep him clean.	The child was dressed in a fresh white coat, and Cassandra had much ado to keep him clean.
5290_26685_000004_000000	She had tried to put them one side that she might look out when she awoke, but she could see only chimney-pots and grimy, irregularly tiled roofs.	She had tried to put them one side that she might look out when she awoke, but she could see only chimney pots and grimy, irregularly tiled roofs.
5290_26685_000004_000001	A narrow opening at the top of the window let in a little air; still she felt smothered, and tried to raise the lower sash, but could not move it.	A narrow opening at the top of the window let in a little air; still she felt smothered, and tried to raise the lower sash, but could not move it.
5290_26685_000004_000003	Here only a small triangle of blue sky could be seen--not a tree, not a bit of earth--and in the small room all those heavy furnishings closed around her, dark red, stuffy, and greasy with London smoke.	Here only a small triangle of blue sky could be seen-not a tree, not a bit of earth-and in the small room all those heavy furnishings closed around her, dark red, stuffy, and greasy with London smoke.
5290_26685_000004_000004	She could not touch them without blackening her hands, nor let her baby sit on the floor for the dirt he wiped up on his clothing as he rolled and kicked about.	She could not touch them without blackening her hands, nor let her baby sit on the floor for the dirt he wiped up on his clothing as he rolled and kicked about.
5290_26685_000005_000000	The room seemed to sway and tip as the ship had done, and there was a continuous sound as of thunder, a strange undercurrent that seemed to her strained nerves like the moaning of the lost souls of all the ages, who had lived and toiled and smothered in this monstrous and terrible city.	The room seemed to sway and tip as the ship had done, and there was a continuous sound as of thunder, a strange undercurrent that seemed to her strained nerves like the moaning of the lost souls of all the ages, who had lived and toiled and smothered in this monstrous and terrible city.
5290_26685_000006_000001	She must hurry--hurry and find David.	She must hurry-hurry and find David.
5290_26685_000006_000002	He would be glad to see his little son.	He would be glad to see his little son.
5290_26685_000006_000003	He would take him in his arms.	He would take him in his arms.
5290_26685_000006_000004	He would hold them both to his heart.	He would hold them both to his heart.
5290_26685_000006_000006	She must get used to all this, and not expect to find all the world like her own sunny mountains.	She must get used to all this, and not expect to find all the world like her own sunny mountains.
5290_26685_000007_000001	She was to go nowhere alone, without taking a cab, and never start out on foot, carrying her baby in her arms, as she might do at home.	She was to go nowhere alone, without taking a cab, and never start out on foot, carrying her baby in her arms, as she might do at home.
5290_26685_000007_000002	She had given her written instructions how to conduct herself under all ordinary circumstances, at her hotel or on the street--how to ring for a servant, order her meals, or call a cab.	She had given her written instructions how to conduct herself under all ordinary circumstances, at her hotel or on the street-how to ring for a servant, order her meals, or call a cab.
5290_26685_000008_000003	She leaned over the bed, half dressed as she was, and murmured pretty cooing phrases, kissing and cuddling him to contented laughter.	She leaned over the bed, half dressed as she was, and murmured pretty cooing phrases, kissing and cuddling him to contented laughter.
5290_26685_000009_000000	Betty Towers had procured clothing for her--a modest supply--using her own good taste, and not disguising Cassandra's natural grace and dignity by a too-close adherence to the prevailing mode.	Betty Towers had procured clothing for her-a modest supply-using her own good taste, and not disguising Cassandra's natural grace and dignity by a too close adherence to the prevailing mode.
5290_26685_000009_000002	Cassandra stood a long moment before the two gowns.	Cassandra stood a long moment before the two gowns.
5290_26685_000010_000000	While waiting with her baby in her arms for the hotel boy to call her cab, she observed another lady, young and graceful, enter a cab, and a maid following her wearing a pretty cap, and carrying a child.	While waiting with her baby in her arms for the hotel boy to call her cab, she observed another lady, young and graceful, enter a cab, and a maid following her wearing a pretty cap, and carrying a child.
5290_26685_000010_000001	Eager, for David's sake, to draw no adverse comment upon herself, she took note of everything.	Eager, for David's sake, to draw no adverse comment upon herself, she took note of everything.
5290_26685_000010_000002	Ought she then to arrive attended by a maid, carrying her baby?	Ought she then to arrive attended by a maid, carrying her baby?
5290_26685_000010_000003	But David would know she did not need one; bringing him his little son in her own arms, what would he care for anything more?	But David would know she did not need one; bringing him his little son in her own arms, what would he care for anything more?
5290_26685_000010_000004	So the address was given the cabman, and they were rattled away over the rough paving, a long, lonely ride through the wonderful city--so many miles of houses and splendid buildings, of gardens and monuments.	So the address was given the cabman, and they were rattled away over the rough paving, a long, lonely ride through the wonderful city-so many miles of houses and splendid buildings, of gardens and monuments.
5290_26685_000011_000002	There were the nursemaids--the babies--the beggars--the ragged urchins and the venders of the street, with their raucous cries rending the air.	There were the nursemaids-the babies-the beggars-the ragged urchins and the venders of the street, with their raucous cries rending the air.
