175_123036_000000_000000	"Do you know what they fought about?" said I.	"Do you know what they fought about?" said i	false	0	3.24	23.669546
175_123036_000001_000000	"No," he said, "that is more than a horse can understand, but the enemy must have been awfully wicked people, if it was right to go all that way over the sea on purpose to kill them."	"No," he said, "that is more than a horse can understand, but the enemy must have been awfully wicked people, if it was right to go all that way over the sea on purpose to kill them."	false	3.24	28.89	23.910616
175_123036_000002_000000	35 Jerry Barker	thirty five Jerry Barker	true	28.89	31.75	25.961983
175_123036_000003_000000	I never knew a better man than my new master.	I never knew a better man than my new master.	true	33.98	36.97	22.656206
175_123036_000003_000001	He was kind and good, and as strong for the right as John Manly; and so good-tempered and merry that very few people could pick a quarrel with him.	He was kind and good, and as strong for the right as john Manly; and so good tempered and merry that very few people could pick a quarrel with him.	true	37.64	46.96	24.086796
175_123036_000003_000002	He was very fond of making little songs, and singing them to himself.	He was very fond of making little songs, and singing them to himself.	true	47.87	51.82	23.524555
175_123036_000003_000003	One he was very fond of was this:	One he was very fond of was this:	true	52.46	55.18	22.747349
175_123036_000004_000000	"Come, father and mother, And sister and brother, Come, all of you, turn to And help one another."	"Come, father and mother, And sister and brother, Come, all of you, turn to And help one another."	true	56.39	62.83	25.43452
175_123036_000005_000000	And so they did; Harry was as clever at stable-work as a much older boy, and always wanted to do what he could.	And so they did; Harry was as clever at stable work as a much older boy, and always wanted to do what he could.	true	63.95	71.8	23.308044
175_123036_000005_000001	Then Polly and Dolly used to come in the morning to help with the cab--to brush and beat the cushions, and rub the glass, while Jerry was giving us a cleaning in the yard, and Harry was rubbing the harness.	Then Polly and Dolly used to come in the morning to help with the cab-to brush and beat the cushions, and rub the glass, while Jerry was giving us a cleaning in the yard, and Harry was rubbing the harness.	true	72.38	84.58	20.739803
175_123036_000005_000002	There used to be a great deal of laughing and fun between them, and it put Captain and me in much better spirits than if we had heard scolding and hard words.	There used to be a great deal of laughing and fun between them, and it put Captain and me in much better spirits than if we had heard scolding and hard words.	false	85.7	94.03	24.994692
175_123036_000005_000003	They were always early in the morning, for Jerry would say:	They were always early in the morning, for Jerry would say:	true	94.94	98.14	24.311768
175_123036_000006_000000	"If you in the morning Throw minutes away, You can't pick them up In the course of a day. You may hurry and scurry, And flurry and worry, You've lost them forever, Forever and aye."	"If you in the morning Throw minutes away, You can't pick them up In the course of a day. You may hurry and scurry, And flurry and worry, You've lost them forever, Forever and aye."	false	98.66	110.08	23.011961
175_123036_000007_000000	He could not bear any careless loitering and waste of time; and nothing was so near making him angry as to find people, who were always late, wanting a cab horse to be driven hard, to make up for their idleness.	He could not bear any careless loitering and waste of time; and nothing was so near making him angry as to find people, who were always late, wanting a cab horse to be driven hard, to make up for their idleness.	true	111.35	125.05	24.113085
175_123036_000008_000000	One day two wild-looking young men came out of a tavern close by the stand, and called Jerry.	One day two wild looking young men came out of a tavern close by the stand, and called Jerry.	true	126.23	133.18	20.64799
175_123036_000009_000000	"Here, cabby! look sharp, we are rather late; put on the steam, will you, and take us to the Victoria in time for the one o'clock train?	"Here, cabby! look sharp, we are rather late; put on the steam, will you, and take us to the Victoria in time for the one o'clock train?	false	133.55	141.25	23.854746
175_123036_000009_000001	You shall have a shilling extra."	You shall have a shilling extra."	true	141.47	143.2	26.667755
175_123036_000010_000000	"I will take you at the regular pace, gentlemen; shillings don't pay for putting on the steam like that."	"I will take you at the regular pace, gentlemen; shillings don't pay for putting on the steam like that."	true	144.77	150.28	27.37756
175_123036_000011_000000	Larry's cab was standing next to ours; he flung open the door, and said, "I'm your man, gentlemen! take my cab, my horse will get you there all right;" and as he shut them in, with a wink toward Jerry, said, "It's against his conscience to go beyond a jog-trot." Then slashing his jaded horse, he set off as hard as he could.	Larry's cab was standing next to ours; he flung open the door, and said, "I'm your man, gentlemen! take my cab, my horse will get you there all right;" and as he shut them in, with a wink toward Jerry, said, "It's against his conscience to go beyond a jog trot." Then slashing his jaded horse, he set off as hard as he could.	true	151.64	173.2	21.956808
175_123036_000011_000001	Jerry patted me on the neck: "No, Jack, a shilling would not pay for that sort of thing, would it, old boy?"	Jerry patted me on the neck: "No, Jack, a shilling would not pay for that sort of thing, would it, old boy?"	true	173.81	181	23.098938
175_123036_000012_000000	Although Jerry was determinedly set against hard driving, to please careless people, he always went a good fair pace, and was not against putting on the steam, as he said, if only he knew why.	Although Jerry was determinedly set against hard driving, to please careless people, he always went a good fair pace, and was not against putting on the steam, as he said, if only he knew why.	true	182.75	195.16	23.71222
175_123036_000013_000000	I well remember one morning, as we were on the stand waiting for a fare, that a young man, carrying a heavy portmanteau, trod on a piece of orange peel which lay on the pavement, and fell down with great force.	I well remember one morning, as we were on the stand waiting for a fare, that a young man, carrying a heavy portmanteau, trod on a piece of orange peel which lay on the pavement, and fell down with great force.	true	196.43	209.14	21.777044
175_123036_000014_000000	Jerry was the first to run and lift him up.	Jerry was the first to run and lift him up.	true	209.87	212.38	22.124043
175_123036_000014_000001	He seemed much stunned, and as they led him into a shop he walked as if he were in great pain.	He seemed much stunned, and as they led him into a shop he walked as if he were in great pain.	false	212.93	218.86	25.54506
175_123036_000014_000002	Jerry of course came back to the stand, but in about ten minutes one of the shopmen called him, so we drew up to the pavement.	Jerry of course came back to the stand, but in about ten minutes one of the shopmen called him, so we drew up to the pavement.	false	219.74	227.35	25.808346
175_123036_000015_000000	"Can you take me to the South-Eastern Railway?" said the young man; "this unlucky fall has made me late, I fear; but it is of great importance that I should not lose the twelve o'clock train.	"Can you take me to the south-eastern Railway?" said the young man; "this unlucky fall has made me late, I fear; but it is of great importance that I should not lose the twelve o'clock train.	true	228.8	239.77	25.160776
175_123036_000015_000001	I should be most thankful if you could get me there in time, and will gladly pay you an extra fare."	I should be most thankful if you could get me there in time, and will gladly pay you an extra fare."	true	240.41	245.59	24.314144
175_123036_000016_000000	"I'll do my very best," said Jerry heartily, "if you think you are well enough, sir," for he looked dreadfully white and ill.	"I'll do my very best," said Jerry heartily, "if you think you are well enough, sir," for he looked dreadfully white and ill.	true	247.16	255.07	24.182114
175_123036_000017_000000	"I must go," he said earnestly, "please to open the door, and let us lose no time."	"I must go," he said earnestly, "please to open the door, and let us lose no time."	true	256.04	261.43	23.64677
175_123036_000018_000000	The next minute Jerry was on the box; with a cheery chirrup to me, and a twitch of the rein that I well understood.	The next minute Jerry was on the box; with a cheery chirrup to me, and a twitch of the rein that I well understood.	true	262.55	269.53	23.87582
175_123036_000019_000000	"Now then, Jack, my boy," said he, "spin along, we'll show them how we can get over the ground, if we only know why."	"Now then, Jack, my boy," said he, "spin along, we'll show them how we can get over the ground, if we only know why."	true	271.01	277.75	23.634483
175_123036_000020_000000	It is always difficult to drive fast in the city in the middle of the day, when the streets are full of traffic, but we did what could be done; and when a good driver and a good horse, who understand each other, are of one mind, it is wonderful what they can do.	It is always difficult to drive fast in the city in the middle of the day, when the streets are full of traffic, but we did what could be done; and when a good driver and a good horse, who understand each other, are of one mind, it is wonderful what they can do.	true	279.35	295.78	24.333195
175_123036_000020_000001	I had a very good mouth--that is I could be guided by the slightest touch of the rein; and that is a great thing in London, among carriages, omnibuses, carts, vans, trucks, cabs, and great wagons creeping along at a walking pace; some going one way, some another, some going slowly, others wanting to pass them; omnibuses stopping short every few minutes to take up a passenger, obliging the horse that is coming behind to pull up too, or to pass, and get before them; perhaps you try to pass, but just then something else comes dashing in through the narrow opening, and you have to keep in behind the omnibus again; presently you think you see a chance, and manage to get to the front, going so near the wheels on each side that half an inch nearer and they would scrape.	I had a very good mouth-that is I could be guided by the slightest touch of the rein; and that is a great thing in London, among carriages, omnibuses, carts, vans, trucks, cabs, and great wagons creeping along at a walking pace; some going one way, some another, some going slowly, others wanting to pass them; omnibuses stopping short every few minutes to take up a passenger, obliging the horse that is coming behind to pull up too, or to pass, and get before them; perhaps you try to pass, but just then something else comes dashing in through the narrow opening, and you have to keep in behind the omnibus again; presently you think you see a chance, and manage to get to the front, going so near the wheels on each side that half an inch nearer and they would scrape.	false	296.99	343.54	23.838007
175_123036_000020_000002	Well, you get along for a bit, but soon find yourself in a long train of carts and carriages all obliged to go at a walk; perhaps you come to a regular block-up, and have to stand still for minutes together, till something clears out into a side street, or the policeman interferes; you have to be ready for any chance--to dash forward if there be an opening, and be quick as a rat-dog to see if there be room and if there be time, lest you get your own wheels locked or smashed, or the shaft of some other vehicle run into your chest or shoulder.	Well, you get along for a bit, but soon find yourself in a long train of carts and carriages all obliged to go at a walk; perhaps you come to a regular block up, and have to stand still for minutes together, till something clears out into a side street, or the policeman interferes; you have to be ready for any chance-to dash forward if there be an opening, and be quick as a rat dog to see if there be room and if there be time, lest you get your own wheels locked or smashed, or the shaft of some other vehicle run into your chest or shoulder.	false	343.76	374.83	24.205149
175_123036_000020_000003	All this is what you have to be ready for. If you want to get through London fast in the middle of the day it wants a deal of practice.	All this is what you have to be ready for. If you want to get through London fast in the middle of the day it wants a deal of practice.	true	375.74	383.44	23.806782
175_123036_000021_000000	Jerry and I were used to it, and no one could beat us at getting through when we were set upon it.	Jerry and I were used to it, and no one could beat us at getting through when we were set upon it.	true	384.74	389.92	21.055399
