5189_37999_000000_000000	CHAPTER SIX: A CHAPTER FOR SCHOOLGIRLS	CHAPTER SIX: A CHAPTER FOR SCHOOLGIRLS	false	0.51	16.12	22.148495
5189_37999_000001_000000	Every Fall a larger number of young girls leave home to come East to the various Finishing Schools in this section of the country.	Every Fall a larger number of young girls leave home to come East to the various Finishing Schools in this section of the country.	true	17.3	24.37	17
5189_37999_000001_000001	For the benefit of those who are making this trip for the first time, we outline a few of the more important points in connection with the preliminaries to the trip East, together with minute instructions as to the journey itself.	For the benefit of those who are making this trip for the first time, we outline a few of the more important points in connection with the preliminaries to the trip East, together with minute instructions as to the journey itself.	false	24.95	36.88	19.836872
5189_37999_000002_000000	SELECTING A PROPER SCHOOL	SELECTING A PROPER SCHOOL	true	38.45	40.45	23.460579
5189_37999_000003_000000	This is, of course, mainly a parent's problem and is best solved by resorting to the following formula: Let A and B represent two young girls' finishing schools in the East.	This is, of course, mainly a parent's problem and is best solved by resorting to the following formula: Let A and B represent two young girls' finishing schools in the East.	true	41.21	51.97	22.032785
5189_37999_000003_000001	Mrs. Raleigh-Jones (X), from the West, sends her daughter to A; Mrs. Borax (Y), from the same city, sends her daughter to B. Upon consulting the local social register, it is found that Mr. Raleigh-Jones is a member of the Union, Colonial, Town and Country, and Valley Hunt Clubs; upon consulting the telephone directory it is found that the Boraxes live at 1217 S. Main Street, and that Mr. Borax is an undertaker.	mrs Raleigh Jones (X), from the West, sends her daughter to A; mrs Borax (Y), from the same city, sends her daughter to b Upon consulting the local social register, it is found that mr Raleigh Jones is a member of the Union, Colonial, Town and Country, and Valley Hunt Clubs; upon consulting the telephone directory it is found that the Boraxes live at twelve seventeen s Main Street, and that mr Borax is an undertaker.	false	52.73	82.3	21.902327
5189_37999_000003_000002	Shall Mrs. F. B. Gerald (Z) send her daughter Annette to A or to B, and why?	Shall mrs f b Gerald (Z) send her daughter Annette to A or to B, and why?	false	83.51	90.61	24.269789
5189_37999_000004_000000	Answer: A, because life is real, life is earnest, and the grave is not its goal.	Answer: A, because life is real, life is earnest, and the grave is not its goal.	true	91.61	97.48	22.412376
5189_37999_000005_000000	CORRECT EQUIPMENT FOR THE SCHOOLGIRL	CORRECT EQUIPMENT FOR THE SCHOOLGIRL	true	99.53	101.65	24.45089
5189_37999_000006_000000	Having selected an educational institution, the next requisite is a suitable equipment.	Having selected an educational institution, the next requisite is a suitable equipment.	true	102.41	108.01	23.479578
5189_37999_000006_000001	Girls who live in other parts of the United States are often surprised to discover that the clothes which they have purchased at the best store in their home town are totally unsuited for the rough climate of the East.	Girls who live in other parts of the United States are often surprised to discover that the clothes which they have purchased at the best store in their home town are totally unsuited for the rough climate of the East.	true	108.62	118.96	18
5189_37999_000006_000002	I would, therefore, recommend the following list, subject, of course, to variation in individual cases.	I would, therefore, recommend the following list, subject, of course, to variation in individual cases.	true	119.99	126.07	20
5189_37999_000007_000000	1 Dress, chine, crepe de, pink, for dancing. 1 Dress, chine, crepe de, pink, for petting. 1 Dress, Swiss, Dotted, blue, or 1 Dress, Swiss, undotted, white. 15 yards Tulle, best quality, pink. 4 bottles perfume, domestic, or 1 bottle, perfume, French. 12 Dozen Dorine, men's pocket size. 6 Soles, cami, assorted. 1 Brassiere, or riding habit. 100 boxes aspirin, for dances and house-parties. 1 wave, permanent, for conversation. 24 waves, temporary. 10,000 nets, hair. 100,000 pins, hair. 1 bottle Quelques Fleurs, for knockout.	one Dress, chine, crepe de, pink, for dancing. one Dress, chine, crepe de, pink, for petting. one Dress, Swiss, Dotted, blue, or one Dress, Swiss, undotted, white. fifteen yards Tulle, best quality, pink. four bottles perfume, domestic, or one bottle, perfume, French. twelve Dozen Dorine, men's pocket size. six Soles, cami, assorted. one Brassiere, or riding habit. one hundred boxes aspirin, for dances and house parties. one wave, permanent, for conversation. twenty four waves, temporary. ten thousand nets, hair. one hundred thousand pins, hair. one bottle Quelques Fleurs, for knockout.	false	128.48	188.13	23.16136
5189_37999_000008_000000	EN ROUTE	EN ROUTE	false	188.13	190.57	25.913101
5189_37999_000009_000000	After the purchase of a complete outfit, it will be necessary to say goodbye to one's local friends.	After the purchase of a complete outfit, it will be necessary to say goodbye to one's local friends.	true	191.99	197.11	24
5189_37999_000009_000001	Partings are always somewhat sad, but it will be found that much simple pleasure may be derived from the last nights with the various boys to whom one is engaged.	Partings are always somewhat sad, but it will be found that much simple pleasure may be derived from the last nights with the various boys to whom one is engaged.	true	197.69	206.26	21.120144
5189_37999_000010_000000	In this connection, however, it would be well to avoid making any rash statements regarding undying friendship and affection, because, when you next see Eddie or Walter, at Christmas time, you will have been three months in the East, while they have been at the State University, and really, after one starts dancing with Yale men--well, it's a funny world.	In this connection, however, it would be well to avoid making any rash statements regarding undying friendship and affection, because, when you next see Eddie or Walter, at Christmas time, you will have been three months in the East, while they have been at the State University, and really, after one starts dancing with Yale men-well, it's a funny world.	true	207.05	226.36	22.605034
5189_37999_000011_000000	In case you do not happen to meet any friends on the train, the surest way to protect yourself from any unwelcome advances is to buy a copy of the Atlantic Monthly and carry it, in plain view.	In case you do not happen to meet any friends on the train, the surest way to protect yourself from any unwelcome advances is to buy a copy of the Atlantic Monthly and carry it, in plain view.	true	228.44	238.87	20
5189_37999_000011_000001	Next to a hare lip, this is the safest protection for a travelling young girl that I know of; it has, however, the one objection that all the old ladies on the train are likely to tell you what they think of Katherine Fullerton Gerould, or their rheumatism.	Next to a hare lip, this is the safest protection for a travelling young girl that I know of; it has, however, the one objection that all the old ladies on the train are likely to tell you what they think of Katherine Fullerton Gerould, or their rheumatism.	true	239.63	253.66	20.73323
5189_37999_000012_000000	If you are compelled to go to the dining car alone, you will probably sit beside an Elk with white socks, who will call the waiter "George." Along about the second course he will say to you, "It's warm for September, isn't it?" to which you should answer "No." That will dispose of the Elk.	If you are compelled to go to the dining car alone, you will probably sit beside an Elk with white socks, who will call the waiter "George." Along about the second course he will say to you, "It's warm for September, isn't it?" to which you should answer "no" That will dispose of the Elk.	true	254.93	272.47	22.733086
5189_37999_000013_000000	Across the table from you will be a Grand Army man and his wife, going to visit their boy Elmer's wife's folks in Schenectady.	Across the table from you will be a Grand Army man and his wife, going to visit their boy Elmer's wife's folks in Schenectady.	true	273.38	280.03	22
5189_37999_000013_000001	When the fish is served, the Grand Army man will choke on a bone.	When the fish is served, the Grand Army man will choke on a bone.	true	280.85	284.29	20.90357
5189_37999_000013_000002	Let him choke, but do not be too hopeful, as the chances are that he will dislodge the bone. All will go well until the dessert, when his wife will begin telling how raspberry sherbet always disagrees with her.	Let him choke, but do not be too hopeful, as the chances are that he will dislodge the bone. All will go well until the dessert, when his wife will begin telling how raspberry sherbet always disagrees with her.	true	284.72	296.71	23.00177
5189_37999_000013_000003	Offer her your raspberry sherbet.	Offer her your raspberry sherbet.	true	297.32	299.41	28.709944
5189_37999_000014_000000	After dinner you may wish to read for a while, but the porter will probably have made up all the berths for the night.	After dinner you may wish to read for a while, but the porter will probably have made up all the berths for the night.	true	301.07	306.7	21.892824
