5189_37999_000002_000000	SELECTING A PROPER SCHOOL	SELECTING A PROPER SCHOOL
5189_37999_000003_000000	This is, of course, mainly a parent's problem and is best solved by resorting to the following formula: Let A and B represent two young girls' finishing schools in the East.	This is, of course, mainly a parent's problem and is best solved by resorting to the following formula: Let A and B represent two young girls' finishing schools in the East.
5189_37999_000004_000000	Answer: A, because life is real, life is earnest, and the grave is not its goal.	Answer: A, because life is real, life is earnest, and the grave is not its goal.
5189_37999_000005_000000	CORRECT EQUIPMENT FOR THE SCHOOLGIRL	CORRECT EQUIPMENT FOR THE SCHOOLGIRL
5189_37999_000006_000000	Having selected an educational institution, the next requisite is a suitable equipment.	Having selected an educational institution, the next requisite is a suitable equipment.
5189_37999_000006_000002	I would, therefore, recommend the following list, subject, of course, to variation in individual cases.	I would, therefore, recommend the following list, subject, of course, to variation in individual cases.
5189_37999_000009_000000	After the purchase of a complete outfit, it will be necessary to say goodbye to one's local friends.	After the purchase of a complete outfit, it will be necessary to say goodbye to one's local friends.
5189_37999_000009_000001	Partings are always somewhat sad, but it will be found that much simple pleasure may be derived from the last nights with the various boys to whom one is engaged.	Partings are always somewhat sad, but it will be found that much simple pleasure may be derived from the last nights with the various boys to whom one is engaged.
5189_37999_000010_000000	In this connection, however, it would be well to avoid making any rash statements regarding undying friendship and affection, because, when you next see Eddie or Walter, at Christmas time, you will have been three months in the East, while they have been at the State University, and really, after one starts dancing with Yale men--well, it's a funny world.	In this connection, however, it would be well to avoid making any rash statements regarding undying friendship and affection, because, when you next see Eddie or Walter, at Christmas time, you will have been three months in the East, while they have been at the State University, and really, after one starts dancing with Yale men-well, it's a funny world.
5189_37999_000011_000000	In case you do not happen to meet any friends on the train, the surest way to protect yourself from any unwelcome advances is to buy a copy of the Atlantic Monthly and carry it, in plain view.	In case you do not happen to meet any friends on the train, the surest way to protect yourself from any unwelcome advances is to buy a copy of the Atlantic Monthly and carry it, in plain view.
5189_37999_000011_000001	Next to a hare lip, this is the safest protection for a travelling young girl that I know of; it has, however, the one objection that all the old ladies on the train are likely to tell you what they think of Katherine Fullerton Gerould, or their rheumatism.	Next to a hare lip, this is the safest protection for a travelling young girl that I know of; it has, however, the one objection that all the old ladies on the train are likely to tell you what they think of Katherine Fullerton Gerould, or their rheumatism.
5189_37999_000012_000000	If you are compelled to go to the dining car alone, you will probably sit beside an Elk with white socks, who will call the waiter "George." Along about the second course he will say to you, "It's warm for September, isn't it?" to which you should answer "No." That will dispose of the Elk.	If you are compelled to go to the dining car alone, you will probably sit beside an Elk with white socks, who will call the waiter "George." Along about the second course he will say to you, "It's warm for September, isn't it?" to which you should answer "no" That will dispose of the Elk.
5189_37999_000013_000000	Across the table from you will be a Grand Army man and his wife, going to visit their boy Elmer's wife's folks in Schenectady.	Across the table from you will be a Grand Army man and his wife, going to visit their boy Elmer's wife's folks in Schenectady.
5189_37999_000013_000001	When the fish is served, the Grand Army man will choke on a bone.	When the fish is served, the Grand Army man will choke on a bone.
5189_37999_000013_000002	Let him choke, but do not be too hopeful, as the chances are that he will dislodge the bone. All will go well until the dessert, when his wife will begin telling how raspberry sherbet always disagrees with her.	Let him choke, but do not be too hopeful, as the chances are that he will dislodge the bone. All will go well until the dessert, when his wife will begin telling how raspberry sherbet always disagrees with her.
5189_37999_000013_000003	Offer her your raspberry sherbet.	Offer her your raspberry sherbet.
5189_37999_000014_000000	After dinner you may wish to read for a while, but the porter will probably have made up all the berths for the night.	After dinner you may wish to read for a while, but the porter will probably have made up all the berths for the night.
5189_37999_000014_000001	It will also be found that the light in your berth does not work, so you will be awake for a long time; finally, just as you are leaving Buffalo, you will at last get to sleep, and when you open your eyes again, you will be--in Buffalo.	It will also be found that the light in your berth does not work, so you will be awake for a long time; finally, just as you are leaving Buffalo, you will at last get to sleep, and when you open your eyes again, you will be-in Buffalo.
5189_37999_000015_000001	The next morning, tired but unhappy, you will reach New York.	The next morning, tired but unhappy, you will reach New York.
5189_37999_000016_000000	A JOURNEY AROUND NEW YORK	A JOURNEY AROUND NEW YORK
5189_37999_000017_000000	The Aquarium.	The Aquarium.
5189_37999_000017_000001	Take Fifth Avenue Bus to Times Square.	Take Fifth Avenue Bus to Times Square.
5189_37999_000017_000002	Transfer to 42nd Street Crosstown.	Transfer to forty second Street Crosstown.
5189_37999_000017_000003	Get off at 44th Street, and walk one block south to the Biltmore.	Get off at forty fourth Street, and walk one block south to the Biltmore.
5189_37999_000017_000004	The most interesting fish will be found underneath the hanging clock, near the telephone booths.	The most interesting fish will be found underneath the hanging clock, near the telephone booths.
5189_37999_000018_000000	Grant's Tomb.	Grant's Tomb.
5189_37999_000018_000001	Take Fifth Avenue bus, and a light lunch.	Take Fifth Avenue bus, and a light lunch.
5189_37999_000018_000004	Then return the same way you came, followed by three fast sets of tennis, a light supper and early to bed. If you do not feel better in the morning, cut out milk, fresh fruit and uncooked foods for a while.	Then return the same way you came, followed by three fast sets of tennis, a light supper and early to bed. If you do not feel better in the morning, cut out milk, fresh fruit and uncooked foods for a while.
5189_37999_000019_000000	Metropolitan Museum of Art.	Metropolitan Museum of Art.
5189_37999_000019_000001	Take Subway to Brooklyn. (Flatbush.) Then ask the subway guard where to go; he will tell you.	Take Subway to Brooklyn. (Flatbush.) Then ask the subway guard where to go; he will tell you.
5189_37999_000020_000000	The Bronx.	The Bronx.
5189_37999_000020_000001	Take three oranges, a lemon, three of gin, to one of vermouth, with a dash of bitters.	Take three oranges, a lemon, three of gin, to one of vermouth, with a dash of bitters.
5189_37999_000020_000002	Serve cold.	Serve cold.
5189_37999_000021_000000	The Ritz.	The Ritz.
5189_37999_000021_000001	Take taxicab and fifty dollars.	Take taxicab and fifty dollars.
5189_37999_000022_000000	Brooklyn Bridge.	Brooklyn Bridge.
5189_37999_000022_000001	Terrible.	Terrible.
5189_37999_000022_000002	And their auction is worse.	And their auction is worse.
5189_37999_000023_000000	When you have visited all these places, it will probably be time to take the train to your school.	When you have visited all these places, it will probably be time to take the train to your school.
5189_37999_000024_000000	THE FIRST DAYS IN THE NEW SCHOOL	THE FIRST DAYS IN THE NEW SCHOOL
5189_37999_000025_000000	The first week of school life is apt to be quite discouraging, and we can not too emphatically warn the young girl not to do anything rash under the influence of homesickness.	The first week of school life is apt to be quite discouraging, and we can not too emphatically warn the young girl not to do anything rash under the influence of homesickness.
5189_37999_000025_000002	We advise: Go slow at first.	We advise: Go slow at first.
5189_37999_000027_000000	In your first day at school you will be shown your room; in your room you will find a sad-eyed fat girl.	In your first day at school you will be shown your room; in your room you will find a sad eyed fat girl.
5189_37999_000027_000002	You will find that you have drawn a blank, that she comes from Topeka, Kan., that her paw made his money in oil, and that she is religious.	You will find that you have drawn a blank, that she comes from Topeka, Kan., that her paw made his money in oil, and that she is religious.
5189_37999_000027_000003	You will be nice to her for the first week, because you aren't taking any chances at the start; you will tolerate her for the rest of the year, because she will do your lessons for you every night.	You will be nice to her for the first week, because you aren't taking any chances at the start; you will tolerate her for the rest of the year, because she will do your lessons for you every night.
5189_37999_000028_000000	Across the hall from you there will be two older girls who are back for their second year.	Across the hall from you there will be two older girls who are back for their second year.
5189_37999_000028_000001	One of them will remind you of the angel painted on the ceiling of the Victory Theatre back home, until she starts telling about her summer at Narragansett; from the other you will learn how to inhale.	One of them will remind you of the angel painted on the ceiling of the Victory Theatre back home, until she starts telling about her summer at Narragansett; from the other you will learn how to inhale.
5189_37999_000029_000000	A VISITOR FROM PRINCETON	A VISITOR FROM PRINCETON
5189_37999_000030_000002	She sniffs at the "cousin" and tell's you that she must have a letter from Charley's father, one from Charley's minister, one from the governor of your state, and one from some disinterested party certifying that Charley has never been in the penitentiary, has never committed arson, and is a legitimate child.	She sniffs at the "cousin" and tell's you that she must have a letter from Charley's father, one from Charley's minister, one from the governor of your state, and one from some disinterested party certifying that Charley has never been in the penitentiary, has never committed arson, and is a legitimate child.
5189_37999_000031_000000	Charley will come and will be ushered into the reception room.	Charley will come and will be ushered into the reception room.
5189_37999_000031_000001	While he is sitting there alone, the entire school will walk slowly, one by one, past the open door and look in at him.	While he is sitting there alone, the entire school will walk slowly, one by one, past the open door and look in at him.
5189_37999_000031_000002	This will cause Charley to perspire freely and to wish to God he had worn his dark suit.	This will cause Charley to perspire freely and to wish to God he had worn his dark suit.
5189_37999_000032_000000	It is not at all likely that you will be allowed to go to New Haven during your first year, which is quite a pity, as this city, founded in 1638, is rich in historical interest.	It is not at all likely that you will be allowed to go to New Haven during your first year, which is quite a pity, as this city, founded in sixteen thirty eight, is rich in historical interest.
5189_37999_000032_000001	It was here, for example, in 1893, that Yale defeated Harvard at football, and the historic Pigskin which was used that day is still preserved intact.	It was here, for example, in eighteen ninety three, that Yale defeated Harvard at football, and the historic Pigskin which was used that day is still preserved intact.
5189_37999_000032_000002	Many other quaint relics are to be seen in and around the city of elms, mementos of the past which bring to the younger generation a knowledge and respect for things gone.	Many other quaint relics are to be seen in and around the city of elms, mementos of the past which bring to the younger generation a knowledge and respect for things gone.
5189_37999_000032_000003	In the month of June, for example, there is really nothing which quite conjures up for the college youth of today a sense of the mutability and impermanence of this mortal life so much as the sight of a member of the class of 1875 after three days' intensive drinking.	In the month of June, for example, there is really nothing which quite conjures up for the college youth of today a sense of the mutability and impermanence of this mortal life so much as the sight of a member of the class of eighteen seventy five after three days' intensive drinking.
5189_37999_000033_000001	A lady who has left town may send a brief note or a "P.	A lady who has left town may send a brief note or a "P.
5189_37999_000033_000002	P. C." ("pour prendre conge," i.e., "to take leave") card to a gentleman who remains at home, if the gentleman is her husband and if she has left town with his business partner.	p c" ("pour prendre conge," i e, "to take leave") card to a gentleman who remains at home, if the gentleman is her husband and if she has left town with his business partner.
