409_124990_000000_000000	CHAPTER IV.	CHAPTER four.
409_124990_000001_000000	OF THE LIMITS TO THE AUTHORITY OF SOCIETY OVER THE INDIVIDUAL.	OF THE LIMITS TO THE AUTHORITY OF SOCIETY OVER THE INDIVIDUAL.
409_124990_000002_000000	What, then, is the rightful limit to the sovereignty of the individual over himself?	What, then, is the rightful limit to the sovereignty of the individual over himself?
409_124990_000002_000002	How much of human life should be assigned to individuality, and how much to society?	How much of human life should be assigned to individuality, and how much to society?
409_124990_000003_000000	Each will receive its proper share, if each has that which more particularly concerns it.	Each will receive its proper share, if each has that which more particularly concerns it.
409_124990_000003_000001	To individuality should belong the part of life in which it is chiefly the individual that is interested; to society, the part which chiefly interests society.	To individuality should belong the part of life in which it is chiefly the individual that is interested; to society, the part which chiefly interests society.
409_124990_000004_000002	These conditions society is justified in enforcing, at all costs to those who endeavour to withhold fulfilment.	These conditions society is justified in enforcing, at all costs to those who endeavour to withhold fulfilment.
409_124990_000004_000007	But there is no room for entertaining any such question when a person's conduct affects the interests of no persons besides himself, or needs not affect them unless they like (all the persons concerned being of full age, and the ordinary amount of understanding).	But there is no room for entertaining any such question when a person's conduct affects the interests of no persons besides himself, or needs not affect them unless they like (all the persons concerned being of full age, and the ordinary amount of understanding).
409_124990_000004_000008	In all such cases there should be perfect freedom, legal and social, to do the action and stand the consequences.	In all such cases there should be perfect freedom, legal and social, to do the action and stand the consequences.
409_124990_000005_000002	But disinterested benevolence can find other instruments to persuade people to their good, than whips and scourges, either of the literal or the metaphorical sort.	But disinterested benevolence can find other instruments to persuade people to their good, than whips and scourges, either of the literal or the metaphorical sort.
409_124990_000005_000003	I am the last person to undervalue the self-regarding virtues; they are only second in importance, if even second, to the social.	I am the last person to undervalue the self regarding virtues; they are only second in importance, if even second, to the social.
409_124990_000005_000004	It is equally the business of education to cultivate both.	It is equally the business of education to cultivate both.
409_124990_000005_000005	But even education works by conviction and persuasion as well as by compulsion, and it is by the former only that, when the period of education is past, the self-regarding virtues should be inculcated.	But even education works by conviction and persuasion as well as by compulsion, and it is by the former only that, when the period of education is past, the self regarding virtues should be inculcated.
409_124990_000005_000006	Human beings owe to each other help to distinguish the better from the worse, and encouragement to choose the former and avoid the latter.	Human beings owe to each other help to distinguish the better from the worse, and encouragement to choose the former and avoid the latter.
409_124990_000005_000007	They should be for ever stimulating each other to increased exercise of their higher faculties, and increased direction of their feelings and aims towards wise instead of foolish, elevating instead of degrading, objects and contemplations.	They should be for ever stimulating each other to increased exercise of their higher faculties, and increased direction of their feelings and aims towards wise instead of foolish, elevating instead of degrading, objects and contemplations.
409_124990_000005_000008	But neither one person, nor any number of persons, is warranted in saying to another human creature of ripe years, that he shall not do with his life for his own benefit what he chooses to do with it.	But neither one person, nor any number of persons, is warranted in saying to another human creature of ripe years, that he shall not do with his life for his own benefit what he chooses to do with it.
409_124990_000005_000011	In this department, therefore, of human affairs, Individuality has its proper field of action.	In this department, therefore, of human affairs, Individuality has its proper field of action.
409_124990_000005_000013	Considerations to aid his judgment, exhortations to strengthen his will, may be offered to him, even obtruded on him, by others; but he himself is the final judge.	Considerations to aid his judgment, exhortations to strengthen his will, may be offered to him, even obtruded on him, by others; but he himself is the final judge.
409_124990_000005_000014	All errors which he is likely to commit against advice and warning, are far outweighed by the evil of allowing others to constrain him to what they deem his good.	All errors which he is likely to commit against advice and warning, are far outweighed by the evil of allowing others to constrain him to what they deem his good.
409_124990_000006_000001	This is neither possible nor desirable.	This is neither possible nor desirable.
409_124990_000006_000002	If he is eminent in any of the qualities which conduce to his own good, he is, so far, a proper object of admiration.	If he is eminent in any of the qualities which conduce to his own good, he is, so far, a proper object of admiration.
409_124990_000006_000003	He is so much the nearer to the ideal perfection of human nature.	He is so much the nearer to the ideal perfection of human nature.
409_124990_000006_000007	It would be well, indeed, if this good office were much more freely rendered than the common notions of politeness at present permit, and if one person could honestly point out to another that he thinks him in fault, without being considered unmannerly or presuming.	It would be well, indeed, if this good office were much more freely rendered than the common notions of politeness at present permit, and if one person could honestly point out to another that he thinks him in fault, without being considered unmannerly or presuming.
409_124990_000006_000008	We have a right, also, in various ways, to act upon our unfavourable opinion of any one, not to the oppression of his individuality, but in the exercise of ours.	We have a right, also, in various ways, to act upon our unfavourable opinion of any one, not to the oppression of his individuality, but in the exercise of ours.
409_124990_000006_000010	We have a right, and it may be our duty, to caution others against him, if we think his example or conversation likely to have a pernicious effect on those with whom he associates.	We have a right, and it may be our duty, to caution others against him, if we think his example or conversation likely to have a pernicious effect on those with whom he associates.
409_124990_000006_000011	We may give others a preference over him in optional good offices, except those which tend to his improvement.	We may give others a preference over him in optional good offices, except those which tend to his improvement.
409_124990_000006_000012	In these various modes a person may suffer very severe penalties at the hands of others, for faults which directly concern only himself; but he suffers these penalties only in so far as they are the natural, and, as it were, the spontaneous consequences of the faults themselves, not because they are purposely inflicted on him for the sake of punishment.	In these various modes a person may suffer very severe penalties at the hands of others, for faults which directly concern only himself; but he suffers these penalties only in so far as they are the natural, and, as it were, the spontaneous consequences of the faults themselves, not because they are purposely inflicted on him for the sake of punishment.
409_124990_000007_000004	They may be proofs of any amount of folly, or want of personal dignity and self-respect; but they are only a subject of moral reprobation when they involve a breach of duty to others, for whose sake the individual is bound to have care for himself.	They may be proofs of any amount of folly, or want of personal dignity and self respect; but they are only a subject of moral reprobation when they involve a breach of duty to others, for whose sake the individual is bound to have care for himself.
409_124990_000007_000005	What are called duties to ourselves are not socially obligatory, unless circumstances render them at the same time duties to others.	What are called duties to ourselves are not socially obligatory, unless circumstances render them at the same time duties to others.
