5319_64075_000003_000000	CHAPTER XVIII.	CHAPTER eighteen.
5319_64075_000004_000000	THE DOG ON THE TRAP LINE.	THE DOG ON THE TRAP LINE.
5319_64075_000006_000000	Now, we will say first that there is as much or more difference in the man who handles the dog as there is in the different breeds of dogs.	Now, we will say first that there is as much or more difference in the man who handles the dog as there is in the different breeds of dogs.
5319_64075_000006_000001	We have heard men say that they wanted no dog on the trap line with them, and that they didn't believe that any one who did want a dog on the trap line knew but very little about trapping at the best.	We have heard men say that they wanted no dog on the trap line with them, and that they didn't believe that any one who did want a dog on the trap line knew but very little about trapping at the best.
5319_64075_000007_000000	Now those are the views and ideas of some trappers, while my experience has led me to see it otherwise.	Now those are the views and ideas of some trappers, while my experience has led me to see it otherwise.
5319_64075_000007_000001	One who is so constituted that they must give a dog the growl or perhaps a kick every time they come in reach, will undoubtedly find a dog of but little use on the trap line.	One who is so constituted that they must give a dog the growl or perhaps a kick every time they come in reach, will undoubtedly find a dog of but little use on the trap line.
5319_64075_000007_000002	We have known some dogs to refuse to eat, and would lay out where they could watch in the direction in which their master had gone and piteously howl for hours, waiting the return of the master and friend.	We have known some dogs to refuse to eat, and would lay out where they could watch in the direction in which their master had gone and piteously howl for hours, waiting the return of the master and friend.
5319_64075_000007_000003	I have seen other dogs that would take for the barn or any other place to get out of the way at the first sight or sound of their master.	I have seen other dogs that would take for the barn or any other place to get out of the way at the first sight or sound of their master.
5319_64075_000008_000000	I have seen men training dogs for bird hunting, who would treat the dog most cruelly and claim that a dog could not be trained to work a bird successfully under any other treatment.	I have seen men training dogs for bird hunting, who would treat the dog most cruelly and claim that a dog could not be trained to work a bird successfully under any other treatment.
5319_64075_000008_000001	Though I have seen others train the same breed of dogs to work a bird to perfection and that their most harsh treatment would be a tap or two with a little switch.	Though I have seen others train the same breed of dogs to work a bird to perfection and that their most harsh treatment would be a tap or two with a little switch.
5319_64075_000008_000002	I will say that one who cannot understand the wag of a dog's tail, the wistful gaze of the eye, the quick lifting of the ears, the cautious raising of a foot, and above all, treat his dog as a friend, need expect his dog to be but little else than a nuisance on the trap line.	I will say that one who cannot understand the wag of a dog's tail, the wistful gaze of the eye, the quick lifting of the ears, the cautious raising of a foot, and above all, treat his dog as a friend, need expect his dog to be but little else than a nuisance on the trap line.
5319_64075_000009_000000	Several years ago I had a partner who had a dog, part stag hound and the other part just dog, I think.	Several years ago I had a partner who had a dog, part stag hound and the other part just dog, I think.
5319_64075_000009_000001	One day he (my partner) asked if I would object to his bringing the dog to camp, saying that his wife was going on a visit and he had no place to leave the dog.	One day he (my partner) asked if I would object to his bringing the dog to camp, saying that his wife was going on a visit and he had no place to leave the dog.
5319_64075_000009_000002	I told him that if he had a good dog I would be glad to have him in camp.	I told him that if he had a good dog I would be glad to have him in camp.
5319_64075_000009_000003	In a day or two pard went home and brought in the dog.	In a day or two pard went home and brought in the dog.
5319_64075_000009_000005	I asked if the animal was any good and he replied that he did not know how good he was.	I asked if the animal was any good and he replied that he did not know how good he was.
5319_64075_000009_000006	I asked the name of the dog.	I asked the name of the dog.
5319_64075_000009_000007	He said, "Oh, I call him Pont." I spoke to the dog, calling him by name.	He said, "Oh, I call him Pont." I spoke to the dog, calling him by name.
5319_64075_000009_000008	He looked at me wistfully, wagging his tail.	He looked at me wistfully, wagging his tail.
5319_64075_000009_000009	The look that dog gave me said to me as plainly as words that this was the first kind word he had ever heard.	The look that dog gave me said to me as plainly as words that this was the first kind word he had ever heard.
5319_64075_000010_000000	We went inside and the dog started to follow, when his master in a harsh voice said, "get out of here." I said, "where do you expect the dog to go?" I then took an old coat that was in the camp, placed it in the corner and called gently to Pont, patted the coat and told him to lay down on the coat, which he did.	We went inside and the dog started to follow, when his master in a harsh voice said, "get out of here." I said, "where do you expect the dog to go?" I then took an old coat that was in the camp, placed it in the corner and called gently to Pont, patted the coat and told him to lay down on the coat, which he did.
5319_64075_000010_000001	I patted him saying that is a good place for Pont, and I can see that wistful gaze the dog gave me, now.	I patted him saying that is a good place for Pont, and I can see that wistful gaze the dog gave me, now.
5319_64075_000010_000002	After we had our supper I asked my partner if he wasn't going to fix Pont some supper.	After we had our supper I asked my partner if he wasn't going to fix Pont some supper.
5319_64075_000010_000003	"Oh, after a while I will see if I can't find something for him." I took a biscuit from the table, spread some butter on it, called the dog to me, broke the biscuit in pieces, and gave it to the dog from my hand; then I found an old basin that chanced to be about the camp and fixed the dog a good supper.	"Oh, after a while I will see if I can't find something for him." I took a biscuit from the table, spread some butter on it, called the dog to me, broke the biscuit in pieces, and gave it to the dog from my hand; then I found an old basin that chanced to be about the camp and fixed the dog a good supper.
5319_64075_000011_000000	After the dog had finished his supper I went to the coat in the corner, spoke gently to Pont, patted the coat, and told him to lay down on the coat.	After the dog had finished his supper I went to the coat in the corner, spoke gently to Pont, patted the coat, and told him to lay down on the coat.
5319_64075_000011_000001	That was the end of that, Pont knew his place and took it without any further trouble.	That was the end of that, Pont knew his place and took it without any further trouble.
5319_64075_000012_000000	The next morning when we were about ready to start out on the trap line I asked Pard what he intended to do with Pont.	The next morning when we were about ready to start out on the trap line I asked Pard what he intended to do with Pont.
5319_64075_000012_000001	He said that he would tie him to a tree that stood against the shanty close to the door.	He said that he would tie him to a tree that stood against the shanty close to the door.
5319_64075_000012_000002	We were going to take different lines of traps.	We were going to take different lines of traps.
5319_64075_000012_000003	I said, "What is the harm of Pont's going with me?" "All right, if you want him, I don't want any dog with me." I said, Am, (that was Pard's given name, for short) I don't believe the dog wants to go with you any more than you want him to.	I said, "What is the harm of Pont's going with me?" "All right, if you want him, I don't want any dog with me." I said, Am, (that was Pard's given name, for short) I don't believe the dog wants to go with you any more than you want him to.
5319_64075_000012_000004	Am's reply was that he guessed he would go all right if he wanted him.	Am's reply was that he guessed he would go all right if he wanted him.
5319_64075_000012_000005	I said.	I said.
5319_64075_000012_000006	Am, just for shucks, say nothing to the dog and see which one he will follow.	Am, just for shucks, say nothing to the dog and see which one he will follow.
5319_64075_000012_000007	So we stepped outside the shack and the dog stood close to me.	So we stepped outside the shack and the dog stood close to me.
5319_64075_000013_000000	I said, "Go on Am, and we will see who the dog will follow." He started off and the dog only looked at him.	I said, "Go on Am, and we will see who the dog will follow." He started off and the dog only looked at him.
5319_64075_000013_000001	Am stopped and told the dog to come on.	Am stopped and told the dog to come on.
5319_64075_000013_000002	The dog got around behind me.	The dog got around behind me.
5319_64075_000015_000000	I started on my way, Pont following after I had gone a little ways.	I started on my way, Pont following after I had gone a little ways.
5319_64075_000015_000001	I spoke to Pont, patting him on the head and told him what a good dog he was.	I spoke to Pont, patting him on the head and told him what a good dog he was.
5319_64075_000015_000002	He jumped about and showed more ways than one how pleased he was, and from that day until we broke camp, Pont stayed with me.	He jumped about and showed more ways than one how pleased he was, and from that day until we broke camp, Pont stayed with me.
5319_64075_000015_000003	He showed plainly the disgust he had for his master.	He showed plainly the disgust he had for his master.
5319_64075_000016_000002	Pont showed what pride he took in the hunt, so much so that he did not like to have Am go near the pelt.	Pont showed what pride he took in the hunt, so much so that he did not like to have Am go near the pelt.
5319_64075_000016_000003	I saw from the very first day out that all that Pont needed was kind treatment and proper training to make a good help on the trap line.	I saw from the very first day out that all that Pont needed was kind treatment and proper training to make a good help on the trap line.
5319_64075_000017_000000	I was careful to let him know what I was doing when setting a trap, and when he would go to smell at the bait after a trap had been set, I would speak to him in a firm voice and let him know that I did not approve of what he was doing.	I was careful to let him know what I was doing when setting a trap, and when he would go to smell at the bait after a trap had been set, I would speak to him in a firm voice and let him know that I did not approve of what he was doing.
5319_64075_000017_000001	When making blind sets, I took the same pains to show and give him to understand what I was doing.	When making blind sets, I took the same pains to show and give him to understand what I was doing.
5319_64075_000017_000002	I would sometimes, after giving him fair warning, let him put his foot into a trap.	I would sometimes, after giving him fair warning, let him put his foot into a trap.
5319_64075_000017_000004	Then all the time I was resetting the trap I would talk trap to him, and by action and word teach him the nature of the trap.	Then all the time I was resetting the trap I would talk trap to him, and by action and word teach him the nature of the trap.
5319_64075_000017_000005	Mr. Trapper, please do not persuade yourself to believe that the intelligent dog cannot understand if you go about it right.	mr Trapper, please do not persuade yourself to believe that the intelligent dog cannot understand if you go about it right.
5319_64075_000018_000001	The third day Pont was with me he found a 'coon that had escaped with a trap nearly two weeks before.	The third day Pont was with me he found a 'coon that had escaped with a trap nearly two weeks before.
5319_64075_000018_000002	My route called me up a little draw from the main stream.	My route called me up a little draw from the main stream.
5319_64075_000018_000003	I had not gone far up this when Pont took the trail of some animal and began working it up the side of the hill.	I had not gone far up this when Pont took the trail of some animal and began working it up the side of the hill.
5319_64075_000018_000005	He soon raised his head and gave a long howl, as much as to say he is here and I want help.	He soon raised his head and gave a long howl, as much as to say he is here and I want help.
5319_64075_000018_000006	After running a stick in the hole I soon discovered that the log was hollow.	After running a stick in the hole I soon discovered that the log was hollow.
5319_64075_000018_000008	Pont soon had the 'coon out, and when I saw it was the 'coon that had escaped with our trap, I gave Pont praise for what he had done, petting him and telling him of his good deed, and he seemed to understand it all.	Pont soon had the 'coon out, and when I saw it was the 'coon that had escaped with our trap, I gave Pont praise for what he had done, petting him and telling him of his good deed, and he seemed to understand it all.
5319_64075_000019_000000	Not long after this Am came into camp at night and reported that a fox had broken the chain on a certain trap and gone off with the trap, saying that he would take Pont in the morning and see if he could find the fox.	Not long after this Am came into camp at night and reported that a fox had broken the chain on a certain trap and gone off with the trap, saying that he would take Pont in the morning and see if he could find the fox.
5319_64075_000019_000001	In the morning when we were ready to go Am tried to have Pont follow him, but it was no go, Pont would not go with him.	In the morning when we were ready to go Am tried to have Pont follow him, but it was no go, Pont would not go with him.
