7515_220980_000000_000000	But if he who has been struck pardons and forgives, he shows the greatest mercy.	But if he who has been struck pardons and forgives, he shows the greatest mercy.	false	0	10.785	24.356607
7515_220980_000000_000001	This is worthy of admiration.	This is worthy of admiration.	false	10.785	18.645	22.75938
7515_220980_000001_000000	77: THE RIGHT METHOD OF TREATING CRIMINALS	seventy seven: THE RIGHT METHOD OF TREATING CRIMINALS	true	18.645	23.08	24.26362
7515_220980_000002_000000	Question.--Should a criminal be punished, or forgiven and his crime overlooked?	Question.--Should a criminal be punished, or forgiven and his crime overlooked?	false	24.5	31.89	25.321842
7515_220980_000003_000000	Answer.--There are two sorts of retributory punishments.	Answer.--There are two sorts of retributory punishments.	true	31.89	37.21	25.20839
7515_220980_000003_000001	One is vengeance, the other, chastisement.	One is vengeance, the other, chastisement.	true	37.61	41.47	25.150305
7515_220980_000003_000002	Man has not the right to take vengeance, but the community has the right to punish the criminal; and this punishment is intended to warn and to prevent so that no other person will dare to commit a like crime.	Man has not the right to take vengeance, but the community has the right to punish the criminal; and this punishment is intended to warn and to prevent so that no other person will dare to commit a like crime.	true	42.11	58.9	25.337448
7515_220980_000003_000003	This punishment is for the protection of man's rights, but it is not vengeance; vengeance appeases the anger of the heart by opposing one evil to another.	This punishment is for the protection of man's rights, but it is not vengeance; vengeance appeases the anger of the heart by opposing one evil to another.	true	59.42	71.98	24.333662
7515_220980_000003_000004	This is not allowable, for man has not the right to take vengeance.	This is not allowable, for man has not the right to take vengeance.	true	72.35	77.8	23.205906
7515_220980_000003_000005	But if criminals were entirely forgiven, the order of the world would be upset.	But if criminals were entirely forgiven, the order of the world would be upset.	true	78.47	84.55	26.287632
7515_220980_000003_000006	So punishment is one of the essential necessities for the safety of communities, but he who is oppressed by a transgressor has not the right to take vengeance.	So punishment is one of the essential necessities for the safety of communities, but he who is oppressed by a transgressor has not the right to take vengeance.	true	85.04	98.02	23.734324
7515_220980_000003_000007	On the contrary, he should forgive and pardon, for this is worthy of the world of man.	On the contrary, he should forgive and pardon, for this is worthy of the world of man.	true	98.39	105.58	24.428726
7515_220980_000004_000000	The communities must punish the oppressor, the murderer, the malefactor, so as to warn and restrain others from committing like crimes.	The communities must punish the oppressor, the murderer, the malefactor, so as to warn and restrain others from committing like crimes.	true	106.73	117.58	24.357077
7515_220980_000004_000001	But the most essential thing is that the people must be educated in such a way that no crimes will be committed; for it is possible to educate the masses so effectively that they will avoid and shrink from perpetrating crimes, so that the crime itself will appear to them as the greatest chastisement, the utmost condemnation and torment.	But the most essential thing is that the people must be educated in such a way that no crimes will be committed; for it is possible to educate the masses so effectively that they will avoid and shrink from perpetrating crimes, so that the crime itself will appear to them as the greatest chastisement, the utmost condemnation and torment.	true	118.31	145.12	24.627588
7515_220980_000004_000002	Therefore, no crimes which require punishment will be committed.	Therefore, no crimes which require punishment will be committed.	true	145.7	151.18	25.734241
7515_220980_000005_000000	We must speak of things that are possible of performance in this world. There are many theories and high ideas on this subject, but they are not practicable; consequently, we must speak of things that are feasible.	We must speak of things that are possible of performance in this world. There are many theories and high ideas on this subject, but they are not practicable; consequently, we must speak of things that are feasible.	true	152.15	169.63	24.344141
7515_220980_000006_000000	For example, if someone oppresses, injures and wrongs another, and the wronged man retaliates, this is vengeance and is censurable.	For example, if someone oppresses, injures and wrongs another, and the wronged man retaliates, this is vengeance and is censurable.	true	170.21	182.05	23.422682
7515_220980_000006_000001	If the son of 'Amr kills the son of Zayd, Zayd has not the right to kill the son of 'Amr; if he does so, this is vengeance.	If the son of 'Amr kills the son of Zayd, Zayd has not the right to kill the son of 'Amr; if he does so, this is vengeance.	false	182.84	194.14	24.921926
7515_220980_000006_000002	If 'Amr dishonors Zayd, the latter has not the right to dishonor 'Amr; if he does so, this is vengeance, and it is very reprehensible.	If 'Amr dishonors Zayd, the latter has not the right to dishonor 'Amr; if he does so, this is vengeance, and it is very reprehensible.	false	194.78	206.08	24.296251
7515_220980_000006_000003	No, rather he must return good for evil, and not only forgive, but also, if possible, be of service to his oppressor.	No, rather he must return good for evil, and not only forgive, but also, if possible, be of service to his oppressor.	true	206.75	217.84	23.845972
