1649_150127_000002_000000	CHAPTER 14	CHAPTER fourteen
1649_150127_000003_000000	If Myles fancied that one single victory over his enemy would cure the evil against which he fought, he was grievously mistaken; wrongs are not righted so easily as that.	If Myles fancied that one single victory over his enemy would cure the evil against which he fought, he was grievously mistaken; wrongs are not righted so easily as that.
1649_150127_000003_000002	Other and far more bitter battles lay before him ere he could look around him and say, "I have won the victory."	Other and far more bitter battles lay before him ere he could look around him and say, "I have won the victory."
1649_150127_000004_000000	For a day--for two days--the bachelors were demoralized at the fall of their leader, and the Knights of the Rose were proportionately uplifted.	For a day-for two days-the bachelors were demoralized at the fall of their leader, and the Knights of the Rose were proportionately uplifted.
1649_150127_000005_000000	The day that Blunt met his fall, the wooden tank in which the water had been poured every morning was found to have been taken away.	The day that Blunt met his fall, the wooden tank in which the water had been poured every morning was found to have been taken away.
1649_150127_000005_000001	The bachelors made a great show of indignation and inquiry.	The bachelors made a great show of indignation and inquiry.
1649_150127_000005_000003	If they did but know, he should smart for it.	If they did but know, he should smart for it.
1649_150127_000007_000001	No one doubted that Wilkes had spoken the truth in his taunt, and that the bachelors had indeed stolen their own tank.	No one doubted that Wilkes had spoken the truth in his taunt, and that the bachelors had indeed stolen their own tank.
1649_150127_000007_000002	So no more water was ever carried for the head squires, but it was plain to see that the war for the upperhand was not yet over.	So no more water was ever carried for the head squires, but it was plain to see that the war for the upperhand was not yet over.
1649_150127_000008_000000	Even if Myles had entertained comforting thoughts to the contrary, he was speedily undeceived.	Even if Myles had entertained comforting thoughts to the contrary, he was speedily undeceived.
1649_150127_000009_000000	"Holloa, Falworth!" they cried.	"Holloa, Falworth!" they cried.
1649_150127_000009_000001	"Knowest thou that Blunt is nigh well again?"	"Knowest thou that Blunt is nigh well again?"
1649_150127_000010_000001	But I am right glad to hear it."	But I am right glad to hear it."
1649_150127_000011_000000	"Thou wilt sing a different song anon," said one of the bachelors.	"Thou wilt sing a different song anon," said one of the bachelors.
1649_150127_000012_000002	Only this morning he told Philip Mowbray that he would have thy blood for the fall thou gavest him.	Only this morning he told Philip Mowbray that he would have thy blood for the fall thou gavest him.
1649_150127_000012_000003	Look to thyself, Falworth; he cometh again Wednesday or Thursday next; thou standest in a parlous state."	Look to thyself, Falworth; he cometh again Wednesday or Thursday next; thou standest in a parlous state."
1649_150127_000014_000000	"I know not," said Myles, boldly; "but I fear him not." Nevertheless his heart was heavy with the weight of impending ill.	"I know not," said Myles, boldly; "but I fear him not." Nevertheless his heart was heavy with the weight of impending ill.
1649_150127_000016_000001	"Blunt cometh again to-morrow day."	"Blunt cometh again to morrow day."
1649_150127_000017_000000	Myles saw Gascoyne direct a sharp glance at him; but he answered nothing either to his enemy's words or his friend's look.	Myles saw Gascoyne direct a sharp glance at him; but he answered nothing either to his enemy's words or his friend's look.
1649_150127_000018_000000	As the bachelor had said, Blunt came the next morning.	As the bachelor had said, Blunt came the next morning.
1649_150127_000018_000002	Myles was sitting on a bench along the wall, talking and jesting with some who stood by, when of a sudden his heart gave a great leap within him.	Myles was sitting on a bench along the wall, talking and jesting with some who stood by, when of a sudden his heart gave a great leap within him.
1649_150127_000019_000000	It was Walter Blunt.	It was Walter Blunt.
1649_150127_000019_000001	He came walking in at the door as if nothing had passed, and at his unexpected coming the hubbub of talk and laughter was suddenly checked.	He came walking in at the door as if nothing had passed, and at his unexpected coming the hubbub of talk and laughter was suddenly checked.
1649_150127_000019_000002	Even Myles stopped in his speech for a moment, and then continued with a beating heart and a carelessness of manner that was altogether assumed.	Even Myles stopped in his speech for a moment, and then continued with a beating heart and a carelessness of manner that was altogether assumed.
1649_150127_000019_000003	In his hand Blunt carried the house orders for the day, and without seeming to notice Myles, he opened it and read the list of those called upon for household service.	In his hand Blunt carried the house orders for the day, and without seeming to notice Myles, he opened it and read the list of those called upon for household service.
