512_124520_000000_000000	VI	VI	false	0	0.45	-20
512_124520_000001_000000	The week after, the Chet Dashaways gave a party.	The week after, the Chet Dashaways gave a party.	false	0.45	4.89	20.527205
512_124520_000001_000001	The circle of mourners kept its place all evening, and Dave Dyer did the "stunt" of the Norwegian and the hen.	The circle of mourners kept its place all evening, and Dave Dyer did the "stunt" of the Norwegian and the hen.	false	4.89	15.33	25.079937
512_124520_000002_000000	CHAPTER VII	CHAPTER seven	false	15.33	17.91	21.30143
512_124520_000003_000000	I	I	false	17.91	19.59	-20
512_124520_000004_000000	GOPHER PRAIRIE was digging in for the winter.	GOPHER PRAIRIE was digging in for the winter.	true	19.59	22.12	22
512_124520_000004_000001	Through late November and all December it snowed daily; the thermometer was at zero and might drop to twenty below, or thirty.	Through late November and all December it snowed daily; the thermometer was at zero and might drop to twenty below, or thirty.	true	22.55	31	23.847511
512_124520_000004_000002	Winter is not a season in the North Middlewest; it is an industry.	Winter is not a season in the North Middlewest; it is an industry.	true	32.06	36.67	20.52385
512_124520_000004_000003	Storm sheds were erected at every door. In every block the householders, Sam Clark, the wealthy Mr. Dawson, all save asthmatic Ezra Stowbody who extravagantly hired a boy, were seen perilously staggering up ladders, carrying storm windows and screwing them to second-story jambs.	Storm sheds were erected at every door. In every block the householders, Sam Clark, the wealthy mr Dawson, all save asthmatic ezra Stowbody who extravagantly hired a boy, were seen perilously staggering up ladders, carrying storm windows and screwing them to second story jambs.	true	37.4	57.37	21.482897
512_124520_000004_000004	While Kennicott put up his windows Carol danced inside the bedrooms and begged him not to swallow the screws, which he held in his mouth like an extraordinary set of external false teeth.	While Kennicott put up his windows Carol danced inside the bedrooms and begged him not to swallow the screws, which he held in his mouth like an extraordinary set of external false teeth.	true	57.8	68.74	22
512_124520_000005_000000	The universal sign of winter was the town handyman--Miles Bjornstam, a tall, thick, red-mustached bachelor, opinionated atheist, general-store arguer, cynical Santa Claus.	The universal sign of winter was the town handyman-Miles Bjornstam, a tall, thick, red mustached bachelor, opinionated atheist, general store arguer, cynical Santa Claus.	false	68.84	81.4	22.361763
512_124520_000005_000001	Children loved him, and he sneaked away from work to tell them improbable stories of sea-faring and horse-trading and bears.	Children loved him, and he sneaked away from work to tell them improbable stories of sea faring and horse trading and bears.	true	81.68	88.6	17
512_124520_000005_000002	The children's parents either laughed at him or hated him.	The children's parents either laughed at him or hated him.	true	89.12	92.26	24.909056
512_124520_000005_000003	He was the one democrat in town.	He was the one democrat in town.	true	92.75	94.81	23.454819
512_124520_000005_000004	He called both Lyman Cass the miller and the Finn homesteader from Lost Lake by their first names. He was known as "The Red Swede," and considered slightly insane.	He called both Lyman Cass the miller and the Finn homesteader from Lost Lake by their first names. He was known as "The Red Swede," and considered slightly insane.	true	95.12	105.13	23.383041
512_124520_000006_000000	Bjornstam could do anything with his hands--solder a pan, weld an automobile spring, soothe a frightened filly, tinker a clock, carve a Gloucester schooner which magically went into a bottle.	Bjornstam could do anything with his hands-solder a pan, weld an automobile spring, soothe a frightened filly, tinker a clock, carve a Gloucester schooner which magically went into a bottle.	true	106.25	118.78	23.167212
512_124520_000006_000001	Now, for a week, he was commissioner general of Gopher Prairie.	Now, for a week, he was commissioner general of Gopher Prairie.	true	119.27	123.58	22.970167
512_124520_000006_000002	He was the only person besides the repairman at Sam Clark's who understood plumbing.	He was the only person besides the repairman at Sam Clark's who understood plumbing.	true	123.92	129.13	22
512_124520_000006_000003	Everybody begged him to look over the furnace and the water-pipes.	Everybody begged him to look over the furnace and the water pipes.	false	129.77	133.36	20
512_124520_000006_000004	He rushed from house to house till after bedtime--ten o'clock.	He rushed from house to house till after bedtime-ten o'clock.	true	133.55	137.47	22.890678
512_124520_000006_000005	Icicles from burst water-pipes hung along the skirt of his brown dog-skin overcoat; his plush cap, which he never took off in the house, was a pulp of ice and coal-dust; his red hands were cracked to rawness; he chewed the stub of a cigar.	Icicles from burst water pipes hung along the skirt of his brown dog skin overcoat; his plush cap, which he never took off in the house, was a pulp of ice and coal dust; his red hands were cracked to rawness; he chewed the stub of a cigar.	true	137.99	154.33	24.059952
512_124520_000007_000000	But he was courtly to Carol.	But he was courtly to Carol.	true	155.39	157.48	30.303059
512_124520_000007_000001	He stooped to examine the furnace flues; he straightened, glanced down at her, and hemmed, "Got to fix your furnace, no matter what else I do."	He stooped to examine the furnace flues; he straightened, glanced down at her, and hemmed, "Got to fix your furnace, no matter what else I do."	true	157.85	166.57	22.548983
512_124520_000008_000000	The poorer houses of Gopher Prairie, where the services of Miles Bjornstam were a luxury--which included the shanty of Miles Bjornstam--were banked to the lower windows with earth and manure.	The poorer houses of Gopher Prairie, where the services of Miles Bjornstam were a luxury-which included the shanty of Miles Bjornstam-were banked to the lower windows with earth and manure.	true	167.84	179.22	19.735119
512_124520_000008_000001	Along the railroad the sections of snow fence, which had been stacked all summer in romantic wooden tents occupied by roving small boys, were set up to prevent drifts from covering the track.	Along the railroad the sections of snow fence, which had been stacked all summer in romantic wooden tents occupied by roving small boys, were set up to prevent drifts from covering the track.	true	179.22	190.9	20
512_124520_000009_000000	The farmers came into town in home-made sleighs, with bed-quilts and hay piled in the rough boxes.	The farmers came into town in home-made sleighs, with bed quilts and hay piled in the rough boxes.	true	191.66	197.35	15
512_124520_000010_000000	Fur coats, fur caps, fur mittens, overshoes buckling almost to the knees, gray knitted scarfs ten feet long, thick woolen socks, canvas jackets lined with fluffy yellow wool like the plumage of ducklings, moccasins, red flannel wristlets for the blazing chapped wrists of boys--these protections against winter were busily dug out of moth-ball-sprinkled drawers and tar-bags in closets, and all over town small boys were squealing, "Oh, there's my mittens!" or "Look at my shoe-packs!" There is so sharp a division between the panting summer and the stinging winter of the Northern plains that they rediscovered with surprise and a feeling of heroism this armor of an Artic explorer.	Fur coats, fur caps, fur mittens, overshoes buckling almost to the knees, gray knitted scarfs ten feet long, thick woolen socks, canvas jackets lined with fluffy yellow wool like the plumage of ducklings, moccasins, red flannel wristlets for the blazing chapped wrists of boys-these protections against winter were busily dug out of moth ball sprinkled drawers and tar bags in closets, and all over town small boys were squealing, "Oh, there's my mittens!" or "Look at my shoe packs!" There is so sharp a division between the panting summer and the stinging winter of the Northern plains that they rediscovered with surprise and a feeling of heroism this armor of an Artic explorer.	true	198.2	242.2	23.366901
512_124520_000011_000000	Winter garments surpassed even personal gossip as the topic at parties. It was good form to ask, "Put on your heavies yet?" There were as many distinctions in wraps as in motor cars.	Winter garments surpassed even personal gossip as the topic at parties. It was good form to ask, "Put on your heavies yet?" There were as many distinctions in wraps as in motor cars.	true	242.51	254.71	22.260675
512_124520_000011_000001	The lesser sort appeared in yellow and black dogskin coats, but Kennicott was lordly in a long raccoon ulster and a new seal cap.	The lesser sort appeared in yellow and black dogskin coats, but Kennicott was lordly in a long raccoon ulster and a new seal cap.	true	254.99	263.53	23.70021
512_124520_000011_000002	When the snow was too deep for his motor he went off on country calls in a shiny, floral, steel-tipped cutter, only his ruddy nose and his cigar emerging from the fur.	When the snow was too deep for his motor he went off on country calls in a shiny, floral, steel tipped cutter, only his ruddy nose and his cigar emerging from the fur.	true	263.57	273.79	19
512_124520_000012_000000	Carol herself stirred Main Street by a loose coat of nutria.	Carol herself stirred Main Street by a loose coat of nutria.	true	274.49	278.4	21
512_124520_000012_000001	Her finger-tips loved the silken fur.	Her finger tips loved the silken fur.	true	278.4	280.81	17
512_124520_000013_000000	Her liveliest activity now was organizing outdoor sports in the motor-paralyzed town.	Her liveliest activity now was organizing outdoor sports in the motor paralyzed town.	true	281.45	286.72	15
512_124520_000014_000000	The automobile and bridge-whist had not only made more evident the social divisions in Gopher Prairie but they had also enfeebled the love of activity.	The automobile and bridge whist had not only made more evident the social divisions in Gopher Prairie but they had also enfeebled the love of activity.	false	287.3	296.32	19.299814
