3816_19585_000000_000000	"Oh, sir, I am not content; I cannot be content!	"Oh, sir, I am not content; I cannot be content!	false	0	0	
3816_19585_000000_000001	I cannot bear to think what I have done.	I cannot bear to think what I have done.	false	0	0.03	4
3816_19585_000000_000002	I shall never again be able to look in the face of the best of masters and the best of men.	I shall never again be able to look in the face of the best of masters and the best of men.	false	0.03	0.06	-20
3816_19585_000000_000003	I beg of you, sir, to turn me out of your service.	I beg of you, sir, to turn me out of your service.	false	0.06	0.09	-20
3816_19585_000000_000004	Let me go and hide myself where I may never see you more."	Let me go and hide myself where I may never see you more."	false	0.09	0.12	-20
3816_19585_000001_000000	Mr. Falkland's countenance had indicated great severity through the whole of this conversation; but now it became more harsh and tempestuous than ever.	mr Falkland's countenance had indicated great severity through the whole of this conversation; but now it became more harsh and tempestuous than ever.	false	0.12	0.18	-20
3816_19585_000001_000001	"How now, rascal!" cried he.	"How now, rascal!" cried he.	false	0.18	0.18	
3816_19585_000001_000002	"You want to leave me, do you? Who told you that I wished to part with you?	"You want to leave me, do you? Who told you that I wished to part with you?	false	0.18	0.24	-20
3816_19585_000001_000003	But you cannot bear to live with such a miserable wretch as I am!	But you cannot bear to live with such a miserable wretch as I am!	false	0.24	0.27	-20
3816_19585_000001_000004	You are not disposed to put up with the caprices of a man so dissatisfied and unjust!"	You are not disposed to put up with the caprices of a man so dissatisfied and unjust!"	false	0.27	0.3	-20
3816_19585_000002_000000	"Oh, sir! do not talk to me thus!	"Oh, sir! do not talk to me thus!	false	0.3	0.3	
3816_19585_000002_000001	Do with me any thing you will.	Do with me any thing you will.	false	0.3	0.33	-20
3816_19585_000002_000002	Kill me if you please."	Kill me if you please."	false	0.33	0.33	
3816_19585_000003_000000	"Kill you!" [Volumes could not describe the emotions with which this echo of my words was given and received.]	"Kill you!" [Volumes could not describe the emotions with which this echo of my words was given and received.]	false	0.33	1.56	18
3816_19585_000004_000000	"Sir, I could die to serve you!	"Sir, I could die to serve you!	false	1.56	1.89	29.991419
3816_19585_000004_000001	I love you more than I can express.	I love you more than I can express.	false	1.89	2.28	29
3816_19585_000004_000002	I worship you as a being of a superior nature.	I worship you as a being of a superior nature.	false	2.28	2.88	16
3816_19585_000004_000003	I am foolish, raw, inexperienced,--worse than any of these;--but never did a thought of disloyalty to your service enter into my heart."	I am foolish, raw, inexperienced,--worse than any of these;--but never did a thought of disloyalty to your service enter into my heart."	false	2.88	4.8	17.737041
3816_19585_000005_000000	Here our conversation ended; and the impression it made upon my youthful mind it is impossible to describe.	Here our conversation ended; and the impression it made upon my youthful mind it is impossible to describe.	false	4.8	6.06	11
3816_19585_000005_000001	I thought with astonishment, even with rapture, of the attention and kindness towards me I discovered in Mr. Falkland, through all the roughness of his manner.	I thought with astonishment, even with rapture, of the attention and kindness towards me I discovered in mr Falkland, through all the roughness of his manner.	false	6.06	6.72	14
3816_19585_000005_000002	I could never enough wonder at finding myself, humble as I was by my birth, obscure as I had hitherto been, thus suddenly become of so much importance to the happiness of one of the most enlightened and accomplished men in England.	I could never enough wonder at finding myself, humble as I was by my birth, obscure as I had hitherto been, thus suddenly become of so much importance to the happiness of one of the most enlightened and accomplished men in England.	false	6.72	13.8	19.445698
3816_19585_000005_000003	But this consciousness attached me to my patron more eagerly than ever, and made me swear a thousand times, as I meditated upon my situation, that I would never prove unworthy of so generous a protector.	But this consciousness attached me to my patron more eagerly than ever, and made me swear a thousand times, as I meditated upon my situation, that I would never prove unworthy of so generous a protector.	false	13.8	13.89	-20
3816_19585_000006_000000	CHAPTER IV.	CHAPTER four.	true	13.89	15.01	24.57811
