3816_19585_000006_000000	CHAPTER IV.	CHAPTER four.
3816_19585_000007_000000	Is it not unaccountable that, in the midst of all my increased veneration for my patron, the first tumult of my emotion was scarcely subsided, before the old question that had excited my conjectures recurred to my mind, Was he the murderer?	Is it not unaccountable that, in the midst of all my increased veneration for my patron, the first tumult of my emotion was scarcely subsided, before the old question that had excited my conjectures recurred to my mind, Was he the murderer?
3816_19585_000007_000001	It was a kind of fatal impulse, that seemed destined to hurry me to my destruction.	It was a kind of fatal impulse, that seemed destined to hurry me to my destruction.
3816_19585_000007_000003	That was as completely accounted for from the consideration of his excessive sensibility in matters of honour, as it would have been upon the supposition of the most atrocious guilt.	That was as completely accounted for from the consideration of his excessive sensibility in matters of honour, as it would have been upon the supposition of the most atrocious guilt.
3816_19585_000007_000004	Knowing, as he did, that such a charge had once been connected with his name, he would of course be perpetually uneasy, and suspect some latent insinuation at every possible opportunity.	Knowing, as he did, that such a charge had once been connected with his name, he would of course be perpetually uneasy, and suspect some latent insinuation at every possible opportunity.
3816_19585_000007_000005	He would doubt and fear, lest every man with whom he conversed harboured the foulest suspicion against him.	He would doubt and fear, lest every man with whom he conversed harboured the foulest suspicion against him.
3816_19585_000007_000006	In my case he found that I was in possession of some information, more than he was aware of, without its being possible for him to decide to what it amounted, whether I had heard a just or unjust, a candid or calumniatory tale.	In my case he found that I was in possession of some information, more than he was aware of, without its being possible for him to decide to what it amounted, whether I had heard a just or unjust, a candid or calumniatory tale.
3816_19585_000008_000000	The fluctuating state of my mind produced a contention of opposite principles, that by turns usurped dominion over my conduct.	The fluctuating state of my mind produced a contention of opposite principles, that by turns usurped dominion over my conduct.
3816_19585_000008_000002	Mr. Falkland, who was most painfully alive to every thing that related to his honour, saw these variations, and betrayed his consciousness of them now in one manner, and now in another, frequently before I was myself aware, sometimes almost before they existed.	mr Falkland, who was most painfully alive to every thing that related to his honour, saw these variations, and betrayed his consciousness of them now in one manner, and now in another, frequently before I was myself aware, sometimes almost before they existed.
3816_19585_000008_000003	The situation of both was distressing; we were each of us a plague to the other; and I often wondered, that the forbearance and benignity of my master was not at length exhausted, and that he did not determine to thrust from him for ever so incessant an observer.	The situation of both was distressing; we were each of us a plague to the other; and I often wondered, that the forbearance and benignity of my master was not at length exhausted, and that he did not determine to thrust from him for ever so incessant an observer.
3816_19585_000008_000005	I had some consolation in the midst of my restlessness.	I had some consolation in the midst of my restlessness.
3816_19585_000008_000006	Curiosity is a principle that carries its pleasures, as well as its pains, along with it.	Curiosity is a principle that carries its pleasures, as well as its pains, along with it.
3816_19585_000008_000008	But to Mr. Falkland there was no consolation.	But to mr Falkland there was no consolation.
3816_19585_000008_000009	What he endured in the intercourse between us appeared to be gratuitous evil.	What he endured in the intercourse between us appeared to be gratuitous evil.
3816_19585_000008_000010	He had only to wish that there was no such person as myself in the world, and to curse the hour when his humanity led him to rescue me from my obscurity, and place me in his service.	He had only to wish that there was no such person as myself in the world, and to curse the hour when his humanity led him to rescue me from my obscurity, and place me in his service.
3816_19585_000009_000001	The constant state of vigilance and suspicion in which my mind was retained, worked a very rapid change in my character.	The constant state of vigilance and suspicion in which my mind was retained, worked a very rapid change in my character.
3816_19585_000009_000002	It seemed to have all the effect that might have been expected from years of observation and experience.	It seemed to have all the effect that might have been expected from years of observation and experience.
3816_19585_000009_000003	The strictness with which I endeavoured to remark what passed in the mind of one man, and the variety of conjectures into which I was led, appeared, as it were, to render me a competent adept in the different modes in which the human intellect displays its secret workings.	The strictness with which I endeavoured to remark what passed in the mind of one man, and the variety of conjectures into which I was led, appeared, as it were, to render me a competent adept in the different modes in which the human intellect displays its secret workings.
