4490_16020_000000_000000	As for his cry of Kirikikiou,--that was, doubtless, what the child had meant, when he said:--	As for his cry of Kirikikiou,--that was, doubtless, what the child had meant, when he said:--	false	0	8.46	18.97017
4490_16020_000001_000000	"You will ask for Monsieur Gavroche."	"You will ask for Monsieur Gavroche."	false	8.46	10.5	17.881342
4490_16020_000002_000000	On hearing it, he had waked with a start, had crawled out of his "alcove," pushing apart the netting a little, and carefully drawing it together again, then he had opened the trap, and descended.	On hearing it, he had waked with a start, had crawled out of his "alcove," pushing apart the netting a little, and carefully drawing it together again, then he had opened the trap, and descended.	false	10.5	18.42	21.420511
4490_16020_000003_000000	The man and the child recognized each other silently amid the gloom: Montparnasse confined himself to the remark:--	The man and the child recognized each other silently amid the gloom: Montparnasse confined himself to the remark:--	false	18.42	26.49	21.054358
4490_16020_000004_000000	"We need you.	"We need you.	false	26.49	27.84	7
4490_16020_000004_000001	Come, lend us a hand."	Come, lend us a hand."	false	27.84	29.88	13.0031
4490_16020_000005_000000	The lad asked for no further enlightenment.	The lad asked for no further enlightenment.	false	29.88	31.32	16
4490_16020_000006_000000	"I'm with you," said he.	"I'm with you," said he.	false	31.32	31.62	27
4490_16020_000007_000000	And both took their way towards the Rue Saint-Antoine, whence Montparnasse had emerged, winding rapidly through the long file of market-gardeners' carts which descend towards the markets at that hour.	And both took their way towards the Rue Saint Antoine, whence Montparnasse had emerged, winding rapidly through the long file of market gardeners' carts which descend towards the markets at that hour.	false	31.62	33.66	25.216555
4490_16020_000008_000000	The market-gardeners, crouching, half-asleep, in their wagons, amid the salads and vegetables, enveloped to their very eyes in their mufflers on account of the beating rain, did not even glance at these strange pedestrians.	The market gardeners, crouching, half asleep, in their wagons, amid the salads and vegetables, enveloped to their very eyes in their mufflers on account of the beating rain, did not even glance at these strange pedestrians.	false	33.66	40.17	19.856712
4490_16020_000009_000000	CHAPTER III--THE VICISSITUDES OF FLIGHT	CHAPTER three-THE VICISSITUDES OF FLIGHT	true	40.17	46.99	19.766655
4490_16020_000010_000000	This is what had taken place that same night at the La Force:--	This is what had taken place that same night at the La Force:--	false	47.36	50.8	14
4490_16020_000011_000000	An escape had been planned between Babet, Brujon, Guelemer, and Thenardier, although Thenardier was in close confinement.	An escape had been planned between Babet, Brujon, Guelemer, and Thenardier, although Thenardier was in close confinement.	false	51.41	60.1	20
4490_16020_000011_000001	Babet had arranged the matter for his own benefit, on the same day, as the reader has seen from Montparnasse's account to Gavroche.	Babet had arranged the matter for his own benefit, on the same day, as the reader has seen from Montparnasse's account to Gavroche.	false	60.56	68.68	17
4490_16020_000011_000002	Montparnasse was to help them from outside.	Montparnasse was to help them from outside.	false	69.2	73	18
4490_16020_000012_000000	Brujon, after having passed a month in the punishment cell, had had time, in the first place, to weave a rope, in the second, to mature a plan.	Brujon, after having passed a month in the punishment cell, had had time, in the first place, to weave a rope, in the second, to mature a plan.	true	73.88	83.44	21
4490_16020_000012_000001	In former times, those severe places where the discipline of the prison delivers the convict into his own hands, were composed of four stone walls, a stone ceiling, a flagged pavement, a camp bed, a grated window, and a door lined with iron, and were called dungeons; but the dungeon was judged to be too terrible; nowadays they are composed of an iron door, a grated window, a camp bed, a flagged pavement, four stone walls, and a stone ceiling, and are called chambers of punishment.	In former times, those severe places where the discipline of the prison delivers the convict into his own hands, were composed of four stone walls, a stone ceiling, a flagged pavement, a camp bed, a grated window, and a door lined with iron, and were called dungeons; but the dungeon was judged to be too terrible; nowadays they are composed of an iron door, a grated window, a camp bed, a flagged pavement, four stone walls, and a stone ceiling, and are called chambers of punishment.	false	83.9	122.59	21.040146
4490_16020_000012_000002	A little light penetrates towards mid-day.	A little light penetrates towards mid day.	true	123.17	125.53	18
4490_16020_000012_000003	The inconvenient point about these chambers which, as the reader sees, are not dungeons, is that they allow the persons who should be at work to think.	The inconvenient point about these chambers which, as the reader sees, are not dungeons, is that they allow the persons who should be at work to think.	false	126.41	134.92	16
4490_16020_000013_000000	So Brujon meditated, and he emerged from the chamber of punishment with a rope.	So Brujon meditated, and he emerged from the chamber of punishment with a rope.	true	135.29	140.74	17.911905
4490_16020_000013_000001	As he had the name of being very dangerous in the Charlemagne courtyard, he was placed in the New Building.	As he had the name of being very dangerous in the Charlemagne courtyard, he was placed in the New Building.	true	140.87	147.79	17
4490_16020_000013_000002	The first thing he found in the New Building was Guelemer, the second was a nail; Guelemer, that is to say, crime; a nail, that is to say, liberty.	The first thing he found in the New Building was Guelemer, the second was a nail; Guelemer, that is to say, crime; a nail, that is to say, liberty.	true	148.31	158.83	19.871292
4490_16020_000013_000003	Brujon, of whom it is high time that the reader should have a complete idea, was, with an appearance of delicate health and a profoundly premeditated languor, a polished, intelligent sprig, and a thief, who had a caressing glance, and an atrocious smile.	Brujon, of whom it is high time that the reader should have a complete idea, was, with an appearance of delicate health and a profoundly premeditated languor, a polished, intelligent sprig, and a thief, who had a caressing glance, and an atrocious smile.	true	159.02	175	20
4490_16020_000013_000004	His glance resulted from his will, and his smile from his nature.	His glance resulted from his will, and his smile from his nature.	true	175.64	180.04	12
4490_16020_000013_000005	His first studies in his art had been directed to roofs.	His first studies in his art had been directed to roofs.	true	180.44	184.48	22.931282
4490_16020_000013_000006	He had made great progress in the industry of the men who tear off lead, who plunder the roofs and despoil the gutters by the process called double pickings.	He had made great progress in the industry of the men who tear off lead, who plunder the roofs and despoil the gutters by the process called double pickings.	false	185.45	195.61	19
4490_16020_000014_000000	The circumstance which put the finishing touch on the moment peculiarly favorable for an attempt at escape, was that the roofers were re-laying and re-jointing, at that very moment, a portion of the slates on the prison.	The circumstance which put the finishing touch on the moment peculiarly favorable for an attempt at escape, was that the roofers were re laying and re jointing, at that very moment, a portion of the slates on the prison.	false	195.98	210.55	20.631212
4490_16020_000014_000001	The Saint-Bernard courtyard was no longer absolutely isolated from the Charlemagne and the Saint-Louis courts.	The Saint Bernard courtyard was no longer absolutely isolated from the Charlemagne and the Saint Louis courts.	false	210.68	217.44	20.408518
4490_16020_000014_000002	Up above there were scaffoldings and ladders; in other words, bridges and stairs in the direction of liberty.	Up above there were scaffoldings and ladders; in other words, bridges and stairs in the direction of liberty.	true	217.44	224.89	20
4490_16020_000015_000000	The New Building, which was the most cracked and decrepit thing to be seen anywhere in the world, was the weak point in the prison.	The New Building, which was the most cracked and decrepit thing to be seen anywhere in the world, was the weak point in the prison.	true	226.55	234.28	22
4490_16020_000015_000001	The walls were eaten by saltpetre to such an extent that the authorities had been obliged to line the vaults of the dormitories with a sheathing of wood, because stones were in the habit of becoming detached and falling on the prisoners in their beds.	The walls were eaten by saltpetre to such an extent that the authorities had been obliged to line the vaults of the dormitories with a sheathing of wood, because stones were in the habit of becoming detached and falling on the prisoners in their beds.	false	234.62	249.49	19
4490_16020_000015_000002	In spite of this antiquity, the authorities committed the error of confining in the New Building the most troublesome prisoners, of placing there "the hard cases," as they say in prison parlance.	In spite of this antiquity, the authorities committed the error of confining in the New Building the most troublesome prisoners, of placing there "the hard cases," as they say in prison parlance.	true	250.13	261.94	17
4490_16020_000016_000000	The New Building contained four dormitories, one above the other, and a top story which was called the Bel-Air (Fine Air).	The New Building contained four dormitories, one above the other, and a top story which was called the Bel Air (Fine Air).	false	262.67	270.58	21
4490_16020_000016_000001	A large chimney-flue, probably from some ancient kitchen of the Dukes de la Force, started from the groundfloor, traversed all four stories, cut the dormitories, where it figured as a flattened pillar, into two portions, and finally pierced the roof.	A large chimney flue, probably from some ancient kitchen of the Dukes de la Force, started from the groundfloor, traversed all four stories, cut the dormitories, where it figured as a flattened pillar, into two portions, and finally pierced the roof.	true	271.91	287.86	18
4490_16020_000017_000000	Guelemer and Brujon were in the same dormitory.	Guelemer and Brujon were in the same dormitory.	true	288.41	291.34	15
4490_16020_000017_000001	They had been placed, by way of precaution, on the lower story.	They had been placed, by way of precaution, on the lower story.	true	291.74	295.45	18
4490_16020_000017_000002	Chance ordained that the heads of their beds should rest against the chimney.	Chance ordained that the heads of their beds should rest against the chimney.	false	296.51	301.23	17
4490_16020_000018_000000	Thenardier was directly over their heads in the top story known as Fine-Air.	Thenardier was directly over their heads in the top story known as Fine Air.	false	301.23	305.62	18
4490_16020_000018_000001	The pedestrian who halts on the Rue Culture-Sainte-Catherine, after passing the barracks of the firemen, in front of the porte-cochere of the bathing establishment, beholds a yard full of flowers and shrubs in wooden boxes, at the extremity of which spreads out a little white rotunda with two wings, brightened up with green shutters, the bucolic dream of Jean Jacques.	The pedestrian who halts on the Rue Culture Sainte Catherine, after passing the barracks of the firemen, in front of the porte cochere of the bathing establishment, beholds a yard full of flowers and shrubs in wooden boxes, at the extremity of which spreads out a little white rotunda with two wings, brightened up with green shutters, the bucolic dream of Jean Jacques.	false	306.14	328.6	18
4490_16020_000019_000000	Not more than ten years ago, there rose above that rotunda an enormous black, hideous, bare wall by which it was backed up.	Not more than ten years ago, there rose above that rotunda an enormous black, hideous, bare wall by which it was backed up.	false	330.74	339.01	20.19745
4490_16020_000020_000000	This was the outer wall of La Force.	This was the outer wall of La Force.	true	339.35	342.1	14
4490_16020_000021_000000	This wall, beside that rotunda, was Milton viewed through Berquin.	This wall, beside that rotunda, was Milton viewed through Berquin.	true	342.41	347.89	20
