3328_168626_000000_000000	Cosette fled, dragging her pail, and taking the longest strides of which she was capable.	Cosette fled, dragging her pail, and taking the longest strides of which she was capable.	false	6.9	34.695	21.827175
3328_168626_000001_000000	CHAPTER V--THE LITTLE ONE ALL ALONE	CHAPTER five-THE LITTLE ONE ALL ALONE	true	34.695	39.25	19.475424
3328_168626_000002_000000	As the Thenardier hostelry was in that part of the village which is near the church, it was to the spring in the forest in the direction of Chelles that Cosette was obliged to go for her water.	As the Thenardier hostelry was in that part of the village which is near the church, it was to the spring in the forest in the direction of Chelles that Cosette was obliged to go for her water.	true	41.09	52.63	20.881779
3328_168626_000003_000000	She did not glance at the display of a single other merchant.	She did not glance at the display of a single other merchant.	false	52.82	56.475	23.067802
3328_168626_000003_000001	So long as she was in Boulanger Lane and in the neighborhood of the church, the lighted stalls illuminated the road; but soon the last light from the last stall vanished.	So long as she was in Boulanger Lane and in the neighborhood of the church, the lighted stalls illuminated the road; but soon the last light from the last stall vanished.	true	56.475	66.94	17.608559
3328_168626_000003_000002	The poor child found herself in the dark.	The poor child found herself in the dark.	true	67.4	70.03	20.826714
3328_168626_000003_000003	She plunged into it.	She plunged into it.	true	70.28	71.745	22.634848
3328_168626_000003_000004	Only, as a certain emotion overcame her, she made as much motion as possible with the handle of the bucket as she walked along.	Only, as a certain emotion overcame her, she made as much motion as possible with the handle of the bucket as she walked along.	false	71.745	79.81	19.850103
3328_168626_000003_000005	This made a noise which afforded her company.	This made a noise which afforded her company.	true	80.03	83.47	19.611668
3328_168626_000004_000000	The further she went, the denser the darkness became.	The further she went, the denser the darkness became.	true	84.53	88.12	19.534904
3328_168626_000004_000001	There was no one in the streets.	There was no one in the streets.	true	88.82	90.66	19.7814
3328_168626_000004_000002	However, she did encounter a woman, who turned around on seeing her, and stood still, muttering between her teeth: "Where can that child be going?	However, she did encounter a woman, who turned around on seeing her, and stood still, muttering between her teeth: "Where can that child be going?	true	90.66	100.03	18.578102
3328_168626_000004_000003	Is it a werewolf child?"	Is it a werewolf child?"	true	100.52	102.25	24.61027
3328_168626_000004_000004	Then the woman recognized Cosette.	Then the woman recognized Cosette.	true	102.74	104.89	25.857029
