7515_100431_000003_000000	Our Learned Friends	Our Learned Friends
7515_100431_000004_000000	I do not know why the Bar has always seemed the most respectable of the professions, a profession which the hero of almost any novel could adopt without losing caste.	I do not know why the Bar has always seemed the most respectable of the professions, a profession which the hero of almost any novel could adopt without losing caste.
7515_100431_000004_000001	But so it is.	But so it is.
7515_100431_000004_000002	A schoolmaster can be referred to contemptuously as an usher; a doctor is regarded humorously as a licensed murderer; a solicitor is always retiring to gaol for making away with trust funds, and, in any case, is merely an attorney; while a civil servant sleeps from ten to four every day, and is only waked up at sixty in order to be given a pension.	A schoolmaster can be referred to contemptuously as an usher; a doctor is regarded humorously as a licensed murderer; a solicitor is always retiring to gaol for making away with trust funds, and, in any case, is merely an attorney; while a civil servant sleeps from ten to four every day, and is only waked up at sixty in order to be given a pension.
7515_100431_000004_000003	But there is no humorous comment to be made upon the barrister--unless it is to call him "my learned friend." He has much more right than the actor to claim to be a member of the profession.	But there is no humorous comment to be made upon the barrister-unless it is to call him "my learned friend." He has much more right than the actor to claim to be a member of the profession.
7515_100431_000004_000004	I don't know why.	I don't know why.
7515_100431_000004_000005	Perhaps it is because he walks about the Temple in a top-hat.	Perhaps it is because he walks about the Temple in a top hat.
7515_100431_000005_000000	So many of one's acquaintances at some time or other have "eaten dinners" that one hardly dares to say anything against the profession.	So many of one's acquaintances at some time or other have "eaten dinners" that one hardly dares to say anything against the profession.
7515_100431_000005_000001	Besides, one never knows when one may not want to be defended.	Besides, one never knows when one may not want to be defended.
7515_100431_000005_000002	However, I shall take the risk, and put the barrister in the dock.	However, I shall take the risk, and put the barrister in the dock.
7515_100431_000005_000003	"Gentlemen of the jury, observe this well-dressed gentleman before you.	"Gentlemen of the jury, observe this well dressed gentleman before you.
7515_100431_000005_000004	What shall we say about him?"	What shall we say about him?"
7515_100431_000006_000000	Let us begin by asking ourselves what we expect from a profession.	Let us begin by asking ourselves what we expect from a profession.
7515_100431_000006_000001	In the first place, certainly, we expect a living, but I think we want something more than that.	In the first place, certainly, we expect a living, but I think we want something more than that.
7515_100431_000006_000002	If we were offered a thousand a year to walk from Charing Cross to Barnet every day, reasons of poverty might compel us to accept the offer, but we should hardly be proud of our new profession.	If we were offered a thousand a year to walk from Charing Cross to Barnet every day, reasons of poverty might compel us to accept the offer, but we should hardly be proud of our new profession.
7515_100431_000006_000003	We should prefer to earn a thousand a year by doing some more useful work.	We should prefer to earn a thousand a year by doing some more useful work.
7515_100431_000006_000005	That is to say, he would have to persuade himself that he was walking, not only for himself, but also for the community.	That is to say, he would have to persuade himself that he was walking, not only for himself, but also for the community.
7515_100431_000007_000000	It seems to me, then, that a profession is a noble or an ignoble one, according as it offers or denies to him who practises it the opportunity of working for some other end than his own advancement.	It seems to me, then, that a profession is a noble or an ignoble one, according as it offers or denies to him who practises it the opportunity of working for some other end than his own advancement.
7515_100431_000007_000001	A doctor collects fees from his patients, but he is aiming at something more than pounds, shillings, and pence; he is out to put an end to suffering.	A doctor collects fees from his patients, but he is aiming at something more than pounds, shillings, and pence; he is out to put an end to suffering.
7515_100431_000007_000002	A schoolmaster earns a living by teaching, but he does not feel that he is fighting only for himself; he is a crusader on behalf of education.	A schoolmaster earns a living by teaching, but he does not feel that he is fighting only for himself; he is a crusader on behalf of education.
7515_100431_000007_000003	The artist, whatever his medium, is giving a message to the world, expressing the truth as he sees it; for his own profit, perhaps, but not for that alone.	The artist, whatever his medium, is giving a message to the world, expressing the truth as he sees it; for his own profit, perhaps, but not for that alone.
7515_100431_000007_000005	We enter them full of high resolves.	We enter them full of high resolves.
