4744_31668_000001_000000	Mrs. Bittacy had never liked their present home.	mrs Bittacy had never liked their present home.
4744_31668_000001_000001	She preferred a flat, more open country that left approaches clear.	She preferred a flat, more open country that left approaches clear.
4744_31668_000001_000002	She liked to see things coming.	She liked to see things coming.
4744_31668_000001_000003	This cottage on the very edge of the old hunting grounds of William the Conqueror had never satisfied her ideal of a safe and pleasant place to settle down in.	This cottage on the very edge of the old hunting grounds of William the Conqueror had never satisfied her ideal of a safe and pleasant place to settle down in.
4744_31668_000002_000001	In those weeks of solitude the feeling had matured.	In those weeks of solitude the feeling had matured.
4744_31668_000002_000003	In this particular case, yielding to his strong desire, she thought the battle won, but the terror of the trees came back before the first month had passed.	In this particular case, yielding to his strong desire, she thought the battle won, but the terror of the trees came back before the first month had passed.
4744_31668_000002_000004	They laughed in her face.	They laughed in her face.
4744_31668_000003_000001	Far from morbid naturally, she did her best to deny the thought, and so simple and unartificial was her type of mind that for weeks together she would wholly lose it.	Far from morbid naturally, she did her best to deny the thought, and so simple and unartificial was her type of mind that for weeks together she would wholly lose it.
4744_31668_000003_000003	It was not only in her mind; it existed apart from any mere mood; a separate fear that walked alone; it came and went, yet when it went--went only to watch her from another point of view.	It was not only in her mind; it existed apart from any mere mood; a separate fear that walked alone; it came and went, yet when it went-went only to watch her from another point of view.
4744_31668_000003_000004	It was in abeyance--hidden round the corner.	It was in abeyance-hidden round the corner.
4744_31668_000004_000000	The Forest never let her go completely.	The Forest never let her go completely.
4744_31668_000004_000001	It was ever ready to encroach. All the branches, she sometimes fancied, stretched one way--towards their tiny cottage and garden, as though it sought to draw them in and merge them in itself.	It was ever ready to encroach. All the branches, she sometimes fancied, stretched one way-towards their tiny cottage and garden, as though it sought to draw them in and merge them in itself.
4744_31668_000004_000003	It would absorb and smother them if it could.	It would absorb and smother them if it could.
4744_31668_000004_000005	They had angered its great soul.	They had angered its great soul.
4744_31668_000004_000006	At its heart was this deep, incessant roaring.	At its heart was this deep, incessant roaring.
4744_31668_000005_000001	But instinctively she felt it; and more besides.	But instinctively she felt it; and more besides.
