8713_300047_000002_000000	His life was passed like this.	His life was passed like this.
8713_300047_000002_000001	As a rule he got up at eight o'clock in the morning, dressed, and drank his tea.	As a rule he got up at eight o'clock in the morning, dressed, and drank his tea.
8713_300047_000002_000002	Then he sat down in his study to read, or went to the hospital.	Then he sat down in his study to read, or went to the hospital.
8713_300047_000002_000003	At the hospital the out-patients were sitting in the dark, narrow little corridor waiting to be seen by the doctor.	At the hospital the out patients were sitting in the dark, narrow little corridor waiting to be seen by the doctor.
8713_300047_000002_000005	Andrey Yefimitch knew that such surroundings were torture to feverish, consumptive, and impressionable patients; but what could be done?	Andrey Yefimitch knew that such surroundings were torture to feverish, consumptive, and impressionable patients; but what could be done?
8713_300047_000002_000006	In the consulting-room he was met by his assistant, Sergey Sergeyitch--a fat little man with a plump, well-washed shaven face, with soft, smooth manners, wearing a new loosely cut suit, and looking more like a senator than a medical assistant.	In the consulting room he was met by his assistant, Sergey Sergeyitch-a fat little man with a plump, well washed shaven face, with soft, smooth manners, wearing a new loosely cut suit, and looking more like a senator than a medical assistant.
8713_300047_000002_000007	He had an immense practice in the town, wore a white tie, and considered himself more proficient than the doctor, who had no practice.	He had an immense practice in the town, wore a white tie, and considered himself more proficient than the doctor, who had no practice.
8713_300047_000002_000011	The ikon had been put up at his expense; at his instructions some one of the patients read the hymns of praise in the consulting-room on Sundays, and after the reading Sergey Sergeyitch himself went through the wards with a censer and burned incense.	The ikon had been put up at his expense; at his instructions some one of the patients read the hymns of praise in the consulting room on Sundays, and after the reading Sergey Sergeyitch himself went through the wards with a censer and burned incense.
8713_300047_000003_000000	There were a great many patients, but the time was short, and so the work was confined to the asking of a few brief questions and the administration of some drugs, such as castor-oil or volatile ointment.	There were a great many patients, but the time was short, and so the work was confined to the asking of a few brief questions and the administration of some drugs, such as castor oil or volatile ointment.
8713_300047_000003_000001	Andrey Yefimitch would sit with his cheek resting in his hand, lost in thought and asking questions mechanically.	Andrey Yefimitch would sit with his cheek resting in his hand, lost in thought and asking questions mechanically.
8713_300047_000003_000002	Sergey Sergeyitch sat down too, rubbing his hands, and from time to time putting in his word.	Sergey Sergeyitch sat down too, rubbing his hands, and from time to time putting in his word.
8713_300047_000004_000000	"We suffer pain and poverty," he would say, "because we do not pray to the merciful God as we should.	"We suffer pain and poverty," he would say, "because we do not pray to the merciful God as we should.
8713_300047_000004_000001	Yes!"	Yes!"
8713_300047_000005_000001	When he had to open a child's mouth in order to look at its throat, and the child cried and tried to defend itself with its little hands, the noise in his ears made his head go round and brought tears to his eyes.	When he had to open a child's mouth in order to look at its throat, and the child cried and tried to defend itself with its little hands, the noise in his ears made his head go round and brought tears to his eyes.
8713_300047_000005_000002	He would make haste to prescribe a drug, and motion to the woman to take the child away.	He would make haste to prescribe a drug, and motion to the woman to take the child away.
8713_300047_000006_000000	He was soon wearied by the timidity of the patients and their incoherence, by the proximity of the pious Sergey Sergeyitch, by the portraits on the walls, and by his own questions which he had asked over and over again for twenty years.	He was soon wearied by the timidity of the patients and their incoherence, by the proximity of the pious Sergey Sergeyitch, by the portraits on the walls, and by his own questions which he had asked over and over again for twenty years.
8713_300047_000006_000001	And he would go away after seeing five or six patients.	And he would go away after seeing five or six patients.
8713_300047_000006_000002	The rest would be seen by his assistant in his absence.	The rest would be seen by his assistant in his absence.
8713_300047_000007_000000	With the agreeable thought that, thank God, he had no private practice now, and that no one would interrupt him, Andrey Yefimitch sat down to the table immediately on reaching home and took up a book.	With the agreeable thought that, thank God, he had no private practice now, and that no one would interrupt him, Andrey Yefimitch sat down to the table immediately on reaching home and took up a book.
8713_300047_000007_000002	Half his salary went on buying books, and of the six rooms that made up his abode three were heaped up with books and old magazines.	Half his salary went on buying books, and of the six rooms that made up his abode three were heaped up with books and old magazines.
8713_300047_000007_000004	He would always go on reading for several hours without a break and without being weary.	He would always go on reading for several hours without a break and without being weary.
8713_300047_000007_000005	He did not read as rapidly and impulsively as Ivan Dmitritch had done in the past, but slowly and with concentration, often pausing over a passage which he liked or did not find intelligible.	He did not read as rapidly and impulsively as Ivan d mitritch had done in the past, but slowly and with concentration, often pausing over a passage which he liked or did not find intelligible.
8713_300047_000007_000006	Near the books there always stood a decanter of vodka, and a salted cucumber or a pickled apple lay beside it, not on a plate, but on the baize table-cloth. Every half-hour he would pour himself out a glass of vodka and drink it without taking his eyes off the book.	Near the books there always stood a decanter of vodka, and a salted cucumber or a pickled apple lay beside it, not on a plate, but on the baize table cloth. Every half hour he would pour himself out a glass of vodka and drink it without taking his eyes off the book.
8713_300047_000007_000007	Then without looking at it he would feel for the cucumber and bite off a bit.	Then without looking at it he would feel for the cucumber and bite off a bit.
8713_300047_000008_000000	At three o'clock he would go cautiously to the kitchen door; cough, and say, "Daryushka, what about dinner? . ."	At three o'clock he would go cautiously to the kitchen door; cough, and say, "Daryushka, what about dinner? . ."
8713_300047_000009_000000	After his dinner--a rather poor and untidily served one--Andrey Yefimitch would walk up and down his rooms with his arms folded, thinking.	After his dinner-a rather poor and untidily served one-Andrey Yefimitch would walk up and down his rooms with his arms folded, thinking.
8713_300047_000009_000001	The clock would strike four, then five, and still he would be walking up and down thinking.	The clock would strike four, then five, and still he would be walking up and down thinking.
8713_300047_000009_000002	Occasionally the kitchen door would creak, and the red and sleepy face of Daryushka would appear.	Occasionally the kitchen door would creak, and the red and sleepy face of Daryushka would appear.
8713_300047_000010_000000	"Andrey Yefimitch, isn't it time for you to have your beer?" she would ask anxiously.	"Andrey Yefimitch, isn't it time for you to have your beer?" she would ask anxiously.
8713_300047_000011_000000	"No, it's not time yet . . ." he would answer.	"No, it's not time yet . . ." he would answer.
8713_300047_000012_000002	He had a hale and hearty appearance, luxuriant grey whiskers, the manners of a well-bred man, and a loud, pleasant voice.	He had a hale and hearty appearance, luxuriant grey whiskers, the manners of a well bred man, and a loud, pleasant voice.
8713_300047_000012_000003	He was good-natured and emotional, but hot-tempered.	He was good-natured and emotional, but hot tempered.
8713_300047_000013_000000	"Here I am," he would say, going in to Andrey Yefimitch.	"Here I am," he would say, going in to Andrey Yefimitch.
