4731_58193_000000_000000	CHAPTER II	CHAPTER two	false	0.33	18.46	21.227854
4731_58193_000001_000000	GIRLHOOD AND ITS SORROWS	GIRLHOOD AND ITS SORROWS	true	18.5	20.44	18.662067
4731_58193_000002_000000	I must pass rapidly over the stirring events of my early life.	I must pass rapidly over the stirring events of my early life.	false	21.5	25.89	19.261702
4731_58193_000002_000001	When I was about fourteen years old I went to live with my master's eldest son, a Presbyterian minister.	When I was about fourteen years old I went to live with my master's eldest son, a Presbyterian minister.	true	25.89	31.75	15
4731_58193_000002_000002	His salary was small, and he was burdened with a helpless wife, a girl that he had married in the humble walks of life. She was morbidly sensitive, and imagined that I regarded her with contemptuous feelings because she was of poor parentage.	His salary was small, and he was burdened with a helpless wife, a girl that he had married in the humble walks of life. She was morbidly sensitive, and imagined that I regarded her with contemptuous feelings because she was of poor parentage.	false	32.27	45.55	19
4731_58193_000002_000003	I was their only servant, and a gracious loan at that.	I was their only servant, and a gracious loan at that.	false	46.16	49.45	20
4731_58193_000002_000004	They were not able to buy me, so my old master sought to render them assistance by allowing them the benefit of my services.	They were not able to buy me, so my old master sought to render them assistance by allowing them the benefit of my services.	true	49.82	56.32	12
4731_58193_000002_000005	From the very first I did the work of three servants, and yet I was scolded and regarded with distrust.	From the very first I did the work of three servants, and yet I was scolded and regarded with distrust.	false	56.78	62.74	20.526276
4731_58193_000002_000006	The years passed slowly, and I continued to serve them, and at the same time grew into strong, healthy womanhood.	The years passed slowly, and I continued to serve them, and at the same time grew into strong, healthy womanhood.	true	63.08	69.28	20
4731_58193_000002_000007	I was nearly eighteen when we removed from Virginia to Hillsboro', North Carolina, where young Mr. Burwell took charge of a church.	I was nearly eighteen when we removed from Virginia to Hillsboro', North Carolina, where young mr Burwell took charge of a church.	false	75.62	84.01	19
4731_58193_000002_000008	The salary was small, and we still had to practise the closest economy.	The salary was small, and we still had to practise the closest economy.	true	84.47	88.36	20
4731_58193_000002_000009	Mr. Bingham, a hard, cruel man, the village schoolmaster, was a member of my young master's church, and he was a frequent visitor to the parsonage.	mr Bingham, a hard, cruel man, the village schoolmaster, was a member of my young master's church, and he was a frequent visitor to the parsonage.	true	88.85	98.38	19
4731_58193_000002_000010	She whom I called mistress seemed to be desirous to wreak vengeance on me for something, and Bingham became her ready tool.	She whom I called mistress seemed to be desirous to wreak vengeance on me for something, and Bingham became her ready tool.	false	99.02	106.21	15
4731_58193_000002_000011	During this time my master was unusually kind to me; he was naturally a good-hearted man, but was influenced by his wife.	During this time my master was unusually kind to me; he was naturally a good hearted man, but was influenced by his wife.	false	106.55	114.61	21.678185
4731_58193_000002_000012	It was Saturday evening, and while I was bending over the bed, watching the baby that I had just hushed into slumber, Mr. Bingham came to the door and asked me to go with him to his study.	It was Saturday evening, and while I was bending over the bed, watching the baby that I had just hushed into slumber, mr Bingham came to the door and asked me to go with him to his study.	false	115.46	125.62	18
4731_58193_000002_000013	Wondering what he meant by his strange request, I followed him, and when we had entered the study he closed the door, and in his blunt way remarked: "Lizzie, I am going to flog you." I was thunderstruck, and tried to think if I had been remiss in anything.	Wondering what he meant by his strange request, I followed him, and when we had entered the study he closed the door, and in his blunt way remarked: "Lizzie, I am going to flog you." I was thunderstruck, and tried to think if I had been remiss in anything.	false	125.69	140.77	20.587385
4731_58193_000002_000014	I could not recollect of doing anything to deserve punishment, and with surprise exclaimed: "Whip me, Mr. Bingham! what for?"	I could not recollect of doing anything to deserve punishment, and with surprise exclaimed: "Whip me, mr Bingham! what for?"	false	141.2	149.71	22.627605
