716_129583_000000_000000	VII.	seven.	true	19.77	20.47	20.55163
716_129583_000000_000001	THE LOCKED DOOR.	THE LOCKED DOOR.	true	20.69	22.18	27.675913
716_129583_000001_000000	THE reader will perhaps understand that at first everything was so strange about me, and my position was the outcome of such unexpected adventures, that I had no discernment of the relative strangeness of this or that thing.	THE reader will perhaps understand that at first everything was so strange about me, and my position was the outcome of such unexpected adventures, that I had no discernment of the relative strangeness of this or that thing.	false	22.52	34.93	23.196894
716_129583_000001_000001	I followed the llama up the beach, and was overtaken by Montgomery, who asked me not to enter the stone enclosure. I noticed then that the puma in its cage and the pile of packages had been placed outside the entrance to this quadrangle.	I followed the llama up the beach, and was overtaken by Montgomery, who asked me not to enter the stone enclosure. I noticed then that the puma in its cage and the pile of packages had been placed outside the entrance to this quadrangle.	true	35.42	48.91	27.463474
716_129583_000002_000000	I turned and saw that the launch had now been unloaded, run out again, and was being beached, and the white-haired man was walking towards us. He addressed Montgomery.	I turned and saw that the launch had now been unloaded, run out again, and was being beached, and the white haired man was walking towards us. He addressed Montgomery.	true	48.98	58.09	23.414629
716_129583_000003_000000	"And now comes the problem of this uninvited guest.	"And now comes the problem of this uninvited guest.	true	58.55	61.68	23.179918
716_129583_000003_000001	What are we to do with him?"	What are we to do with him?"	true	61.68	63.16	22.25511
716_129583_000004_000000	"He knows something of science," said Montgomery.	"He knows something of science," said Montgomery.	true	63.59	66.1	20.693268
716_129583_000005_000000	"I'm itching to get to work again--with this new stuff," said the white-haired man, nodding towards the enclosure. His eyes grew brighter.	"I'm itching to get to work again-with this new stuff," said the white haired man, nodding towards the enclosure. His eyes grew brighter.	true	66.74	73.78	24.239927
716_129583_000006_000000	"I daresay you are," said Montgomery, in anything but a cordial tone.	"I daresay you are," said Montgomery, in anything but a cordial tone.	true	73.97	78.73	23.241808
716_129583_000007_000000	"We can't send him over there, and we can't spare the time to build him a new shanty; and we certainly can't take him into our confidence just yet."	"We can't send him over there, and we can't spare the time to build him a new shanty; and we certainly can't take him into our confidence just yet."	true	79.13	86.62	24.806297
716_129583_000008_000000	"I'm in your hands," said I. I had no idea of what he meant by "over there."	"I'm in your hands," said i I had no idea of what he meant by "over there."	true	87.02	91.57	22.418272
716_129583_000009_000000	"I've been thinking of the same things," Montgomery answered. "There's my room with the outer door--"	"I've been thinking of the same things," Montgomery answered. "There's my room with the outer door-"	true	91.94	96.78	22.704565
716_129583_000010_000000	"That's it," said the elder man, promptly, looking at Montgomery; and all three of us went towards the enclosure.	"That's it," said the elder man, promptly, looking at Montgomery; and all three of us went towards the enclosure.	true	96.78	102.76	24.6856
716_129583_000010_000001	"I'm sorry to make a mystery, Mr. Prendick; but you'll remember you're uninvited. Our little establishment here contains a secret or so, is a kind of Blue-Beard's chamber, in fact.	"I'm sorry to make a mystery, mr Prendick; but you'll remember you're uninvited. Our little establishment here contains a secret or so, is a kind of Blue Beard's chamber, in fact.	true	103.1	113.89	22.572437
716_129583_000010_000002	Nothing very dreadful, really, to a sane man; but just now, as we don't know you--"	Nothing very dreadful, really, to a sane man; but just now, as we don't know you-"	true	114.08	118.74	21.728323
716_129583_000011_000000	"Decidedly," said I, "I should be a fool to take offence at any want of confidence."	"Decidedly," said I, "I should be a fool to take offence at any want of confidence."	true	118.74	123.82	22.9046
716_129583_000012_000000	He twisted his heavy mouth into a faint smile--he was one of those saturnine people who smile with the corners of the mouth down,--and bowed his acknowledgment of my complaisance.	He twisted his heavy mouth into a faint smile-he was one of those saturnine people who smile with the corners of the mouth down,--and bowed his acknowledgment of my complaisance.	true	124.64	134.38	21.91689
716_129583_000012_000001	The main entrance to the enclosure was passed; it was a heavy wooden gate, framed in iron and locked, with the cargo of the launch piled outside it, and at the corner we came to a small doorway I had not previously observed. The white-haired man produced a bundle of keys from the pocket of his greasy blue jacket, opened this door, and entered. His keys, and the elaborate locking-up of the place even while it was still under his eye, struck me as peculiar.	The main entrance to the enclosure was passed; it was a heavy wooden gate, framed in iron and locked, with the cargo of the launch piled outside it, and at the corner we came to a small doorway I had not previously observed. The white haired man produced a bundle of keys from the pocket of his greasy blue jacket, opened this door, and entered. His keys, and the elaborate locking up of the place even while it was still under his eye, struck me as peculiar.	false	135.02	160.24	22.6287
