716_129583_000000_000000	VII.	seven.
716_129583_000000_000001	THE LOCKED DOOR.	THE LOCKED DOOR.
716_129583_000001_000001	I followed the llama up the beach, and was overtaken by Montgomery, who asked me not to enter the stone enclosure. I noticed then that the puma in its cage and the pile of packages had been placed outside the entrance to this quadrangle.	I followed the llama up the beach, and was overtaken by Montgomery, who asked me not to enter the stone enclosure. I noticed then that the puma in its cage and the pile of packages had been placed outside the entrance to this quadrangle.
716_129583_000002_000000	I turned and saw that the launch had now been unloaded, run out again, and was being beached, and the white-haired man was walking towards us. He addressed Montgomery.	I turned and saw that the launch had now been unloaded, run out again, and was being beached, and the white haired man was walking towards us. He addressed Montgomery.
716_129583_000003_000000	"And now comes the problem of this uninvited guest.	"And now comes the problem of this uninvited guest.
716_129583_000003_000001	What are we to do with him?"	What are we to do with him?"
716_129583_000004_000000	"He knows something of science," said Montgomery.	"He knows something of science," said Montgomery.
716_129583_000005_000000	"I'm itching to get to work again--with this new stuff," said the white-haired man, nodding towards the enclosure. His eyes grew brighter.	"I'm itching to get to work again-with this new stuff," said the white haired man, nodding towards the enclosure. His eyes grew brighter.
716_129583_000006_000000	"I daresay you are," said Montgomery, in anything but a cordial tone.	"I daresay you are," said Montgomery, in anything but a cordial tone.
716_129583_000007_000000	"We can't send him over there, and we can't spare the time to build him a new shanty; and we certainly can't take him into our confidence just yet."	"We can't send him over there, and we can't spare the time to build him a new shanty; and we certainly can't take him into our confidence just yet."
716_129583_000008_000000	"I'm in your hands," said I. I had no idea of what he meant by "over there."	"I'm in your hands," said i I had no idea of what he meant by "over there."
716_129583_000009_000000	"I've been thinking of the same things," Montgomery answered. "There's my room with the outer door--"	"I've been thinking of the same things," Montgomery answered. "There's my room with the outer door-"
716_129583_000010_000000	"That's it," said the elder man, promptly, looking at Montgomery; and all three of us went towards the enclosure.	"That's it," said the elder man, promptly, looking at Montgomery; and all three of us went towards the enclosure.
716_129583_000010_000001	"I'm sorry to make a mystery, Mr. Prendick; but you'll remember you're uninvited. Our little establishment here contains a secret or so, is a kind of Blue-Beard's chamber, in fact.	"I'm sorry to make a mystery, mr Prendick; but you'll remember you're uninvited. Our little establishment here contains a secret or so, is a kind of Blue Beard's chamber, in fact.
716_129583_000010_000002	Nothing very dreadful, really, to a sane man; but just now, as we don't know you--"	Nothing very dreadful, really, to a sane man; but just now, as we don't know you-"
