4495_18533_000000_000000	On this paper was written a single sentence, thus worded:	On this paper was written a single sentence, thus worded:	false	3.96	7.83	17
4495_18533_000001_000000	"It is useless for the engineer James Starr to trouble himself, Simon Ford's letter being now without object."	"It is useless for the engineer james Starr to trouble himself, Simon Ford's letter being now without object."	false	7.83	16.2	17
4495_18533_000002_000000	No signature.	No signature.	false	16.2	17.16	4
4495_18533_000003_000000	CHAPTER II.	CHAPTER two.	false	17.16	18.15	16.37324
4495_18533_000003_000001	ON THE ROAD	ON THE ROAD	false	18.15	23.34	15.1667595
4495_18533_000004_000000	THE course of James Starr's ideas was abruptly stopped, when he got this second letter contradicting the first.	THE course of james Starr's ideas was abruptly stopped, when he got this second letter contradicting the first.	false	23.34	30.37	14
4495_18533_000005_000000	"What does this mean?" said he to himself.	"What does this mean?" said he to himself.	false	30.71	33.22	16.69818
4495_18533_000005_000001	He took up the torn envelope, and examined it.	He took up the torn envelope, and examined it.	true	33.29	36.13	15
4495_18533_000005_000002	Like the other, it bore the Aberfoyle postmark.	Like the other, it bore the Aberfoyle postmark.	true	36.35	39.45	17
4495_18533_000005_000003	It had therefore come from the same part of the county of Stirling.	It had therefore come from the same part of the county of Stirling.	false	39.45	43.27	13
4495_18533_000005_000004	The old miner had evidently not written it.	The old miner had evidently not written it.	true	43.79	46.9	15.536329
4495_18533_000005_000005	But, no less evidently, the author of this second letter knew the overman's secret, since it expressly contradicted the invitation to the engineer to go to the Yarrow shaft.	But, no less evidently, the author of this second letter knew the overman's secret, since it expressly contradicted the invitation to the engineer to go to the Yarrow shaft.	true	47.15	59.8	15
4495_18533_000006_000000	Was it really true that the first communication was now without object? Did someone wish to prevent James Starr from troubling himself either uselessly or otherwise?	Was it really true that the first communication was now without object? Did someone wish to prevent james Starr from troubling himself either uselessly or otherwise?	true	60.14	70.39	13
4495_18533_000006_000001	Might there not be rather a malevolent intention to thwart Ford's plans?	Might there not be rather a malevolent intention to thwart Ford's plans?	false	70.82	75.58	17
4495_18533_000007_000000	This was the conclusion at which James Starr arrived, after mature reflection.	This was the conclusion at which james Starr arrived, after mature reflection.	true	76.04	81.07	15
4495_18533_000007_000001	The contradiction which existed between the two letters only wrought in him a more keen desire to visit the Dochart pit.	The contradiction which existed between the two letters only wrought in him a more keen desire to visit the Dochart pit.	true	81.35	89.2	14
4495_18533_000007_000002	And besides, if after all it was a hoax, it was well worth while to prove it.	And besides, if after all it was a hoax, it was well worth while to prove it.	true	89.6	95.35	18.9197
4495_18533_000007_000003	Starr also thought it wiser to give more credence to the first letter than to the second; that is to say, to the request of such a man as Simon Ford, rather than to the warning of his anonymous contradictor.	Starr also thought it wiser to give more credence to the first letter than to the second; that is to say, to the request of such a man as Simon Ford, rather than to the warning of his anonymous contradictor.	false	95.72	109.3	16
4495_18533_000008_000000	"Indeed," said he, "the fact of anyone endeavoring to influence my resolution, shows that Ford's communication must be of great importance. To-morrow, at the appointed time, I shall be at the rendezvous."	"Indeed," said he, "the fact of anyone endeavoring to influence my resolution, shows that Ford's communication must be of great importance. To morrow, at the appointed time, I shall be at the rendezvous."	false	109.52	122.53	15
4495_18533_000009_000000	In the evening, Starr made his preparations for departure.	In the evening, Starr made his preparations for departure.	true	123.2	126.52	16
4495_18533_000009_000001	As it might happen that his absence would be prolonged for some days, he wrote to Sir W. Elphiston, President of the Royal Institution, that he should be unable to be present at the next meeting of the Society.	As it might happen that his absence would be prolonged for some days, he wrote to Sir w Elphiston, President of the Royal Institution, that he should be unable to be present at the next meeting of the Society.	false	127.04	141.55	13
4495_18533_000009_000002	He also wrote to excuse himself from two or three engagements which he had made for the week.	He also wrote to excuse himself from two or three engagements which he had made for the week.	true	141.92	147.19	14
4495_18533_000009_000003	Then, having ordered his servant to pack a traveling bag, he went to bed, more excited than the affair perhaps warranted.	Then, having ordered his servant to pack a traveling bag, he went to bed, more excited than the affair perhaps warranted.	true	147.35	154.93	12
4495_18533_000010_000000	The next day, at five o'clock, James Starr jumped out of bed, dressed himself warmly, for a cold rain was falling, and left his house in the Canongate, to go to Granton Pier to catch the steamer, which in three hours would take him up the Forth as far as Stirling.	The next day, at five o'clock, james Starr jumped out of bed, dressed himself warmly, for a cold rain was falling, and left his house in the Canongate, to go to Granton Pier to catch the steamer, which in three hours would take him up the Forth as far as Stirling.	false	155.3	172.15	13
4495_18533_000011_000000	For the first time in his life, perhaps, in passing along the Canongate, he did NOT TURN TO LOOK AT HOLYROOD, the palace of the former sovereigns of Scotland.	For the first time in his life, perhaps, in passing along the Canongate, he did NOT TURN TO LOOK AT HOLYROOD, the palace of the former sovereigns of Scotland.	false	172.52	183.61	11
4495_18533_000011_000001	He did not notice the sentinels who stood before its gateways, dressed in the uniform of their Highland regiment, tartan kilt, plaid and sporran complete.	He did not notice the sentinels who stood before its gateways, dressed in the uniform of their Highland regiment, tartan kilt, plaid and sporran complete.	true	184.04	194.23	14
4495_18533_000011_000002	His whole thought was to reach Callander where Harry Ford was supposedly awaiting him.	His whole thought was to reach Callander where Harry Ford was supposedly awaiting him.	true	194.36	199.9	13
4495_18533_000012_000000	The better to understand this narrative, it will be as well to hear a few words on the origin of coal.	The better to understand this narrative, it will be as well to hear a few words on the origin of coal.	true	200.45	206.68	9
4495_18533_000012_000001	During the geological epoch, when the terrestrial spheroid was still in course of formation, a thick atmosphere surrounded it, saturated with watery vapors, and copiously impregnated with carbonic acid.	During the geological epoch, when the terrestrial spheroid was still in course of formation, a thick atmosphere surrounded it, saturated with watery vapors, and copiously impregnated with carbonic acid.	false	207.17	220.63	14
4495_18533_000012_000002	The vapors gradually condensed in diluvial rains, which fell as if they had leapt from the necks of thousands of millions of seltzer water bottles.	The vapors gradually condensed in diluvial rains, which fell as if they had leapt from the necks of thousands of millions of seltzer water bottles.	false	220.79	230.17	16
4495_18533_000012_000003	This liquid, loaded with carbonic acid, rushed in torrents over a deep soft soil, subject to sudden or slow alterations of form, and maintained in its semi-fluid state as much by the heat of the sun as by the fires of the interior mass.	This liquid, loaded with carbonic acid, rushed in torrents over a deep soft soil, subject to sudden or slow alterations of form, and maintained in its semi fluid state as much by the heat of the sun as by the fires of the interior mass.	true	230.54	246.19	15
4495_18533_000012_000004	The internal heat had not as yet been collected in the center of the globe.	The internal heat had not as yet been collected in the center of the globe.	true	246.53	251.32	13
4495_18533_000012_000005	The terrestrial crust, thin and incompletely hardened, allowed it to spread through its pores.	The terrestrial crust, thin and incompletely hardened, allowed it to spread through its pores.	true	251.36	258.43	15
4495_18533_000012_000006	This caused a peculiar form of vegetation, such as is probably produced on the surface of the inferior planets, Venus or Mercury, which revolve nearer than our earth around the radiant sun of our system.	This caused a peculiar form of vegetation, such as is probably produced on the surface of the inferior planets, Venus or Mercury, which revolve nearer than our earth around the radiant sun of our system.	true	258.95	274.78	16
4495_18533_000013_000000	The soil of the continents was covered with immense forests.	The soil of the continents was covered with immense forests.	true	275.03	278.71	12
4495_18533_000013_000001	Carbonic acid, so suitable for the development of the vegetable kingdom, abounded.	Carbonic acid, so suitable for the development of the vegetable kingdom, abounded.	true	278.84	284.83	16
